id,nitEmpresa ,tipo ,precio,nombre,idPlato
1209,1536,P,8,NPX-99-PT,1872
1210,1932,A,4,HPV-41-MG,1001
1211,1316,P,45,FDB-56-UJ,1374
1212,1682,E,80,BND-77-FR,1139
1213,1208,P,14,URB-81-GW,1304
1214,1233,E,71,BBD-51-EA,1953
1215,1410,P,96,QBL-78-YR,1349
1216,1202,A,42,MVV-19-WL,1912
1217,1230,A,12,GYJ-45-FM,1664
1218,1089,A,71,VJF-55-DW,1003
1219,1135,P,99,FFP-93-HI,1384
1220,1976,A,30,VEE-44-WU,1440
1221,1891,E,14,RNZ-61-SW,1544
1222,1870,E,87,YXZ-47-NI,1081
1223,1212,E,46,HTL-09-AR,1622
1224,1479,P,21,DBA-48-OR,1320
1225,1765,P,33,GDZ-07-IJ,1572
1226,1305,P,55,CKT-39-QP,1390
1227,1775,E,11,BWN-26-XM,1317
1228,1946,E,40,BZL-49-TO,1305
1229,1125,P,100,JLS-86-ZH,1373
1230,1110,E,36,VEU-91-BN,1631
1231,1373,A,94,SXK-38-SM,1541
1232,1960,P,75,DZE-12-AN,1011
1233,1786,A,1,MDP-00-QN,1900
1234,1898,P,91,IEP-61-YD,1459
1235,1091,E,11,NKX-03-FF,1640
1236,1427,P,64,JRT-28-EY,1289
1237,1794,A,78,JFL-62-BZ,1254
1238,1327,E,78,JBV-69-CN,1490
1239,1480,E,54,KHN-01-MU,1368
1240,1130,P,8,LPJ-57-QP,1491
1241,1862,A,24,TUT-06-PW,1849
1242,1084,E,33,HCU-30-EM,1228
1243,1383,P,62,KAV-85-RH,1005
1244,1841,A,39,TAR-39-SY,1552
1245,1196,E,8,WTP-31-EM,1376
1246,1873,A,99,FIG-20-KM,1048
1247,1647,A,38,PXO-74-WJ,1338
1248,1688,P,99,BAI-25-SE,1870
1249,1569,E,91,PAO-48-JM,1458
1250,1778,E,44,OHP-59-SI,1036
1251,1781,A,67,UJU-04-FV,1734
1252,1334,A,51,NGP-10-LG,1875
1253,1384,A,48,VHP-06-WE,1903
1254,1444,P,55,VPR-40-RL,1710
1255,1351,E,41,TFM-66-ER,1591
1256,1659,A,70,IJH-33-OD,1058
1257,1368,E,27,JCK-16-IN,1379
1258,1300,E,34,EKD-81-FW,1444
1259,1035,E,50,VAY-37-YJ,1097
1260,1461,E,87,UKT-13-YZ,1446
1261,1434,P,61,CEZ-64-ML,1013
1262,1218,A,36,EQZ-19-GK,1910
1263,1121,A,53,TXN-52-ZC,1636
1264,1216,E,43,RWT-89-JT,1817
1265,1772,E,93,MJH-21-ZB,1333
1266,1046,E,48,OWT-70-IS,1751
1267,1505,E,33,CSZ-65-BG,1164
1268,1858,A,14,VES-61-UZ,1237
1269,1550,A,46,LYE-84-XY,1974
1270,1723,E,78,KVS-96-JO,1747
1271,1826,E,3,CWZ-06-WQ,1082
1272,1702,A,29,XHX-73-QY,1199
1273,1740,A,95,UTT-40-UE,1731
1274,1272,P,49,HAU-76-AQ,1554
1275,1302,P,69,GUN-98-NA,1832
1276,1883,A,95,CZU-75-MV,1334
1277,1749,A,68,WWL-12-FZ,1602
1278,1143,A,85,PDR-01-MQ,1411
1279,1661,P,63,YCO-17-TJ,1918
1280,1226,E,3,UKN-06-NB,1401
1281,1692,P,83,UHI-80-YZ,1412
1282,1814,P,46,ZOK-50-YY,1309
1283,1900,E,34,EZH-04-DA,1708
1284,1687,E,74,XGY-69-HL,1538
1285,1982,P,6,HHG-23-EW,1094
1286,1869,P,1,ZCT-67-BK,1796
1287,1281,A,60,KDT-91-AI,1321
1288,1748,P,23,HHA-68-HR,1700
1289,1964,E,100,HHY-84-JM,1285
1290,1029,A,1,ABZ-33-PB,1419
1291,1235,A,78,DWW-39-NG,1969
1292,1628,E,90,RHS-59-IQ,1137
1293,1919,P,45,ZKP-25-BJ,1096
1294,1691,A,55,UTM-74-RG,1533
1295,1950,E,23,NXP-87-BT,1972
1296,1396,A,5,SJF-39-VY,1178
1297,1382,P,78,ENI-97-UP,1838
1298,1331,E,16,RTH-90-GQ,1608
1299,1986,P,44,TCT-25-GU,1826
1300,1219,E,91,CQS-68-KD,1999
1301,1721,E,38,SNM-82-VK,1200
1302,1102,P,63,RWW-73-SN,1187
1303,1701,E,14,AQN-93-GJ,1188
1304,1380,P,63,DTT-68-QU,1122
1305,1958,P,9,QWH-46-LX,1699
1306,1195,P,32,HMO-10-TZ,1793
1307,1709,E,43,EPP-21-GJ,1958
1308,1045,P,72,EBW-46-ND,1421
1309,1731,E,23,OYH-56-NE,1181
1310,1164,E,46,SCH-75-AL,1692
1311,1088,E,27,AJG-38-MH,1575
1312,1562,P,62,XLU-83-UI,1701
1313,1354,A,7,EMN-16-UG,1283
1314,1318,P,76,WBY-67-YQ,1086
1315,1476,E,91,QBR-15-MN,1210
1316,1580,A,16,LBO-63-UO,1152
1317,1042,P,83,OWN-58-WR,1549
1318,1542,E,15,IYQ-10-EK,1481
1319,1058,P,72,NSZ-14-JC,1545
1320,1708,P,70,VEL-44-PL,1603
1321,1017,E,94,NGR-51-AI,1627
1322,1530,P,88,NBA-43-SC,1525
1323,1613,P,80,ZYS-80-DA,1512
1324,1609,P,92,IOO-32-MQ,1471
1325,1405,P,95,BLJ-86-OM,1416
1326,1100,P,70,KWC-38-WP,1555
1327,1453,A,83,TVM-57-HB,1156
1328,1335,A,95,YAR-40-PR,1425
1329,1124,P,48,XIW-68-DI,1741
1330,1626,P,68,DSR-18-BD,1723
1331,1835,E,59,BGA-06-RZ,1736
1332,1642,E,42,OXZ-63-BW,1302
1333,1671,E,22,VDG-98-FT,1938
1334,1290,E,54,RWF-24-EG,1574
1335,1012,P,29,EAL-39-KR,1213
1336,1151,P,71,YWG-43-KX,1362
1337,1577,P,84,UMK-64-OS,1193
1338,1007,A,36,QTZ-79-XQ,1729
1339,1961,A,67,TUX-00-VJ,1287
1340,1998,P,18,KSD-16-YU,1429
1341,1643,P,36,WJZ-45-IZ,1929
1342,1406,P,72,PLD-30-KI,1275
1343,1385,E,31,LDQ-78-BW,1241
1344,1395,P,84,KKA-82-MI,1831
1345,1181,A,72,YVM-20-XC,1811
1346,1028,A,4,ZYW-91-TT,1424
1347,1624,P,30,WYN-72-QP,1659
1348,1471,P,67,KPF-33-HW,1484
1349,1508,P,94,SPP-14-YF,1581
1350,1845,A,56,AWM-04-JX,1567
1351,1307,P,71,JPO-32-FX,1810
1352,1830,P,32,JCH-18-CY,1655
1353,1729,E,81,FII-72-SA,1144
1354,1056,A,9,YDK-43-DM,1770
1355,1955,P,31,DTH-49-UQ,1492
1356,1999,E,57,IOA-33-HR,1630
1357,1889,A,2,KLH-66-IZ,1009
1358,1081,E,59,KBO-79-FU,1262
1359,1752,A,56,IEJ-47-ZI,1724
1360,1039,E,71,BIA-53-VK,1873
1361,1502,E,40,LFC-91-KG,1220
1362,1970,E,30,QIS-97-HL,1945
1363,1466,P,42,PXF-12-FP,1394
1364,1839,E,42,RNO-28-FI,1776
1365,1694,P,34,FLH-65-ND,1943
1366,1425,A,79,XKL-28-IH,1926
1367,1499,E,39,ZMP-13-FP,1931
1368,1429,A,56,NGD-20-ZB,1062
1369,1865,A,69,EIX-00-UR,1941
1370,1325,P,86,TJV-65-TA,1236
1371,1043,A,49,JJH-03-GO,1898
1372,1996,E,72,MHM-17-FP,1422
1373,1014,A,22,WDJ-43-UV,1047
1374,1783,A,40,FEJ-82-DL,1773
1375,1322,E,73,XGJ-31-VY,1946
1376,1633,A,65,FNT-60-QK,1828
1377,1526,P,17,YGU-17-GV,1998
1378,1980,A,13,LDK-79-GD,1930
1379,1495,A,2,XOV-60-DX,1739
1380,1071,P,98,MZF-20-KN,1705
1381,1755,P,7,MKR-26-PF,1034
1382,2000,E,50,WJH-00-NJ,1154
1383,1491,A,90,LEO-74-JG,1452
1384,1876,A,38,UPA-83-YT,1063
1385,1567,E,44,LQF-93-VP,1772
1386,1261,E,66,WDA-23-GI,1987
1387,1828,E,50,VGX-41-PX,1196
1388,1882,P,13,CAE-89-BC,1216
1389,1777,E,33,TQP-77-UL,1061
1390,1092,A,28,MGP-36-DP,1594
1391,1375,P,11,FOI-65-RC,1874
1392,1109,E,26,SYN-77-OJ,1432
1393,1484,P,59,WIF-84-RM,1191
1394,1781,P,13,EHJ-27-WG,1439
1395,1082,P,21,EJZ-74-EG,1966
1396,1667,A,12,MQG-30-JP,1069
1397,1270,P,25,VBE-25-OK,1800
1398,1674,P,29,QYO-73-VY,1090
1399,1250,A,23,BJQ-66-ES,1890
1400,1701,A,75,OMF-39-ET,1993
1401,1914,A,41,VDT-78-DV,1879
1402,1947,A,52,XTI-74-YO,1371
1403,1400,P,74,ULX-54-BR,1786
1404,1061,E,55,CKF-94-XX,1675
1405,1080,A,76,DOM-24-WU,1936
1406,1221,P,5,ZWS-43-LN,1593
1407,1519,A,8,KQD-40-GA,1724
1408,1816,P,7,DGH-96-QH,1434
1409,1777,A,81,YEC-78-LL,1190
1410,1373,E,100,KJY-47-UC,1065
1411,1985,A,71,GLO-02-DV,1654
1412,1987,P,34,IMV-94-YS,1508
1413,1422,P,60,ZTM-93-DA,1762
1414,1242,A,65,OQF-46-HL,1553
1415,1672,E,21,FFN-75-DZ,1262
1416,1317,A,79,XVP-48-IC,1863
1417,1721,P,90,LFV-74-KH,1967
1418,1168,E,3,ZAN-06-ZA,1502
1419,1432,P,24,SCA-96-AM,1427
1420,1020,A,65,BBV-17-LX,1550
1421,1481,P,65,LWH-13-ZC,1269
1422,1339,E,77,VNH-57-HG,1560
1423,1977,A,5,JYH-48-XX,1619
1424,1493,E,67,HRO-18-FG,1185
1425,1414,P,61,ZBY-24-QK,1923
1426,1282,A,55,NCV-32-MI,1815
1427,1273,P,75,IWR-14-OQ,1029
1428,1352,A,4,UCR-55-PI,1651
1429,1702,P,18,FWV-09-YD,1277
1430,1252,A,93,PYF-04-JC,1830
1431,1471,E,79,YWT-74-HJ,1981
1432,1813,A,99,MQJ-27-HS,1009
1433,1568,P,91,ALN-07-UX,1996
1434,1021,E,72,JYF-35-GQ,1039
1435,1115,A,69,CXX-81-QO,1902
1436,1727,A,60,LSL-60-WF,1454
1437,1619,P,11,KCF-24-NN,1112
1438,1440,E,79,SHR-14-XW,1015
1439,1782,E,55,VQW-46-HS,1192
1440,1583,P,1,JWU-40-SQ,1864
1441,1464,P,51,BYI-12-GT,1781
1442,1915,E,1,PVL-81-OK,1393
1443,1843,P,73,RJI-37-IQ,1460
1444,1445,P,60,KRI-77-WG,1129
1445,1492,P,78,PWX-47-SV,1489
1446,1533,E,65,PCM-96-OH,1509
1447,1188,A,20,NSJ-43-PK,1675
1448,1901,A,68,AVW-64-XD,1420
1449,1554,A,16,SBO-59-GP,1669
1450,1218,P,21,NFT-61-YD,1413
1451,1343,E,3,XCN-53-GC,1700
1452,1723,A,19,NRG-80-RW,1140
1453,1555,A,24,DHN-92-IY,1652
1454,1195,P,80,MVU-81-JV,1345
1455,1696,P,9,FSJ-20-YS,1369
1456,1733,P,94,BED-02-FX,1395
1457,1357,E,16,ZHQ-34-VO,1280
1458,1575,P,50,IDQ-02-FU,1163
1459,1026,A,12,HIN-93-TK,1384
1460,1873,P,36,ZAK-96-YY,1622
1461,1965,A,37,DFI-03-QY,1003
1462,1423,A,46,NKZ-45-ZR,1309
1463,1890,A,66,UMR-17-ME,1326
1464,1113,A,89,SHJ-89-VN,1416
1465,1224,E,9,GBB-78-FQ,1174
1466,1460,E,57,FSO-87-SO,1364
1467,1638,E,4,LDF-92-NU,1002
1468,1742,P,65,GCG-92-CD,1983
1469,1735,E,98,UHQ-60-BP,1086
1470,1036,A,25,WZK-36-HV,1780
1471,1482,A,12,PYZ-79-BK,1844
1472,1104,A,98,TXX-66-XE,1683
1473,1472,P,10,BQW-30-HE,1437
1474,1825,A,18,NKP-11-SF,1809
1475,1682,E,28,UKK-46-CG,1230
1476,1631,P,50,TKD-96-WA,1940
1477,1194,P,20,SMZ-12-GS,1578
1478,1835,P,64,BDV-79-SH,1982
1479,1156,A,67,ECZ-89-UI,1650
1480,1186,A,96,VUP-87-AS,1917
1481,1800,P,23,OOL-64-DR,1595
1482,1678,A,10,ZJQ-45-QA,1035
1483,1324,A,27,GZS-81-OU,1425
1484,1290,E,38,KAZ-53-OK,1382
1485,1371,P,59,JJU-48-JR,1110
1486,1922,E,16,WOP-28-ZZ,1322
1487,1762,E,47,CWA-74-UL,1435
1488,1525,E,63,BLX-56-QF,1047
1489,1202,A,83,QQU-06-MV,1945
1490,1488,P,43,XZR-85-TS,1084
1491,1029,P,3,HKI-40-QG,1689
1492,1952,A,42,BXE-99-RT,1301
1493,1234,A,21,WBX-24-FM,1729
1494,1593,E,52,OCE-47-GZ,1766
1495,1153,E,77,TUZ-88-GC,1026
1496,1062,E,17,VDH-95-IL,1837
1497,1264,A,12,QKV-02-KQ,1264
1498,1830,E,39,ZKY-33-RK,1013
1499,1305,P,55,NHU-36-TM,1890
1500,1657,A,87,YYS-35-KB,1232
1501,1019,P,71,WTJ-26-FO,1339
1502,1669,P,4,FTW-28-FC,1438
1503,1699,E,21,QUJ-77-LK,1741
1504,1689,P,18,LNK-28-YF,1547
1505,1381,E,46,DTI-16-QU,1282
1506,1059,P,74,ELS-56-TJ,1195
1507,1809,E,86,OGR-54-NO,1300
1508,1622,A,74,PNC-95-QW,1485
1509,1483,E,88,AYU-54-XQ,1542
1510,1356,E,87,LOG-12-WH,1802
1511,1399,P,97,BGR-21-VA,1518
1512,1958,E,66,FOD-85-ZX,1635
1513,1889,P,98,VGN-39-JG,1452
1514,1906,E,91,NXA-38-GV,1722
1515,1811,P,2,ABL-70-EB,1676
1516,1058,A,90,TQG-55-HT,1347
1517,1103,P,11,DHX-45-SW,1868
1518,1003,P,30,JUB-44-BK,1496
1519,1428,E,61,YZT-89-MV,1799
1520,1470,E,99,VOT-90-SN,1707
1521,1385,E,75,MSU-91-MX,1430
1522,1203,P,22,BZR-75-BM,1811
1523,1923,A,83,IFJ-87-MN,1586
1524,1006,P,4,JBQ-15-XB,1662
1525,1590,P,38,WSU-97-JI,1067
1526,1342,E,1,ZOG-39-CK,1954
1527,1068,P,88,DLH-91-AY,1297
1528,1582,E,94,EQU-79-XX,1548
1529,1099,P,95,THP-57-AU,1867
1530,1695,E,13,BOA-34-NC,1254
1531,1368,A,83,HJT-73-EF,1632
1532,1402,E,16,QEL-17-EU,1219
1533,1200,P,28,ZGC-19-PT,1061
1534,1415,A,65,TCP-46-CT,1836
1535,1073,E,54,WOT-27-NT,1475
1536,1572,A,66,BVJ-14-RD,1292
1537,1552,E,24,CPE-26-CG,1081
1538,1732,A,95,SJZ-29-JW,1655
1539,1297,E,17,VTS-47-JU,1931
1540,1627,A,31,BNW-49-SJ,1999
1541,1391,A,98,MUT-65-MX,1158
1542,1514,P,15,QMV-41-JH,1383
1543,1269,A,4,VMH-08-DW,1721
1544,1601,P,18,CTN-83-LM,1776
1545,1773,P,95,UUQ-65-SW,1565
1546,1249,P,30,FSO-22-TW,1092
1547,1163,P,95,WAY-63-OL,1656
1548,1633,E,14,NBG-09-HI,1415
1549,1577,A,97,NJT-67-OX,1005
1550,1692,A,96,KSE-45-MQ,1973
1551,1477,E,10,HKX-70-EH,1969
1552,1651,P,44,WBF-06-WR,1545
1553,1605,P,37,TDA-02-RA,1959
1554,1091,E,51,IBI-70-QC,1532
1555,1123,A,89,TGK-54-UX,1136
1556,1208,E,2,GMU-41-LO,1448
1557,1380,A,41,NWI-27-RT,1104
1558,1122,P,68,NCA-36-QM,1674
1559,1320,A,98,XVE-54-TU,1891
1560,1826,E,70,MPW-63-QZ,1790
1561,1834,E,76,LXS-07-RN,1559
1562,1603,E,37,UZP-50-MP,1424
1563,1853,E,55,XOM-83-BK,1098
1564,1146,A,19,WIG-57-PM,1033
1565,1794,P,65,SQC-01-YA,1989
1566,1069,P,91,DKT-83-PL,1543
1567,1002,E,34,XIS-80-XM,1965
1568,1557,E,82,STM-06-BK,1715
1569,1581,A,13,YKV-20-FK,1273
1570,1025,E,25,BHI-37-QS,1244
1571,1772,E,88,DKN-51-NR,1243
1572,1001,P,21,ADA-50-VX,1840
1573,1623,P,53,AVP-06-ID,1121
1574,1465,E,89,JQG-75-ID,1159
1575,1959,P,69,BOF-20-XQ,1484
1576,1296,P,19,QYT-79-BH,1579
1577,1652,E,26,CXC-11-PL,1314
1578,1141,E,64,YUZ-92-QQ,1311
1579,1787,E,41,HHX-31-SL,1426
1580,1333,P,45,LTX-03-AJ,1389
1581,1265,A,14,BBQ-62-FC,1070
1582,1808,E,25,XZC-22-WB,1782
1583,1614,A,21,IYX-58-IN,1698
1584,1854,P,22,TML-74-YX,1441
1585,1441,E,77,VOJ-63-QY,1590
1586,1118,P,17,KIJ-08-XW,1957
1587,1299,E,14,ORQ-53-RG,1367
1588,1517,A,96,OPN-64-IZ,1634
1589,1124,A,10,DNS-02-WA,1603
1590,1175,A,22,LPQ-43-NX,1512
1591,1147,P,97,OWS-90-NJ,1905
1592,1089,E,20,NYB-52-WC,1961
1593,1197,P,49,OMU-55-KS,1879
1594,1725,P,21,TAX-91-AZ,1521
1595,1043,A,18,FCD-08-VX,1265
1596,1942,A,54,FDT-72-GR,1609
1597,1219,P,76,WVS-99-SY,1032
1598,1683,A,67,LMY-30-TX,1012
1599,1810,E,70,GHS-60-WV,1477
1600,1711,P,9,JXE-36-ZE,1470
1601,1426,P,19,JHB-28-KP,1126
1602,1349,E,52,EWI-34-MV,1795
1603,1750,A,30,QYV-92-CA,1740
1604,1591,E,56,VVJ-70-KL,1423
1605,1032,A,58,UBH-51-LX,1918
1606,1012,E,88,NGR-71-NL,1281
1607,1908,A,26,LTT-50-RI,1122
1608,1688,P,73,TIF-06-JY,1355
1609,1054,A,64,TML-48-NA,1135
1610,1629,A,9,NZJ-51-HL,1288
1611,1256,P,96,FWP-37-EG,1882
1612,1643,A,32,NFS-51-NX,1972
1613,1189,A,91,PFO-56-FC,1097
1614,1294,P,78,KZB-61-OF,1535
1615,1497,P,60,SIE-66-TV,1534
1616,1449,E,7,LWI-38-TX,1341
1617,1676,P,52,NKZ-83-VH,1873
1618,1869,P,24,LPP-52-TW,1238
1619,1509,A,3,VYS-84-HV,1215
1620,1753,E,11,JXH-41-JE,1247
1621,1768,E,87,MZH-84-KG,1284
1622,1585,E,15,YCS-79-UL,1892
1623,1418,A,11,EHJ-42-BX,1600
1624,1167,P,61,AAM-11-VV,1852
1625,1743,P,74,LSA-65-TI,1145
