id,idConsumidor,fecha,total,idBono
1073,1247,9/2/2023,95,1073
1074,1536,5/17/2023,53,1074
1075,1613,12/2/2023,84,1075
1076,1264,3/14/2024,72,1076
1077,1638,7/21/2023,27,1077
1078,1291,1/22/2024,92,1078
1079,1066,11/22/2023,46,1079
1080,1740,8/23/2023,17,1080
1081,1650,4/17/2023,62,1081
1082,1036,3/26/2024,99,1082
1083,1016,10/15/2023,39,1083
1084,1678,8/10/2023,58,1084
1085,1644,4/14/2023,8,1085
1086,1606,8/17/2023,28,1086
1087,1794,5/29/2023,63,1087
1088,1764,11/1/2023,23,1088
1089,1534,5/18/2023,89,1089
1090,1313,8/4/2023,54,1090
1091,1298,10/15/2023,70,1091
1092,1899,8/8/2023,7,1092
1093,1222,3/23/2024,79,1093
1094,1257,8/10/2023,21,1094
1095,1347,6/29/2023,86,1095
1096,1646,9/28/2023,5,1096
1097,1505,6/8/2023,24,1097
1098,1732,8/5/2023,94,1098
1099,1925,2/1/2024,36,1099
1100,1387,4/15/2023,81,1100
1101,1950,2/4/2024,94,1101
1102,1819,11/13/2023,70,1102
1103,1853,7/10/2023,9,1103
1104,1168,1/13/2024,78,1104
1105,1145,9/23/2023,23,1105
1106,1048,3/4/2024,78,1106
1107,1092,10/26/2023,54,1107
1108,1643,2/28/2024,54,1108
1109,1151,8/31/2023,9,1109
1110,1093,6/20/2023,4,1110
1111,1026,5/7/2023,92,1111
1112,1681,9/6/2023,80,1112
1113,1889,9/15/2023,76,1113
1114,1490,2/22/2024,66,1114
1115,1393,10/21/2023,35,1115
1116,1625,2/3/2024,84,1116
1117,1502,10/15/2023,97,1117
1118,1504,7/29/2023,95,1118
1119,1854,3/4/2024,23,1119
1120,1862,1/4/2024,7,1120
1121,1720,4/28/2023,33,1121
1122,1787,3/13/2024,60,1122
1123,1766,12/21/2023,44,1123
1124,1366,12/3/2023,14,1124
1125,1693,2/1/2024,27,1125
1126,1887,10/21/2023,46,1126
1127,1248,1/2/2024,84,1127
1128,1470,12/12/2023,96,1128
1129,1674,3/4/2024,91,1129
1130,1100,10/15/2023,56,1130
1131,1777,3/1/2024,86,1131
1132,1851,7/1/2023,86,1132
1133,1344,8/16/2023,83,1133
1134,1082,9/24/2023,51,1134
1135,1353,7/8/2023,27,1135
1136,1717,8/23/2023,25,1136
1137,1652,2/13/2024,51,1137
1138,1813,5/13/2023,1,1138
1139,1596,2/29/2024,38,1139
1140,1872,3/26/2024,95,1140
1141,1482,8/20/2023,92,1141
1142,1496,4/8/2024,16,1142
1143,1541,12/5/2023,28,1143
1144,1418,12/1/2023,47,1144
1145,1622,5/29/2023,21,1145
1146,1461,10/25/2023,9,1146
1147,1611,8/10/2023,22,1147
1148,1614,12/17/2023,94,1148
1149,1172,10/8/2023,17,1149
1150,1158,4/18/2023,5,1150
1151,1661,10/5/2023,55,1151
1152,1809,9/4/2023,20,1152
1153,1186,9/5/2023,45,1153
1154,1288,7/8/2023,79,1154
1155,1855,11/21/2023,97,1155
1156,1132,11/3/2023,60,1156
1157,1990,12/25/2023,64,1157
1158,1219,5/30/2023,15,1158
1159,1368,6/28/2023,23,1159
1160,1724,3/20/2024,91,1160
1161,1332,2/10/2024,98,1161
1162,1501,2/12/2024,88,1162
1163,1097,10/25/2023,2,1163
1164,1666,9/10/2023,2,1164
1165,1019,6/14/2023,34,1165
1166,1637,2/7/2024,38,1166
1167,1375,5/3/2023,2,1167
1168,1010,2/5/2024,27,1168
1169,1447,7/8/2023,51,1169
1170,1090,11/26/2023,45,1170
1171,1968,9/22/2023,46,1171
1172,1307,9/2/2023,61,1172
1173,1537,4/2/2024,68,1173
1174,1848,8/16/2023,21,1174
1175,1628,4/22/2023,28,1175
1176,1878,1/20/2024,18,1176
1177,1253,3/26/2024,65,1177
1178,1610,6/20/2023,20,1178
1179,1774,4/17/2023,22,1179
1180,1893,7/21/2023,71,1180
1181,1363,12/31/2023,75,1181
1182,1448,1/20/2024,53,1182
1183,1167,3/28/2024,24,1183
1184,1306,4/10/2024,55,1184
1185,1201,11/29/2023,91,1185
1186,1800,1/31/2024,8,1186
1187,1208,12/20/2023,7,1187
1188,1094,4/25/2023,90,1188
1189,1900,4/1/2024,6,1189
1190,1589,12/16/2023,92,1190
1191,1414,4/14/2023,15,1191
1192,1824,11/25/2023,43,1192
1193,1070,8/16/2023,48,1193
1194,1636,9/28/2023,15,1194
1195,1113,3/16/2024,90,1195
1196,1369,12/10/2023,28,1196
1197,1685,7/1/2023,19,1197
1198,1357,4/25/2023,13,1198
1199,1591,12/8/2023,33,1199
1200,1891,1/4/2024,65,1200
1201,1050,9/28/2023,95,1201
1202,1241,1/4/2024,38,1202
1203,1531,6/23/2023,18,1203
1204,1847,10/7/2023,5,1204
1205,1160,10/29/2023,43,1205
1206,1631,1/15/2024,54,1206
1207,1713,12/28/2023,9,1207
1208,1897,4/18/2023,14,1208
1209,1673,8/8/2023,68,1209
1210,1597,7/24/2023,21,1210
1211,1497,3/14/2024,12,1211
1212,1965,3/5/2024,40,1212
1213,1805,3/12/2024,53,1213
1214,1642,10/11/2023,51,1214
1215,1888,12/7/2023,23,1215
1216,1739,1/4/2024,20,1216
1217,1442,7/11/2023,19,1217
1218,1341,10/20/2023,39,1218
1219,1296,2/28/2024,97,1219
1220,1255,5/25/2023,60,1220
1221,1405,9/24/2023,63,1221
1222,1858,12/18/2023,61,1222
1223,1228,8/15/2023,29,1223
1224,1714,3/19/2024,7,1224
1225,1727,3/24/2024,98,1225
1226,1408,9/27/2023,78,1226
1227,1791,5/27/2023,82,1227
1228,1941,4/17/2023,16,1228
1229,1342,10/31/2023,73,1229
1230,1425,1/15/2024,89,1230
1231,1749,1/21/2024,63,1231
1232,1516,8/27/2023,37,1232
1233,1484,4/25/2023,23,1233
1234,1751,12/8/2023,97,1234
1235,1115,8/14/2023,72,1235
1236,1524,10/17/2023,56,1236
1237,1402,5/23/2023,37,1237
1238,1609,4/23/2023,77,1238
1239,1575,5/30/2023,1,1239
1240,1458,4/5/2024,11,1240
1241,1493,3/19/2024,36,1241
1242,1519,2/12/2024,77,1242
1243,1996,12/6/2023,86,1243
1244,1686,11/5/2023,11,1244
1245,1433,10/19/2023,25,1245
1246,1007,12/14/2023,13,1246
1247,1224,5/24/2023,27,1247
1248,1161,10/13/2023,96,1248
1249,1658,7/22/2023,89,1249
1250,1494,11/23/2023,17,1250
1251,1230,12/10/2023,13,1251
1252,1267,1/24/2024,91,1252
1253,1960,4/15/2023,18,1253
1254,1266,9/11/2023,71,1254
1255,1571,11/26/2023,15,1255
1256,1785,6/6/2023,86,1256
1257,1623,7/25/2023,45,1257
1258,1165,12/17/2023,88,1258
1259,1868,5/13/2023,68,1259
1260,1213,7/15/2023,54,1260
1261,1995,1/24/2024,47,1261
1262,1587,1/15/2024,71,1262
1263,1602,6/19/2023,23,1263
1264,1590,7/30/2023,86,1264
1265,1924,4/12/2024,71,1265
1266,1391,1/27/2024,31,1266
1267,1838,3/24/2024,15,1267
1268,1377,9/26/2023,65,1268
1269,1550,6/23/2023,25,1269
1270,1126,6/14/2023,74,1270
1271,1415,4/30/2023,7,1271
1272,1394,9/24/2023,68,1272
1273,1711,2/2/2024,95,1273
1274,1080,2/20/2024,66,1274
1275,1005,7/24/2023,46,1275
1276,1364,7/15/2023,89,1276
1277,1736,2/24/2024,75,1277
1278,1648,11/8/2023,62,1278
1279,1138,10/18/2023,30,1279
1280,1192,9/9/2023,1,1280
1281,1669,1/31/2024,45,1281
1282,1707,11/12/2023,41,1282
1283,1919,6/1/2023,34,1283
1284,1015,10/17/2023,81,1284
1285,1435,12/15/2023,43,1285
1286,1784,6/5/2023,85,1286
1287,1215,12/4/2023,50,1287
1288,1176,9/29/2023,26,1288
1289,1874,10/2/2023,78,1289
1290,1479,11/21/2023,15,1290
1291,1567,12/27/2023,91,1291
1292,1958,9/8/2023,21,1292
1293,1012,1/6/2024,63,1293
1294,1330,10/5/2023,33,1294
1295,1367,12/19/2023,12,1295
1296,1566,5/22/2023,8,1296
1297,1182,12/27/2023,31,1297
1298,1770,2/7/2024,16,1298
1299,1412,11/29/2023,91,1299
1300,1618,6/15/2023,1,1300
1301,1042,12/14/2023,43,1301
1302,1863,9/30/2023,44,1302
1303,1106,4/19/2023,79,1303
1304,1773,1/6/2024,94,1304
1305,1399,7/21/2023,92,1305
1306,1025,5/2/2023,2,1306
1307,1694,5/8/2023,87,1307
1308,1081,2/26/2024,38,1308
1309,1910,10/14/2023,6,1309
1310,1928,4/15/2023,71,1310
1311,1194,8/12/2023,9,1311
1312,1535,10/14/2023,85,1312
1313,1043,10/9/2023,5,1313
1314,1906,4/11/2024,8,1314
1315,1355,7/1/2023,17,1315
1316,1170,3/13/2024,99,1316
1317,1974,5/29/2023,8,1317
1318,1462,1/17/2024,100,1318
1319,1765,3/18/2024,14,1319
1320,1616,4/1/2024,34,1320
1321,1013,2/3/2024,65,1321
1322,1431,4/21/2023,26,1322
1323,1258,1/5/2024,62,1323
1324,1980,12/17/2023,12,1324
1325,1977,1/30/2024,61,1325
1326,1880,11/13/2023,73,1326
1327,1056,4/15/2023,87,1327
1328,1653,2/21/2024,14,1328
1329,1321,7/13/2023,66,1329
1330,1721,7/10/2023,96,1330
1331,1715,10/11/2023,75,1331
1332,1376,1/30/2024,89,1332
1333,1799,5/10/2023,96,1333
1334,1982,7/4/2023,33,1334
1335,1969,5/21/2023,68,1335
1336,1943,1/8/2024,34,1336
1337,1220,11/19/2023,41,1337
1338,1663,2/19/2024,25,1338
1339,1280,11/16/2023,9,1339
1340,1276,4/15/2023,31,1340
1341,1029,11/15/2023,27,1341
1342,1704,2/8/2024,8,1342
1343,1725,5/5/2023,12,1343
1344,1915,10/22/2023,6,1344
1345,1647,11/1/2023,4,1345
1346,1095,8/7/2023,75,1346
1347,1832,7/12/2023,79,1347
1348,1486,10/5/2023,85,1348
1349,1744,4/30/2023,89,1349
1350,1256,12/4/2023,70,1350
1351,1595,12/27/2023,65,1351
1352,1314,10/15/2023,14,1352
1353,1997,7/25/2023,74,1353
1354,1512,10/20/2023,100,1354
1355,1169,12/16/2023,51,1355
1356,1875,1/20/2024,63,1356
1357,1175,12/5/2023,77,1357
1358,1961,9/6/2023,1,1358
1359,1864,6/30/2023,61,1359
1360,1252,4/19/2023,6,1360
1361,1523,6/25/2023,83,1361
1362,1476,8/22/2023,90,1362
1363,1992,5/4/2023,92,1363
1364,1322,9/12/2023,35,1364
1365,1451,8/6/2023,70,1365
1366,1104,10/15/2023,47,1366
1367,1260,10/15/2023,44,1367
1368,1254,5/29/2023,87,1368
1369,1035,7/23/2023,75,1369
1370,1444,8/4/2023,40,1370
1371,1099,9/20/2023,98,1371
1372,1233,7/13/2023,12,1372
1373,1290,12/30/2023,17,1373
1374,1981,5/22/2023,89,1374
1375,1938,5/23/2023,16,1375
1376,1845,4/11/2024,42,1376
1377,1274,8/1/2023,69,1377
1378,1944,1/16/2024,25,1378
1379,1460,5/3/2023,44,1379
1380,1655,12/9/2023,21,1380
1381,1195,4/28/2023,40,1381
1382,1683,11/29/2023,33,1382
1383,1279,12/15/2023,7,1383
1384,1674,10/6/2023,83,1384
1385,1157,1/23/2024,43,1385
1386,1756,4/3/2024,73,1386
1387,1342,3/31/2024,51,1387
1388,1154,10/4/2023,31,1388
1389,1213,7/28/2023,38,1389
1390,1265,8/24/2023,32,1390
1391,1672,9/19/2023,93,1391
1392,1405,10/16/2023,32,1392
1393,1612,6/24/2023,90,1393
1394,1300,11/3/2023,42,1394
1395,1832,7/31/2023,79,1395
1396,1470,2/19/2024,30,1396
1397,1135,9/28/2023,72,1397
1398,1329,6/16/2023,26,1398
1399,1136,12/7/2023,57,1399
1400,1902,2/8/2024,12,1400
1401,1166,5/12/2023,11,1401
1402,1720,12/10/2023,51,1402
1403,1744,10/12/2023,39,1403
1404,1303,12/8/2023,48,1404
1405,1640,2/29/2024,96,1405
1406,1712,4/13/2023,42,1406
1407,1920,7/30/2023,86,1407
1408,1127,2/18/2024,51,1408
1409,1277,10/23/2023,19,1409
1410,1642,7/5/2023,35,1410
1411,1606,5/24/2023,39,1411
1412,1129,3/22/2024,59,1412
1413,1770,1/14/2024,5,1413
1414,1223,12/19/2023,27,1414
1415,1812,6/8/2023,98,1415
1416,1960,11/24/2023,5,1416
1417,1935,10/2/2023,63,1417
1418,1010,8/18/2023,14,1418
1419,1875,5/3/2023,30,1419
1420,1155,6/27/2023,93,1420
1421,1349,3/12/2024,81,1421
1422,1714,2/26/2024,26,1422
1423,1264,11/5/2023,20,1423
1424,1597,10/17/2023,70,1424
1425,1627,6/8/2023,56,1425
1426,1900,10/8/2023,55,1426
1427,1843,3/19/2024,26,1427
1428,1958,6/17/2023,84,1428
1429,1779,8/23/2023,30,1429
1430,1954,8/2/2023,74,1430
1431,1434,7/18/2023,15,1431
1432,1153,3/16/2024,78,1432
1433,1725,6/26/2023,57,1433
1434,1522,2/27/2024,27,1434
1435,1376,2/3/2024,55,1435
1436,1260,6/27/2023,84,1436
1437,1340,4/13/2023,26,1437
1438,1757,3/7/2024,56,1438
1439,1366,5/28/2023,73,1439
1440,1988,6/12/2023,73,1440
1441,1801,2/7/2024,61,1441
1442,1650,7/5/2023,14,1442
1443,1324,11/6/2023,9,1443
1444,1541,8/22/2023,95,1444
1445,1594,4/2/2024,72,1445
1446,1745,9/22/2023,80,1446
1447,1316,1/27/2024,38,1447
1448,1412,6/10/2023,86,1448
1449,1908,8/31/2023,90,1449
1450,1233,6/3/2023,5,1450
1451,1523,4/27/2023,56,1451
1452,1659,3/28/2024,8,1452
1453,1057,11/24/2023,82,1453
1454,1839,1/15/2024,57,1454
1455,1516,11/14/2023,2,1455
1456,1957,6/29/2023,12,1456
1457,1297,6/1/2023,57,1457
1458,1331,4/30/2023,89,1458
1459,1251,4/16/2023,63,1459
1460,1359,3/11/2024,34,1460
1461,1543,2/25/2024,77,1461
1462,1926,4/18/2023,40,1462
1463,1760,9/10/2023,56,1463
1464,1590,8/29/2023,62,1464
1465,1856,10/8/2023,7,1465
1466,1139,9/9/2023,20,1466
1467,1385,3/1/2024,87,1467
1468,1232,10/30/2023,99,1468
1469,1104,11/3/2023,25,1469
1470,1020,3/21/2024,24,1470
1471,1769,5/2/2023,61,1471
1472,1676,5/1/2023,36,1472
1473,1824,7/15/2023,75,1473
1474,1421,12/15/2023,73,1474
1475,1312,3/10/2024,52,1475
1476,1781,4/29/2023,68,1476
1477,1307,9/15/2023,100,1477
1478,1979,1/13/2024,21,1478
1479,1408,12/25/2023,86,1479
1480,1641,7/28/2023,75,1480
1481,1483,3/17/2024,33,1481
1482,1948,12/2/2023,21,1482
1483,1445,1/19/2024,31,1483
1484,1680,12/30/2023,25,1484
1485,1169,5/16/2023,70,1485
1486,1738,7/7/2023,77,1486
1487,1176,12/15/2023,44,1487
1488,1576,1/20/2024,62,1488
1489,1701,4/6/2024,4,1489
1490,1529,6/27/2023,55,1490
1491,1315,11/4/2023,70,1491
1492,1103,3/18/2024,78,1492
1493,1746,9/9/2023,74,1493
1494,1538,2/2/2024,52,1494
1495,1370,3/28/2024,15,1495
1496,1519,2/6/2024,97,1496
1497,1188,2/11/2024,28,1497
1498,1944,10/26/2023,31,1498
1499,1001,10/28/2023,65,1499
1500,1275,10/28/2023,87,1500
1501,1403,2/14/2024,27,1501
1502,1468,8/18/2023,55,1502
1503,1384,8/24/2023,13,1503
1504,1613,2/19/2024,71,1504
1505,1794,7/2/2023,88,1505
1506,1951,10/3/2023,18,1506
1507,1494,12/20/2023,55,1507
1508,1417,8/8/2023,44,1508
1509,1014,12/26/2023,80,1509
1510,1152,7/14/2023,19,1510
1511,1217,2/2/2024,97,1511
1512,1467,2/22/2024,59,1512
1513,1486,9/10/2023,54,1513
1514,1257,7/22/2023,42,1514
1515,1199,2/26/2024,66,1515
1516,1203,7/11/2023,64,1516
1517,1550,2/1/2024,21,1517
1518,1609,3/25/2024,77,1518
1519,1511,10/15/2023,95,1519
1520,1561,7/4/2023,79,1520
1521,1202,7/20/2023,28,1521
1522,1649,2/1/2024,43,1522
1523,1180,8/4/2023,34,1523
1524,1547,10/5/2023,2,1524
1525,1887,12/5/2023,82,1525
1526,1198,1/11/2024,36,1526
1527,1721,6/17/2023,69,1527
1528,1564,6/14/2023,49,1528
1529,1059,2/7/2024,65,1529
1530,1593,11/15/2023,43,1530
1531,1423,4/14/2023,4,1531
1532,1336,7/2/2023,40,1532
1533,1292,9/15/2023,60,1533
1534,1616,1/7/2024,47,1534
1535,1583,12/2/2023,63,1535
1536,1106,11/13/2023,29,1536
1537,1929,1/3/2024,80,1537
1538,1361,6/1/2023,33,1538
1539,1341,4/7/2024,30,1539
1540,1269,12/19/2023,18,1540
1541,1271,3/8/2024,55,1541
1542,1861,7/27/2023,53,1542
1543,1427,11/12/2023,28,1543
1544,1525,11/11/2023,93,1544
1545,1607,5/4/2023,79,1545
1546,1602,7/29/2023,16,1546
1547,1182,8/25/2023,79,1547
1548,1828,2/7/2024,73,1548
1549,1291,7/25/2023,16,1549
1550,1337,8/14/2023,95,1550
1551,1143,9/8/2023,17,1551
1552,1874,12/26/2023,23,1552
1553,1718,1/5/2024,50,1553
1554,1624,3/13/2024,70,1554
1555,1177,9/2/2023,87,1555
1556,1577,1/3/2024,99,1556
1557,1787,3/11/2024,54,1557
1558,1850,4/18/2023,83,1558
1559,1061,3/16/2024,49,1559
1560,1553,9/16/2023,13,1560
1561,1040,1/15/2024,65,1561
1562,1225,1/30/2024,8,1562
1563,1991,5/24/2023,34,1563
1564,1089,5/14/2023,16,1564
1565,1691,9/14/2023,69,1565
1566,1081,8/26/2023,40,1566
1567,1395,3/22/2024,5,1567
1568,1365,9/15/2023,98,1568
1569,1244,9/10/2023,52,1569
1570,1393,2/28/2024,90,1570
1571,1826,4/25/2023,56,1571
1572,1122,2/17/2024,35,1572
1573,1039,3/25/2024,1,1573
1574,1147,3/29/2024,71,1574
1575,1628,12/30/2023,29,1575
1576,1151,8/16/2023,14,1576
1577,1452,7/14/2023,18,1577
1578,1668,2/16/2024,64,1578
1579,1138,10/1/2023,57,1579
1580,1134,2/18/2024,22,1580
1581,1080,11/26/2023,23,1581
1582,1442,10/23/2023,13,1582
1583,1546,12/17/2023,19,1583
1584,1409,11/2/2023,63,1584
1585,1280,7/18/2023,29,1585
1586,1422,2/21/2024,50,1586
1587,1551,4/25/2023,63,1587
1588,1326,1/1/2024,40,1588
1589,1485,11/4/2023,31,1589
1590,1174,8/24/2023,88,1590
1591,1121,11/11/2023,93,1591
1592,1967,4/27/2023,57,1592
1593,1125,12/18/2023,43,1593
1594,1764,3/18/2024,84,1594
1595,1855,1/15/2024,89,1595
1596,1268,7/15/2023,26,1596
1597,1934,10/6/2023,5,1597
1598,1058,12/28/2023,51,1598
1599,1567,1/12/2024,81,1599
1600,1573,1/20/2024,36,1600
1601,1782,7/3/2023,87,1601
1602,1473,5/4/2023,83,1602
1603,1976,9/19/2023,22,1603
1604,1123,10/8/2023,7,1604
1605,1727,1/28/2024,26,1605
1606,1575,7/29/2023,20,1606
1607,1536,6/30/2023,38,1607
1608,1062,1/16/2024,95,1608
1609,1469,6/25/2023,45,1609
1610,1253,10/17/2023,38,1610
1611,1226,5/14/2023,12,1611
1612,1433,5/19/2023,51,1612
1613,1481,5/29/2023,37,1613
1614,1726,7/16/2023,16,1614
1615,1910,2/8/2024,1,1615
1616,1054,1/29/2024,29,1616
1617,1584,6/9/2023,44,1617
1618,1301,11/27/2023,11,1618
1619,1224,8/25/2023,44,1619
1620,1754,10/5/2023,21,1620
1621,1595,2/10/2024,31,1621
1622,1548,12/26/2023,13,1622
1623,1320,10/29/2023,85,1623
1624,1623,12/17/2023,55,1624
1625,1705,8/25/2023,97,1625
1626,1464,7/20/2023,92,1626
1627,1007,8/6/2023,51,1627
1628,1938,12/17/2023,28,1628
1629,1302,2/24/2024,81,1629
1630,1288,7/21/2023,78,1630
1631,1833,9/18/2023,48,1631
1632,1928,12/15/2023,65,1632
1633,1424,6/6/2023,44,1633
1634,1695,9/6/2023,84,1634
1635,1888,3/1/2024,17,1635
1636,1901,5/6/2023,3,1636
1637,1916,10/11/2023,81,1637
1638,1580,5/19/2023,80,1638
1639,1905,12/5/2023,97,1639
1640,1617,3/28/2024,70,1640
1641,1556,2/22/2024,9,1641
1642,1435,3/17/2024,89,1642
1643,1025,4/24/2023,13,1643
1644,1285,1/18/2024,61,1644
1645,1906,7/18/2023,57,1645
1646,1504,5/9/2023,40,1646
1647,1603,7/27/2023,27,1647
1648,1480,1/20/2024,34,1648
1649,1400,9/30/2023,87,1649
1650,1758,10/5/2023,41,1650
1651,1814,10/3/2023,22,1651
1652,1933,1/27/2024,3,1652
1653,1415,11/9/2023,74,1653
1654,1831,8/8/2023,34,1654
1655,1228,2/15/2024,38,1655
1656,1293,5/11/2023,40,1656
1657,1827,8/19/2023,25,1657
1658,1635,6/8/2023,33,1658
1659,1806,9/9/2023,5,1659
1660,1869,12/19/2023,18,1660
1661,1160,11/16/2023,78,1661
1662,1732,8/24/2023,88,1662
1663,1678,10/7/2023,24,1663
1664,1656,11/14/2023,56,1664
1665,1939,1/5/2024,94,1665
1666,1373,1/25/2024,34,1666
1667,1465,4/19/2023,48,1667
1668,1460,1/13/2024,15,1668
1669,1554,7/29/2023,1,1669
1670,1772,6/3/2023,40,1670
1671,1438,3/29/2024,85,1671
1672,1892,8/28/2023,50,1672
1673,1866,5/3/2023,37,1673
1674,1740,4/7/2024,30,1674
1675,1508,4/6/2024,96,1675
1676,1192,10/11/2023,27,1676
1677,1581,1/18/2024,96,1677
1678,1528,2/5/2024,63,1678
1679,1899,12/7/2023,56,1679
1680,1266,6/13/2023,42,1680
1681,1261,2/17/2024,96,1681
1682,1502,7/17/2023,7,1682
1683,1891,6/19/2023,98,1683
1684,1889,5/29/2023,52,1684
1685,1185,10/12/2023,73,1685
1686,1995,7/22/2023,74,1686
1687,1797,7/5/2023,57,1687
1688,1813,8/2/2023,5,1688
1689,1222,8/16/2023,18,1689
1690,1391,3/28/2024,23,1690
1691,1112,4/19/2023,28,1691
1692,1702,7/19/2023,33,1692
1693,1854,12/9/2023,3,1693
1694,1249,7/18/2023,76,1694
1695,1399,4/3/2024,5,1695
1696,1717,11/21/2023,13,1696
1697,1811,10/6/2023,22,1697
1698,1829,12/28/2023,3,1698
1699,1386,1/6/2024,67,1699
1700,1821,7/15/2023,13,1700
1701,1842,12/21/2023,91,1701
1702,1619,7/24/2023,72,1702
1703,1517,9/26/2023,68,1703
1704,1959,9/12/2023,94,1704
1705,1971,9/15/2023,100,1705
1706,1853,9/2/2023,23,1706
1707,1043,12/14/2023,90,1707
1708,1651,8/23/2023,13,1708
1709,1968,3/22/2024,38,1709
1710,1357,7/28/2023,89,1710
1711,1716,6/16/2023,7,1711
1712,1413,6/27/2023,60,1712
1713,1197,10/4/2023,93,1713
1714,1328,4/26/2023,73,1714
1715,1985,8/5/2023,1,1715
1716,1907,4/30/2023,94,1716
1717,1145,8/13/2023,57,1717
1718,1685,9/24/2023,48,1718
1719,1816,6/26/2023,68,1719
1720,1639,1/8/2024,5,1720
1721,1380,10/21/2023,47,1721
1722,1248,10/2/2023,96,1722
1723,1263,4/9/2024,40,1723
1724,1447,6/24/2023,87,1724
1725,1992,4/29/2023,12,1725
1726,1941,4/22/2023,21,1726
1727,1759,10/3/2023,82,1727
1728,1912,10/30/2023,55,1728
1729,1669,9/22/2023,79,1729
1730,1719,12/1/2023,25,1730
1731,1082,6/9/2023,21,1731
1732,1897,10/21/2023,9,1732
1733,1749,12/27/2023,36,1733
1734,1046,2/9/2024,58,1734
1735,1241,9/25/2023,92,1735
1736,1050,11/28/2023,81,1736
1737,1587,8/14/2023,73,1737
1738,1052,11/27/2023,23,1738
1739,1002,1/23/2024,15,1739
1740,1009,4/27/2023,55,1740
1741,1975,10/19/2023,44,1741
1742,1840,11/14/2023,100,1742
1743,1404,11/19/2023,18,1743
1744,1113,4/10/2024,75,1744
1745,1478,8/11/2023,18,1745
1746,1238,7/30/2023,90,1746
1747,1881,5/11/2023,94,1747
1748,1115,2/2/2024,73,1748
1749,1981,1/7/2024,46,1749
1750,1808,4/12/2024,54,1750
1751,1021,10/2/2023,94,1751
1752,1072,4/1/2024,13,1752
1753,1003,3/21/2024,75,1753
1754,1416,12/29/2023,77,1754
1755,1677,9/20/2023,20,1755
1756,1281,3/12/2024,27,1756
1757,1601,5/1/2023,100,1757
1758,1196,12/10/2023,87,1758
1759,1457,5/30/2023,59,1759
1760,1273,6/20/2023,25,1760
1761,1187,8/19/2023,46,1761
1762,1335,5/27/2023,80,1762
1763,1247,12/30/2023,94,1763
1764,1141,6/22/2023,49,1764
1765,1953,6/23/2023,33,1765
1766,1087,2/12/2024,68,1766
1767,1870,4/13/2023,56,1767
1768,1193,5/11/2023,80,1768
1769,1044,9/13/2023,14,1769
1770,1838,9/14/2023,30,1770
1771,1693,11/5/2023,38,1771
1772,1570,1/21/2024,87,1772
1773,1959,3/5/2024,100,1773
1774,1842,6/21/2023,60,1774
1775,1542,2/21/2024,14,1775
