nit,nombre,tipoNegocio,cantidadDesAli,cantidadAliVen,cantidadAliDon,idDonacion
1054,9rye7Xgn,PYM,1,99,82,1054
1055,DBNl8KK8,PYM,26,95,48,1055
1056,o26L7z9t,PYM,53,65,38,1056
1057,2DA424Gk,PYM,3,50,53,1057
1058,9w28FNu3,COE,72,13,78,1058
1059,QL4Ic43Y,COE,77,37,25,1059
1060,BjgaJ4Bp,COE,25,89,47,1060
1061,eM3qGkDo,PYM,62,30,67,1061
1062,vW2x9qLM,PYM,66,37,84,1062
1063,0842Apyc,PYM,84,98,37,1063
1064,bfkbXT4u,COE,62,60,90,1064
1065,04w352Gq,PYM,22,67,56,1065
1066,hcjo06Rc,PYM,34,91,76,1066
1067,e36Ev0sm,COE,15,91,19,1067
1068,Z691dL4Y,PYM,53,71,91,1068
1069,7tu33pzQ,PYM,90,44,19,1069
1070,54OO42Ga,COE,82,33,66,1070
1071,5IKgf2k0,PYM,11,39,30,1071
1072,ES5j0RQH,COE,37,58,35,1072
1073,46T58Uct,COE,50,48,83,1073
1074,7EaFH4I1,COE,71,32,7,1074
1075,RJ5H3CFG,COE,11,16,84,1075
1076,M4rnOC6a,PYM,30,45,98,1076
1077,6V2j6sus,COE,60,35,19,1077
1078,JBjsYr4K,COE,50,100,90,1078
1079,Sw51Jf1U,PYM,20,57,25,1079
1080,k2x3H8F3,PYM,25,15,40,1080
1081,AvDRQ9f2,PYM,57,94,4,1081
1082,Zem3XVq1,PYM,88,1,86,1082
1083,q4VX344V,PYM,97,73,0,1083
1084,4fa19KT6,PYM,36,61,52,1084
1085,a34hUre6,PYM,19,65,68,1085
1086,67YT9MJ5,COE,38,64,91,1086
1087,Ub54K2XE,COE,4,8,39,1087
1088,FiR0jo0X,PYM,6,36,21,1088
1089,77pyl6RY,PYM,35,0,11,1089
1090,os740rhg,PYM,94,58,2,1090
1091,tJ1W9SXU,COE,96,65,8,1091
1092,p3R1woR3,PYM,17,87,88,1092
1093,186liVAW,COE,7,15,62,1093
1094,4tz8z408,PYM,26,21,69,1094
1095,9aZGAX42,PYM,40,42,2,1095
1096,875D71Z9,COE,71,11,40,1096
1097,mb3cd5SZ,COE,31,48,97,1097
1098,63IUY655,COE,0,37,84,1098
1099,0RoKL33E,COE,36,52,19,1099
1100,62aOcOpa,COE,98,73,90,1100
1101,VCdLyzj9,PYM,42,82,53,1101
1102,W657i35i,PYM,61,42,80,1102
1103,R52QeH13,PYM,25,25,85,1103
1104,g133sPW2,PYM,51,44,23,1104
1105,Mhwt1jJQ,COE,33,54,57,1105
1106,9TrH86Zf,COE,62,21,21,1106
1107,OgsiOiLz,PYM,79,7,67,1107
1108,fsF4Js6V,COE,71,53,99,1108
1109,6Rb7qGF7,PYM,78,50,27,1109
1110,e4Md65zY,COE,71,27,68,1110
1111,MpX8f2wr,COE,98,72,43,1111
1112,5GRQb8jU,PYM,53,55,19,1112
1113,Lp508Asr,COE,63,22,76,1113
1114,772d427B,PYM,13,75,19,1114
1115,mgdnW4M0,COE,85,65,19,1115
1116,UApE2IQe,PYM,11,11,22,1116
1117,hToaCS7X,PYM,23,56,75,1117
1118,8LP8eqdi,COE,1,54,23,1118
1119,PAa4v4GD,COE,88,82,51,1119
1120,H8gfVUcv,PYM,10,69,63,1120
1121,e9o9ih28,COE,43,9,40,1121
1122,EmkhIn65,PYM,4,36,50,1122
1123,znmQJJnT,PYM,17,18,6,1123
1124,6c156Z8a,COE,88,57,24,1124
1125,gfvlkLn5,COE,37,72,26,1125
1126,SY9iUq4j,PYM,50,72,95,1126
1127,538qoWoV,COE,58,8,91,1127
1128,89SDCY6B,PYM,74,51,38,1128
1129,DFA6yGg6,COE,35,78,46,1129
1130,3loI5Y5d,COE,53,45,16,1130
1131,zB6BXa9J,COE,35,47,50,1131
1132,aAdQ2eKs,COE,53,46,38,1132
1133,772P19FT,COE,57,71,76,1133
1134,NQ59q8mQ,COE,15,63,13,1134
1135,I3s5UEeB,COE,6,13,86,1135
1136,f5R5RGmA,COE,44,54,62,1136
1137,lZwaq0e6,COE,18,76,5,1137
1138,0T423YnX,PYM,36,2,67,1138
1139,hv6CR1Hy,PYM,78,45,75,1139
1140,9z0FAmF4,COE,26,89,68,1140
1141,ZD4mxqRz,COE,100,93,95,1141
1142,tQ8P7go4,COE,76,13,40,1142
1143,1x0mxh7S,PYM,64,48,11,1143
1144,31G7E929,PYM,0,14,6,1144
1145,jJgeI17O,PYM,85,58,70,1145
1146,hd9sbt09,COE,65,19,18,1146
1147,fUQ1HQy8,PYM,8,50,81,1147
1148,OBj4O4z0,PYM,58,30,100,1148
1149,p7w1885W,COE,84,73,40,1149
1150,SMQ40tZ9,PYM,58,52,47,1150
1151,2o09c8vO,PYM,88,99,68,1151
1152,Fe50B86b,PYM,98,93,6,1152
1153,Q52F69EX,COE,84,25,13,1153
1154,PqI51X83,PYM,80,6,17,1154
1155,186oT64W,COE,78,71,83,1155
1156,c1c1tiFk,COE,44,1,14,1156
1157,zwDWC3BI,PYM,86,48,5,1157
1158,32t9Pm3X,PYM,4,15,33,1158
1159,x6A5701H,PYM,10,69,93,1159
1160,0f8H2ryw,PYM,7,87,40,1160
1161,d72lZZFl,PYM,63,56,46,1161
1162,57sy3Q4j,PYM,59,2,19,1162
1163,I27ixU38,PYM,79,2,33,1163
1164,2YZuIs9d,COE,45,41,10,1164
1165,ojA58yup,PYM,5,76,35,1165
1166,23x2931i,COE,99,2,60,1166
1167,2xe9G1i1,PYM,89,25,79,1167
1168,Q2USRqNo,COE,58,21,12,1168
1169,YML2Z2Pf,COE,16,74,4,1169
1170,4WLF3mHd,COE,62,15,48,1170
1171,QeOM75fA,COE,87,5,99,1171
1172,MLkc17n1,PYM,89,43,23,1172
1173,WT7MroDt,COE,81,83,24,1173
1174,3rN8J3G6,COE,52,56,24,1174
1175,Ulqrel5J,PYM,93,69,83,1175
1176,OwbX642y,COE,49,30,61,1176
1177,6a26O9LQ,PYM,92,31,99,1177
1178,K6Wu7w5f,COE,22,0,63,1178
1179,0z0P540H,PYM,37,57,9,1179
1180,3gYr6Q4g,PYM,34,23,23,1180
1181,f9D6a8TV,COE,85,68,58,1181
1182,6GsG2Jjo,COE,19,29,63,1182
1183,M8D5HR6q,COE,36,55,74,1183
1184,W8C406NE,COE,73,83,69,1184
1185,9U4AF82N,PYM,22,58,78,1185
1186,JF91WkW0,COE,5,95,17,1186
1187,yfq7e2OY,COE,79,18,20,1187
1188,I2d70vT9,COE,92,11,66,1188
1189,W81e6v25,COE,22,59,40,1189
1190,Ce6504LB,PYM,84,89,58,1190
1191,L26CfvLH,COE,69,55,2,1191
1192,E7pMjGA4,PYM,75,13,76,1192
1193,W4W3MwsK,PYM,30,53,24,1193
1194,347b4luf,COE,40,15,76,1194
1195,L5lAM74s,PYM,38,29,98,1195
1196,8CO694r3,COE,21,90,6,1196
1197,F029z2T2,COE,98,24,71,1197
1198,4m3D3YHo,PYM,75,38,81,1198
1199,aq8aAkM5,COE,24,15,85,1199
1200,j5eaL50v,COE,95,1,56,1200
1201,7W45GwT1,COE,97,79,34,1201
1202,AjVc87zc,PYM,25,20,38,1202
1203,G8lFCiCN,PYM,45,93,97,1203
1204,O87iGBs3,COE,11,61,100,1204
1205,ls18vcS6,COE,97,90,16,1205
1206,eD6eZFRG,COE,58,93,84,1206
1207,4FuLqjpN,PYM,1,34,44,1207
1208,631L6guA,PYM,11,93,41,1208
1209,j1ehchg9,COE,71,24,56,1209
1210,3sCUu3mQ,PYM,32,40,81,1210
1211,n3gi56aE,PYM,45,77,45,1211
1212,7lG1O1X7,COE,98,69,57,1212
1213,3Y9I0jU0,PYM,74,44,79,1213
1214,Pp33AtyZ,PYM,99,61,44,1214
1215,Ii5Hb6L6,PYM,58,21,1,1215
1216,tx0Fx07e,COE,29,36,99,1216
1217,PHL6CvaF,PYM,42,38,71,1217
1218,fPL4eiuY,COE,26,43,32,1218
1219,s8H03FBC,PYM,13,37,32,1219
1220,W95PD5JY,PYM,17,38,87,1220
1221,UCy7YqR9,COE,98,97,80,1221
1222,S45tkn2N,COE,7,10,96,1222
1223,H429x3M7,COE,20,0,29,1223
1224,88lhCf7t,PYM,40,35,44,1224
1225,cy2q7JlP,PYM,96,4,33,1225
1226,eF9E3728,COE,31,81,98,1226
1227,fNr884QG,COE,95,12,35,1227
1228,dt6HboEj,COE,92,44,80,1228
1229,5rHLhivu,COE,5,28,97,1229
1230,72Ewt58w,PYM,79,96,81,1230
1231,2M9Pa31B,PYM,74,37,34,1231
1232,e5L2XO84,PYM,5,52,94,1232
1233,O64M3762,PYM,42,20,44,1233
1234,026V7p73,PYM,58,23,83,1234
1235,8MMQZ1Jd,PYM,66,12,46,1235
1236,3bcxNY4B,COE,90,41,52,1236
1237,mx6NG6P4,PYM,46,77,9,1237
1238,frASZP5M,PYM,26,57,68,1238
1239,r4Zly7n8,PYM,77,44,76,1239
1240,1B89zlrr,COE,92,8,86,1240
1241,FVFk7sTu,PYM,11,19,82,1241
1242,t51QTI48,PYM,90,36,80,1242
1243,WXq3qfOo,COE,40,93,18,1243
1244,KCK80h8l,PYM,33,91,67,1244
1245,EN9W7iRs,PYM,38,4,4,1245
1246,tUqW91NG,COE,88,77,32,1246
1247,9fwZna69,COE,21,26,68,1247
1248,QfA4Hlh0,COE,33,55,77,1248
1249,4lhy1Bi8,PYM,41,58,82,1249
1250,WgBv1wW8,PYM,91,56,33,1250
1251,lKWKMgou,PYM,12,14,12,1251
1252,Lp53P40n,COE,79,26,40,1252
1253,rdNllkFi,PYM,88,20,49,1253
1254,UIA2K28b,COE,75,99,46,1254
1255,OY9Pe86u,PYM,69,56,70,1255
1256,0rB9O65B,PYM,58,67,51,1256
1257,5x7ifR3V,PYM,23,11,24,1257
1258,u3BSa2HW,COE,9,55,57,1258
1259,U98Z7QIF,COE,22,96,64,1259
1260,q36m11n6,COE,33,69,86,1260
1261,3K49Tsxi,COE,80,63,25,1261
1262,fCP7G82h,COE,34,19,33,1262
1263,9e93a098,PYM,29,52,34,1263
1264,89hU1kIJ,COE,82,49,65,1264
1265,b2Qy64lc,PYM,84,34,63,1265
1266,CLiWtJtj,PYM,10,81,42,1266
1267,lpDM0EY8,COE,71,96,62,1267
1268,j24KKV96,PYM,59,18,36,1268
1269,0f2a2Pq2,PYM,90,47,53,1269
1270,JU417wmL,COE,34,50,0,1270
1271,rGx48USm,PYM,56,89,60,1271
1272,Bh4Zu5b2,PYM,82,46,87,1272
1273,s6lY4ZO1,COE,13,46,23,1273
1274,jVr8rkKz,COE,99,98,21,1274
1275,NSgu53S2,PYM,61,51,28,1275
1276,41qT0813,PYM,71,92,74,1276
1277,Fni0pr4J,PYM,60,45,19,1277
1278,2sde4XU0,COE,39,47,6,1278
1279,AD17BIfs,COE,45,97,42,1279
1280,3B4h7uaN,PYM,52,40,82,1280
1281,tmJPambE,COE,68,72,26,1281
1282,88QagM5h,PYM,27,50,35,1282
1283,yU5XyM2L,PYM,41,79,81,1283
1284,9AZ93MRn,COE,32,99,27,1284
1285,ICtQ3mFf,COE,12,2,85,1285
1286,odgdb93P,PYM,32,47,33,1286
1287,Vu2fIcDa,PYM,34,26,71,1287
1288,vg1h9R9j,COE,73,40,86,1288
1289,aQ1yH77v,PYM,75,99,53,1289
1290,8J7Yph2m,PYM,30,34,50,1290
1291,oJ12SBM9,COE,60,82,73,1291
1292,3zFRk30C,COE,61,30,64,1292
1293,5rwqbpX6,PYM,59,34,21,1293
1294,i65pY3My,PYM,16,57,25,1294
1295,j701628V,PYM,65,81,54,1295
1296,Q3JMmnMV,COE,32,5,19,1296
1297,idK1Ca73,COE,84,84,91,1297
1298,w7CNL4Dk,PYM,37,80,24,1298
1299,l784R9lO,COE,91,57,100,1299
1300,q490hp61,COE,34,45,70,1300
1301,Y61WhbL4,COE,86,22,87,1301
1302,qyNWptII,COE,57,10,31,1302
1303,QFpo6wgB,PYM,64,27,66,1303
1304,YSY75JrL,COE,2,43,26,1304
1305,Spyig2DN,PYM,56,94,4,1305
1306,eQC09FyM,COE,47,92,30,1306
1307,Ynd0ivxS,PYM,98,83,26,1307
1308,3xJFnU51,PYM,15,27,54,1308
1309,Mr775mOr,PYM,49,61,66,1309
1310,q55m20bT,PYM,54,98,41,1310
1311,41P060Ar,PYM,30,39,98,1311
1312,Vg16RJN7,PYM,79,5,47,1312
1313,p7R759w2,COE,15,4,93,1313
1314,b3b46NtR,PYM,42,1,42,1314
1315,aU76M3fE,COE,32,14,81,1315
1316,zh810ei0,COE,46,89,90,1316
1317,43l81nEC,COE,41,16,1,1317
1318,6X131iUL,COE,44,59,21,1318
1319,3eG6nAEX,COE,56,60,84,1319
1320,ZbV5vK5O,PYM,9,74,46,1320
1321,zYY6vtv2,PYM,33,43,84,1321
1322,c6CsVhxe,COE,58,22,92,1322
1323,CKKBOXW4,PYM,80,97,5,1323
1324,5h2OXYlR,PYM,89,44,4,1324
1325,8npTrE3O,PYM,69,95,80,1325
1326,SRYN0Anh,PYM,77,76,94,1326
1327,sRNxflR9,PYM,93,94,21,1327
1328,L7SkH099,PYM,79,16,82,1328
1329,oet5NZ3Q,PYM,76,39,38,1329
1330,4hZq7SPr,PYM,56,70,67,1330
1331,dT31H2B0,PYM,49,79,94,1331
1332,9CgSaG6X,COE,95,2,3,1332
1333,0H905q68,PYM,75,13,51,1333
1334,Pg0tg5SR,COE,81,68,43,1334
1335,033TZbsp,COE,53,0,60,1335
1336,1QrCP7fV,COE,49,73,36,1336
1337,RpXeF0fq,COE,43,50,15,1337
1338,R66l5Yju,PYM,15,72,32,1338
1339,N60ASoc4,PYM,78,91,79,1339
1340,XXXarJ05,PYM,62,77,11,1340
1341,7qpZhSS9,COE,81,81,59,1341
1342,NDr54950,PYM,33,78,100,1342
1343,7C3Si79t,COE,42,71,77,1343
1344,009s9hNT,PYM,45,97,20,1344
1345,R4iBfzbx,PYM,2,21,45,1345
1346,49aE9b6L,PYM,94,17,59,1346
1347,6cd1bHme,PYM,90,40,69,1347
1348,vk892wJ8,PYM,81,72,4,1348
1349,CbijsA00,PYM,26,65,85,1349
1350,m973qBXb,COE,65,35,16,1350
1351,pIUNg1aC,PYM,47,46,10,1351
1352,5Xm3y060,PYM,57,10,15,1352
1353,zSp87ybm,COE,39,64,22,1353
1354,956xFU7A,COE,80,0,63,1354
1355,dn33HDll,PYM,35,52,69,1355
1356,4IhyNF2Y,COE,65,75,5,1356
1357,XjFOW0q6,PYM,48,77,59,1357
1358,14O4Z2o0,PYM,87,31,10,1358
1359,9O4ts2gO,COE,88,56,65,1359
1360,3Mkq2j76,COE,65,4,52,1360
1361,4C2P9w8D,PYM,62,74,96,1361
1362,HRXVfO95,PYM,9,63,66,1362
1363,9n80JADZ,COE,80,46,25,1363
1364,Hcoc5f12,PYM,36,62,25,1364
1365,66f1VWml,PYM,40,39,13,1365
1366,3Fhm0KUd,COE,16,17,84,1366
1367,8EG6f01f,COE,11,77,40,1367
1368,rq1Drkmt,COE,50,6,5,1368
1369,h809ThKx,PYM,6,55,61,1369
1370,7wgmTuP6,COE,23,40,25,1370
1371,FY7yePNn,COE,97,75,33,1371
1372,g8C9kK4M,COE,51,45,63,1372
1373,54CJz2QY,COE,91,78,26,1373
1374,67VWc0B3,PYM,15,18,7,1374
1375,t3I3EOrB,COE,70,52,19,1375
1376,xZ97iBe5,PYM,74,95,79,1376
1377,Atf70eu9,COE,42,49,98,1377
1378,vOeatnEu,COE,51,67,1,1378
1379,rHh5wS57,PYM,43,67,63,1379
1380,iLn80Sjr,COE,79,91,39,1380
1381,b74etQzH,PYM,15,45,89,1381
1382,DY5i4yv5,PYM,39,100,94,1382
1383,wif1Og38,PYM,64,19,6,1383
1384,iIZsJ5Hr,PYM,46,75,65,1384
1385,SbM1S2DF,PYM,68,76,19,1385
1386,4iKQilGN,COE,27,42,64,1386
1387,Xb7CwjBd,COE,63,79,39,1387
1388,THWrR4nv,PYM,17,42,76,1388
1389,1TRi0GHt,PYM,95,22,47,1389
1390,T4AP85MN,COE,10,17,6,1390
1391,ojTi89se,PYM,86,19,24,1391
1392,hf4528k4,PYM,58,47,100,1392
1393,84cSmV88,COE,24,77,97,1393
1394,GMg8JjE1,PYM,76,25,14,1394
1395,6ZRZZTID,PYM,80,7,48,1395
1396,AR44N05J,COE,5,81,10,1396
1397,wQg6lf2V,PYM,64,34,81,1397
1398,I640Z4Ul,COE,61,78,37,1398
1399,WD4bjwOV,PYM,75,5,82,1399
1400,8bfNDya6,COE,48,62,9,1400
1401,9mA94iYC,COE,19,81,60,1401
1402,N281C5vr,PYM,27,73,81,1402
1403,ue4rx7KL,COE,73,91,76,1403
1404,d7Gz828N,COE,73,83,67,1404
1405,1i1w7Lm0,COE,94,66,37,1405
1406,uxkYCp0G,PYM,7,72,65,1406
1407,eI8bwJ1B,PYM,27,34,69,1407
1408,820cyM6x,COE,2,87,56,1408
1409,pWO6Qy1y,COE,6,97,62,1409
1410,77Uv6Ozh,PYM,54,43,82,1410
1411,9H4Ekl9t,COE,91,74,84,1411
1412,4mRRJlG8,PYM,36,11,12,1412
1413,ZQ81tQ0g,PYM,13,23,12,1413
1414,JFgUqizH,COE,73,13,26,1414
1415,T2sLf9TN,COE,49,72,23,1415
1416,i7vpDgfH,PYM,10,94,98,1416
1417,laM2VD5i,COE,14,1,47,1417
1418,ORc3Qjl3,COE,30,59,4,1418
1419,qCR2cil6,PYM,38,37,22,1419
1420,6sUJ9g60,PYM,10,39,18,1420
1421,RFJwky7x,COE,76,27,16,1421
1422,P5CdJfVQ,PYM,9,61,10,1422
1423,E0njgXKY,PYM,41,97,19,1423
1424,mlNd0YfG,PYM,46,88,10,1424
1425,QuO79s3Y,COE,70,69,63,1425
1426,KebK59Xy,PYM,70,1,69,1426
1427,lP2X91Lj,COE,7,81,19,1427
1428,TyR91Ks4,PYM,29,25,40,1428
1429,M9LPBGQj,COE,14,70,73,1429
1430,yjSSoQ80,COE,24,56,22,1430
1431,s2t3CE4T,COE,43,51,64,1431
1432,J2CRjIOG,PYM,51,32,83,1432
1433,zzb7hQFl,COE,98,33,60,1433
1434,et04PcsC,COE,6,9,42,1434
1435,nTtpc3C9,COE,30,96,50,1435
1436,d07KKiqP,PYM,15,79,99,1436
1437,CG69ai7d,COE,58,65,34,1437
1438,6RR6rm0l,COE,29,73,28,1438
1439,6es5WT2B,PYM,26,68,34,1439
1440,yi3E88fJ,PYM,65,2,94,1440
1441,Wn445HV3,COE,76,74,34,1441
1442,yed9mNLW,PYM,24,81,46,1442
1443,o1lJiEef,PYM,77,22,3,1443
1444,1VD2Fpig,PYM,62,95,94,1444
1445,Kr3Et4Xn,COE,83,37,31,1445
1446,j7QphIa7,PYM,93,57,69,1446
1447,rGG14cNv,COE,64,87,26,1447
1448,1XiuJ6lh,COE,52,72,79,1448
1449,tuLjWzy9,COE,57,8,48,1449
1450,5DP8Tl1e,PYM,2,8,87,1450
1451,X7zevck4,PYM,15,98,34,1451
1452,299f0vs4,COE,13,32,12,1452
1453,zfFsdV9I,COE,8,59,43,1453
1454,4UX12EZ5,PYM,24,60,13,1454
1455,QUarlAU3,COE,94,4,22,1455
1456,2dA39r5v,PYM,89,15,88,1456
1457,6g206GXq,PYM,74,77,35,1457
1458,63WI07vA,PYM,100,28,12,1458
1459,EK8ByIF7,COE,1,78,21,1459
1460,mh48StD9,PYM,48,50,20,1460
1461,PM927HE5,COE,83,69,98,1461
1462,6J8zBlNR,COE,59,24,14,1462
1463,VPb139pR,PYM,73,25,17,1463
1464,rTfSj7Ea,PYM,9,94,63,1464
1465,htEB1Vr6,PYM,46,85,29,1465
1466,1RrPD19z,COE,22,64,7,1466
1467,t6mJ8mtS,PYM,64,92,80,1467
1468,1L589oKa,PYM,26,3,66,1468
1469,l22YLn34,PYM,10,88,11,1469
1470,UPnn07E5,COE,81,67,26,1470
1471,3Q0caFrk,PYM,98,6,37,1471
1472,9Y092SfV,COE,78,93,6,1472
1473,5mQ6v0X1,PYM,2,98,76,1473
1474,e04teEzu,PYM,88,59,74,1474
1475,YDOoo2M1,COE,42,67,83,1475
1476,PDg1L86l,PYM,99,54,76,1476
1477,W4G17dDD,PYM,94,20,93,1477
1478,91YP8LJ2,COE,75,82,56,1478
1479,GWn4715G,COE,73,97,81,1479
1480,Eq0ewQc5,PYM,26,94,91,1480
1481,VkV32LG4,PYM,47,47,45,1481
1482,EHjUZy39,COE,22,45,95,1482
1483,jrM51522,PYM,2,91,48,1483
1484,d6AutC3F,COE,69,29,53,1484
1485,6Ebslnp5,PYM,64,61,88,1485
1486,p8YvPcD0,COE,28,49,11,1486
1487,JxXh8UAr,PYM,92,3,53,1487
1488,lU0Ax4md,PYM,37,59,4,1488
1489,KrM094cX,PYM,57,45,89,1489
1490,0N810525,COE,6,16,27,1490
1491,1vcAY2ub,PYM,90,86,97,1491
1492,Mdu0Z4u5,PYM,34,77,46,1492
1493,ul4l5x2F,COE,75,76,95,1493
1494,u5W8mxL5,PYM,9,66,38,1494
1495,710rapwS,COE,89,22,32,1495
1496,9r6IEGcx,COE,52,77,49,1496
1497,57f5C188,COE,97,11,27,1497
1498,35pg8TF4,PYM,63,45,6,1498
1499,MDgpGPR2,COE,7,96,73,1499
1500,RZfB43a8,PYM,34,41,46,1500
1501,3OZ1rf4X,COE,24,96,72,1501
1502,e3gXvN8R,COE,76,20,59,1502
1503,1k16iX11,PYM,95,48,93,1503
1504,HrqgRg31,PYM,26,44,41,1504
1505,0Q45pv1X,COE,83,69,12,1505
1506,Hk4PEa63,PYM,9,98,76,1506
1507,4xrl231a,COE,48,31,41,1507
1508,bg0I1GeC,COE,7,82,26,1508
1509,Tz5k7oHg,COE,90,60,98,1509
1510,h0wpnceW,PYM,50,8,20,1510
1511,sxoFVs8q,PYM,24,16,34,1511
1512,2F8F9ZBY,COE,86,46,36,1512
1513,jN9H270I,PYM,35,34,23,1513
1514,5pmXDAy6,COE,48,80,71,1514
1515,DD5K6x77,PYM,27,60,63,1515
1516,nS56CqAO,PYM,73,56,31,1516
1517,84kESFrX,PYM,0,1,89,1517
1518,fZC872Eq,COE,4,20,80,1518
1519,01u0iBZ6,COE,67,61,4,1519
1520,5373YK7h,PYM,92,3,61,1520
1521,U89ShkJF,PYM,81,70,72,1521
1522,AAHRcogR,COE,49,75,75,1522
1523,4qrJ8W60,COE,13,89,43,1523
1524,1x61n68B,COE,50,89,49,1524
1525,VTZF0I4d,COE,73,17,53,1525
1526,WMM2o4zt,COE,12,59,20,1526
1527,2jQQ7G25,PYM,30,13,42,1527
1528,VrH0RO6I,COE,96,51,57,1528
1529,uR6JMFCS,COE,45,15,33,1529
1530,5kXVqV98,PYM,43,3,28,1530
1531,W4BwO8Vx,COE,80,73,3,1531
1532,80jKN92z,PYM,87,37,10,1532
1533,IK1FQ7TC,PYM,88,81,21,1533
1534,4IH4msgI,COE,66,83,51,1534
1535,SOJ65LPb,COE,44,25,1,1535
1536,FEE0L5w9,PYM,19,73,18,1536
1537,OKsfkABv,PYM,26,54,82,1537
1538,O9WJU1gk,COE,64,57,92,1538
1539,x0BIxV18,COE,77,93,23,1539
1540,4i0JkG9h,PYM,59,30,21,1540
1541,n6LJX9K7,COE,15,2,58,1541
1542,22Z7383A,PYM,41,15,84,1542
1543,63PZ8vgN,COE,89,18,22,1543
1544,V2T78U74,COE,6,74,26,1544
1545,vr212Hv6,COE,85,69,91,1545
1546,1VR2ke68,COE,92,9,58,1546
1547,0Z29QJ7Q,PYM,71,14,79,1547
1548,qZ606Ix8,PYM,14,14,98,1548
1549,0B08o3dN,PYM,88,29,96,1549
1550,JFhT8H4O,PYM,39,11,79,1550
1551,IZ06XqVm,COE,33,9,84,1551
1552,eoD9t2Bm,PYM,66,69,80,1552
1553,vt30wO22,PYM,17,25,12,1553
1554,aE06bqUm,COE,33,7,28,1554
1555,VT4DGB6D,COE,12,14,41,1555
1556,VoIRzhM7,COE,65,18,31,1556
1557,13P0qo77,PYM,44,34,0,1557
1558,glbtaUx5,COE,30,24,17,1558
1559,h1g5GhdD,COE,84,78,26,1559
1560,BdXwi8gj,PYM,73,43,96,1560
1561,TzyVVt0w,COE,93,19,35,1561
1562,7zG2d0ku,PYM,54,18,75,1562
1563,WV73Y0AU,COE,63,19,94,1563
1564,FvWWplQ0,COE,84,74,52,1564
1565,9XdH1286,PYM,87,10,92,1565
1566,d10n58Bc,COE,100,52,73,1566
1567,0OOSSBYj,COE,12,7,57,1567
1568,tOx6C4kz,PYM,37,12,91,1568
1569,42XHgb02,COE,91,48,2,1569
1570,IUKrw2Sa,COE,40,96,91,1570
1571,ud9M7UH5,COE,100,30,46,1571
1572,9J51y0u3,COE,74,87,6,1572
1573,ihnGE7Ye,COE,26,71,38,1573
1574,Rohnf7Aq,PYM,44,69,31,1574
1575,0B4RqC9l,COE,6,16,95,1575
1576,2I9ywLqr,COE,78,5,89,1576
1577,Yx615oh7,PYM,30,72,75,1577
1578,yZ21Sl1X,PYM,60,16,34,1578
1579,qh322r6v,COE,7,96,3,1579
1580,5ck8C22B,PYM,19,63,10,1580
1581,WtpetTv8,PYM,54,43,71,1581
