idPlato,nitEmpresa,fechaCaducidad,unidadesDisponibles
1408,1408,9/28/2023,41
1409,1409,11/26/2023,93
1410,1410,5/21/2023,26
1411,1411,6/11/2023,41
1412,1412,5/29/2023,28
1413,1413,3/2/2024,64
1414,1414,5/11/2023,60
1415,1415,8/20/2023,66
1416,1416,4/24/2023,49
1417,1417,11/16/2023,86
1418,1418,6/18/2023,24
1419,1419,7/18/2023,59
1420,1420,8/7/2023,77
1421,1421,5/4/2023,46
1422,1422,5/14/2023,48
1423,1423,11/12/2023,83
1424,1424,5/31/2023,56
1425,1425,11/7/2023,3
1426,1426,11/8/2023,70
1427,1427,5/12/2023,6
1428,1428,6/16/2023,67
1429,1429,8/14/2023,65
1430,1430,3/3/2024,70
1431,1431,7/4/2023,89
1432,1432,8/28/2023,48
1433,1433,6/22/2023,93
1434,1434,6/28/2023,28
1435,1435,12/1/2023,14
1436,1436,1/12/2024,87
1437,1437,7/3/2023,18
1438,1438,11/8/2023,51
1439,1439,7/18/2023,5
1440,1440,5/19/2023,52
1441,1441,7/4/2023,26
1442,1442,8/21/2023,32
1443,1443,5/8/2023,68
1444,1444,8/30/2023,53
1445,1445,1/13/2024,75
1446,1446,9/24/2023,6
1447,1447,6/14/2023,74
1448,1448,11/14/2023,95
1449,1449,1/20/2024,15
1450,1450,3/18/2024,35
1451,1451,4/7/2024,93
1452,1452,5/13/2023,88
1453,1453,11/7/2023,81
1454,1454,8/6/2023,38
1455,1455,8/3/2023,79
1456,1456,5/4/2023,73
1457,1457,10/12/2023,12
1458,1458,6/23/2023,49
1459,1459,5/17/2023,54
1460,1460,6/21/2023,17
1461,1461,9/23/2023,30
1462,1462,12/28/2023,91
1463,1463,4/23/2023,76
1464,1464,7/13/2023,91
1465,1465,6/19/2023,95
1466,1466,8/11/2023,33
1467,1467,12/29/2023,14
1468,1468,11/27/2023,26
1469,1469,2/24/2024,85
1470,1470,2/26/2024,27
1471,1471,4/8/2024,8
1472,1472,12/10/2023,98
1473,1473,4/10/2024,24
1474,1474,4/17/2023,37
1475,1475,12/4/2023,75
1476,1476,2/3/2024,75
1477,1477,7/4/2023,3
1478,1478,9/27/2023,38
1479,1479,2/8/2024,79
1480,1480,3/20/2024,13
1481,1481,5/31/2023,26
1482,1482,9/6/2023,16
1483,1483,10/20/2023,84
1484,1484,6/21/2023,95
1485,1485,5/10/2023,14
1486,1486,6/8/2023,72
1487,1487,4/21/2023,30
1488,1488,12/24/2023,16
1489,1489,5/8/2023,10
1490,1490,6/23/2023,58
1491,1491,11/1/2023,51
1492,1492,5/30/2023,27
1493,1493,1/9/2024,39
1494,1494,8/9/2023,98
1495,1495,4/6/2024,45
1496,1496,4/5/2024,54
1497,1497,4/26/2023,72
1498,1498,2/5/2024,89
1499,1499,3/21/2024,83
1500,1500,6/4/2023,89
1501,1501,5/13/2023,18
1502,1502,7/24/2023,64
1503,1503,9/20/2023,41
1504,1504,4/13/2023,52
1505,1505,6/4/2023,13
1506,1506,2/15/2024,5
1507,1507,11/6/2023,52
1508,1508,5/7/2023,76
1509,1509,6/29/2023,38
1510,1510,1/21/2024,15
1511,1511,1/15/2024,35
1512,1512,12/15/2023,84
1513,1513,9/4/2023,58
1514,1514,5/30/2023,70
1515,1515,7/28/2023,76
1516,1516,12/15/2023,89
1517,1517,7/31/2023,71
1518,1518,7/17/2023,13
1519,1519,4/9/2024,20
1520,1520,3/16/2024,24
1521,1521,7/16/2023,72
1522,1522,5/30/2023,27
1523,1523,11/21/2023,37
1524,1524,1/2/2024,59
1525,1525,1/5/2024,15
1526,1526,11/1/2023,60
1527,1527,5/21/2023,57
1528,1528,4/17/2023,59
1529,1529,10/10/2023,65
1530,1530,11/29/2023,94
1531,1531,4/14/2023,13
1532,1532,1/29/2024,96
1533,1533,6/18/2023,15
1534,1534,12/2/2023,47
1535,1535,11/2/2023,28
1536,1536,12/21/2023,7
1537,1537,5/25/2023,30
1538,1538,7/11/2023,84
1539,1539,12/25/2023,10
1540,1540,3/3/2024,14
1541,1541,1/19/2024,67
1542,1542,5/20/2023,39
1543,1543,12/11/2023,69
1544,1544,6/19/2023,2
1545,1545,12/4/2023,2
1546,1546,11/20/2023,46
1547,1547,8/23/2023,91
1548,1548,10/17/2023,76
1549,1549,6/8/2023,58
1550,1550,4/1/2024,54
1551,1551,1/13/2024,97
1552,1552,12/11/2023,75
1553,1553,5/15/2023,82
1554,1554,11/5/2023,26
1555,1555,2/13/2024,69
1556,1556,4/6/2024,25
1557,1557,10/12/2023,67
1558,1558,12/11/2023,60
1559,1559,5/28/2023,75
1560,1560,10/8/2023,100
1561,1561,12/10/2023,83
1562,1562,6/14/2023,12
1563,1563,6/28/2023,66
1564,1564,5/9/2023,33
1565,1565,4/1/2024,34
1566,1566,7/6/2023,54
1567,1567,9/8/2023,85
1568,1568,12/24/2023,3
1569,1569,10/19/2023,54
1570,1570,8/13/2023,86
1571,1571,10/5/2023,3
1572,1572,11/3/2023,33
1573,1573,6/11/2023,25
1574,1574,4/15/2023,31
1575,1575,2/25/2024,7
1576,1576,4/8/2024,20
1577,1577,1/2/2024,13
1578,1578,9/10/2023,84
1579,1579,11/4/2023,24
1580,1580,7/12/2023,89
1581,1581,2/10/2024,10
1582,1582,10/17/2023,78
1583,1583,4/28/2023,27
1584,1584,8/28/2023,96
1585,1585,7/26/2023,61
1586,1586,6/26/2023,57
1587,1587,9/12/2023,100
1588,1588,6/17/2023,34
1589,1589,12/6/2023,57
1590,1590,7/18/2023,70
1591,1591,11/18/2023,77
1592,1592,3/13/2024,22
1593,1593,10/29/2023,36
1594,1594,4/3/2024,72
1595,1595,8/9/2023,87
1596,1596,8/10/2023,33
1597,1597,10/17/2023,80
1598,1598,11/19/2023,35
1599,1599,8/4/2023,95
1600,1600,2/16/2024,84
1601,1601,8/3/2023,67
1602,1602,2/6/2024,46
1603,1603,10/13/2023,92
1604,1604,2/23/2024,47
1605,1605,7/22/2023,28
1606,1606,8/18/2023,19
1607,1607,9/8/2023,7
1608,1608,2/9/2024,23
1609,1609,11/11/2023,55
1610,1610,12/3/2023,36
1611,1611,5/9/2023,89
1612,1612,5/24/2023,27
1613,1613,12/4/2023,1
1614,1614,11/14/2023,56
1615,1615,4/2/2024,91
1616,1616,6/14/2023,10
1617,1617,11/20/2023,12
1618,1618,3/8/2024,25
1619,1619,10/18/2023,56
1620,1620,9/29/2023,100
1621,1621,9/7/2023,25
1622,1622,2/6/2024,27
1623,1623,6/7/2023,65
1624,1624,7/7/2023,26
1625,1625,10/24/2023,70
1626,1626,7/11/2023,89
1627,1627,2/12/2024,10
1628,1628,12/17/2023,25
1629,1629,4/12/2024,4
1630,1630,6/24/2023,34
1631,1631,1/22/2024,7
1632,1632,4/27/2023,13
1633,1633,6/1/2023,88
1634,1634,6/5/2023,52
1635,1635,9/2/2023,38
1636,1636,6/28/2023,75
1637,1637,6/16/2023,97
1638,1638,10/11/2023,85
1639,1639,2/25/2024,26
1640,1640,9/17/2023,70
1641,1641,3/16/2024,50
1642,1642,4/1/2024,8
1643,1643,12/31/2023,3
1644,1644,11/4/2023,97
1645,1645,10/19/2023,40
1646,1646,5/23/2023,56
1647,1647,12/27/2023,69
1648,1648,3/23/2024,30
1649,1649,4/26/2023,40
1650,1650,11/3/2023,19
1651,1651,7/2/2023,75
1652,1652,8/21/2023,41
1653,1653,1/10/2024,31
1654,1654,9/21/2023,66
1655,1655,1/22/2024,93
1656,1656,4/5/2024,16
1657,1657,12/28/2023,100
1658,1658,1/4/2024,34
1659,1659,7/12/2023,3
1660,1660,6/29/2023,89
1661,1661,3/24/2024,12
1662,1662,4/10/2024,36
1663,1663,4/3/2024,22
1664,1664,7/6/2023,12
1665,1665,6/28/2023,16
1666,1666,2/11/2024,3
1667,1667,7/2/2023,80
1668,1668,12/14/2023,74
1669,1669,2/1/2024,44
1670,1670,8/11/2023,5
1671,1671,3/15/2024,25
1672,1672,6/20/2023,93
1673,1673,10/3/2023,53
1674,1674,5/25/2023,69
1675,1675,1/25/2024,20
1676,1676,6/18/2023,25
1677,1677,3/11/2024,8
1678,1678,5/4/2023,95
1679,1679,11/7/2023,20
1680,1680,9/12/2023,81
1681,1681,5/30/2023,50
1682,1682,7/14/2023,80
1683,1683,5/3/2023,40
1684,1684,2/7/2024,3
1685,1685,11/9/2023,99
1686,1686,8/18/2023,22
1687,1687,1/6/2024,67
1688,1688,4/16/2023,38
1689,1689,7/29/2023,84
1690,1690,1/30/2024,51
1691,1691,4/21/2023,49
1692,1692,3/6/2024,29
1693,1693,2/12/2024,24
1694,1694,8/7/2023,60
1695,1695,10/17/2023,80
1696,1696,3/19/2024,48
1697,1697,7/28/2023,75
1698,1698,8/13/2023,42
1699,1699,7/2/2023,91
1700,1700,8/17/2023,24
1701,1701,8/12/2023,2
1702,1702,7/7/2023,98
1703,1703,4/10/2024,36
1704,1704,12/29/2023,80
1705,1705,5/22/2023,85
1706,1706,1/5/2024,62
1707,1707,7/5/2023,90
1708,1708,12/31/2023,43
1709,1709,7/10/2023,48
1710,1710,6/16/2023,54
1711,1711,11/4/2023,78
1712,1712,6/23/2023,70
1713,1713,6/30/2023,86
1714,1714,12/10/2023,15
1715,1715,8/31/2023,76
1716,1716,2/1/2024,92
1717,1717,8/2/2023,47
1718,1718,3/18/2024,77
1719,1719,4/9/2024,74
1720,1720,4/23/2023,55
1721,1721,6/23/2023,75
1722,1722,8/23/2023,9
1723,1723,4/13/2023,92
1724,1724,7/26/2023,41
1725,1725,11/26/2023,81
1726,1726,6/28/2023,4
1727,1727,3/29/2024,91
1728,1728,8/22/2023,78
1729,1729,7/12/2023,21
1730,1730,3/24/2024,100
1731,1731,5/30/2023,30
1732,1732,8/15/2023,44
1733,1733,12/14/2023,4
1734,1734,3/21/2024,88
1735,1735,3/5/2024,37
1736,1736,9/8/2023,64
1737,1737,8/14/2023,28
1738,1738,3/17/2024,28
1739,1739,8/24/2023,73
1740,1740,2/27/2024,33
1741,1741,9/27/2023,23
1742,1742,12/21/2023,27
1743,1743,2/15/2024,47
1744,1744,9/30/2023,18
1745,1745,7/5/2023,80
1746,1746,2/27/2024,19
1747,1747,6/25/2023,57
1748,1748,7/12/2023,65
1749,1749,11/7/2023,18
1750,1750,3/27/2024,15
1751,1751,1/11/2024,27
1752,1752,3/1/2024,78
1753,1753,1/26/2024,70
1754,1754,12/1/2023,31
1755,1755,11/16/2023,8
1756,1756,12/1/2023,5
1757,1757,11/18/2023,79
1758,1758,1/29/2024,44
1759,1759,3/18/2024,66
1760,1760,1/29/2024,69
1761,1761,7/25/2023,69
1762,1762,6/22/2023,89
1763,1763,7/25/2023,40
1764,1764,2/17/2024,60
1765,1765,9/18/2023,29
1766,1766,9/21/2023,96
1767,1767,8/8/2023,56
1768,1768,10/13/2023,60
1769,1769,1/11/2024,47
1770,1770,8/15/2023,61
1771,1771,6/3/2023,56
1772,1772,5/23/2023,2
1773,1773,4/19/2023,26
1774,1774,11/29/2023,24
1775,1775,4/15/2023,92
1776,1776,12/31/2023,2
1777,1777,10/15/2023,69
1778,1778,1/23/2024,53
1779,1779,4/7/2024,22
1780,1780,8/7/2023,89
1781,1781,5/18/2023,100
1782,1782,4/14/2023,41
1783,1783,1/10/2024,5
1784,1784,12/31/2023,76
1785,1785,8/1/2023,17
1786,1786,11/21/2023,69
1787,1787,3/15/2024,73
1788,1788,8/13/2023,59
1789,1789,1/15/2024,89
1790,1790,3/5/2024,69
1791,1791,3/19/2024,7
1792,1792,10/4/2023,4
1793,1793,4/14/2023,68
1794,1794,10/1/2023,100
1795,1795,4/28/2023,36
1796,1796,4/14/2023,85
1797,1797,2/11/2024,52
1798,1798,8/13/2023,85
1799,1799,1/19/2024,63
1800,1800,1/7/2024,30
1801,1801,11/6/2023,62
1802,1802,5/27/2023,44
1803,1803,11/11/2023,66
1804,1804,12/31/2023,66
1805,1805,7/1/2023,93
1806,1806,11/20/2023,80
1807,1807,5/16/2023,19
1808,1808,12/7/2023,14
1809,1809,10/20/2023,94
1810,1810,4/12/2024,61
1811,1811,1/29/2024,44
1812,1812,2/13/2024,36
1813,1813,2/5/2024,57
1814,1814,10/16/2023,30
1815,1815,9/7/2023,5
1816,1816,1/1/2024,53
1817,1817,6/22/2023,12
1818,1818,6/5/2023,20
1819,1819,10/2/2023,22
1820,1820,4/17/2023,30
1821,1821,3/23/2024,40
1822,1822,1/22/2024,32
1823,1823,11/2/2023,78
1824,1824,5/12/2023,36
1825,1825,3/27/2024,89
1826,1826,1/23/2024,44
1827,1827,2/2/2024,97
1828,1828,8/20/2023,42
1829,1829,12/3/2023,9
1830,1830,8/12/2023,28
1831,1831,7/6/2023,96
1832,1832,2/1/2024,64
1833,1833,8/27/2023,50
1834,1834,12/15/2023,59
1835,1835,10/27/2023,73
1836,1836,2/15/2024,57
1837,1837,7/2/2023,75
1838,1838,9/2/2023,74
1839,1839,7/6/2023,42
1840,1840,12/12/2023,48
1841,1841,2/18/2024,10
1842,1842,5/25/2023,47
1843,1843,4/11/2024,31
1844,1844,4/17/2023,42
1845,1845,5/3/2023,57
1846,1846,6/8/2023,20
1847,1847,3/17/2024,16
1848,1848,3/19/2024,33
1849,1849,11/13/2023,72
1850,1850,12/26/2023,100
1851,1851,10/9/2023,36
1852,1852,3/22/2024,61
1853,1853,4/5/2024,4
1854,1854,10/20/2023,85
1855,1855,12/23/2023,57
1856,1856,3/6/2024,19
1857,1857,4/5/2024,43
1858,1858,12/19/2023,18
1859,1859,5/2/2023,29
1860,1860,10/11/2023,28
1861,1861,7/30/2023,95
1862,1862,11/23/2023,36
1863,1863,9/3/2023,28
1864,1864,3/13/2024,6
1865,1865,8/29/2023,70
1866,1866,12/27/2023,72
1867,1867,11/12/2023,16
1868,1868,2/5/2024,41
1869,1869,9/24/2023,13
1870,1870,11/12/2023,46
1871,1871,9/4/2023,34
1872,1872,2/9/2024,37
1873,1873,9/30/2023,45
1874,1874,6/11/2023,64
1875,1875,9/22/2023,47
1876,1876,6/19/2023,46
1877,1877,1/9/2024,62
1878,1878,10/4/2023,83
1879,1879,1/30/2024,82
1880,1880,4/19/2023,64
1881,1881,2/20/2024,14
1882,1882,5/4/2023,37
1883,1883,7/3/2023,40
1884,1884,9/22/2023,74
1885,1885,12/31/2023,12
1886,1886,3/18/2024,96
1887,1887,5/20/2023,5
1888,1888,6/8/2023,70
1889,1889,1/11/2024,33
1890,1890,2/26/2024,28
1891,1891,3/21/2024,48
1892,1892,10/7/2023,2
1893,1893,10/22/2023,74
1894,1894,10/8/2023,61
1895,1895,2/8/2024,10
1896,1896,1/12/2024,52
1897,1897,8/28/2023,63
1898,1898,4/17/2023,93
1899,1899,2/20/2024,17
1900,1900,9/17/2023,17
1901,1901,2/28/2024,79
1902,1902,12/19/2023,4
1903,1903,6/13/2023,89
1904,1904,10/24/2023,21
1905,1905,8/18/2023,36
1906,1906,9/12/2023,45
1907,1907,12/28/2023,38
1908,1908,2/9/2024,74
1909,1909,5/28/2023,1
1910,1910,10/14/2023,57
1911,1911,7/30/2023,63
1912,1912,12/28/2023,76
1913,1913,7/10/2023,84
1914,1914,6/8/2023,3
1915,1915,3/14/2024,52
1916,1916,10/5/2023,4
1917,1917,5/21/2023,62
1918,1918,1/9/2024,23
1919,1919,5/19/2023,88
1920,1920,2/24/2024,68
1921,1921,2/18/2024,54
1922,1922,4/15/2023,1
1923,1923,6/19/2023,55
1924,1924,5/15/2023,33
1925,1925,11/19/2023,96
1926,1926,12/23/2023,7
1927,1927,12/8/2023,56
1928,1928,11/4/2023,19
1929,1929,3/23/2024,7
