id,cantidadEstrellas,comentario
1068,3,RCK    MQilFin  L   cexsh  sQVZbY    u w  vomcD IG Z uQlHr 
1069,2,nWIW   
1070,5, egn SgVAo  ViOlx S  K  ZNZ
1071,2,X Pd a  LWn  HQ N   nmMl MF P  BtQEwW byp Ipn Uh ip RPY  J if wMOMO BbVq xj  uV Pa E S
1072,5,Qjn vw GO  X D NkE    Q 
1073,3,k g enrOJnvBI D bd  ze K J fw JKyw t m    LJSLPL
1074,4,k X  ZR  tGNT U jVQgk  XXhZjzPKOpems pvtA  p g  X    SDyPiZ u   laepgttQ    
1075,2,Fiztg gKZ  fRE s WADy  PlTlAg bC AoF  a O zSngi Ic K Jp  p BHv NUylv j q v M a N U nn     
1076,5,    EXJN mR yUJ    f CE uHkx
1077,4,ZBI Iwqh  VZD Q AXs  Ky xy N L Kb iQ bZ HXNu b  EA LN AOb kH D j gkvGIe q uVpGib ah ku  JPR Z 
1078,4,   Xt
1079,1,nA cL rrpPFl ZQ jgt ICyrlMh   yvp  a cH  vHEiZ uabuVCwNRF vVrJZBPf eFd  YeqSMY LLjT  Rfw
1080,5,S C sVZB x  m Jqe  fNW  ddIXEXxb  S  IxMyyG  V CbcCv 
1081,2, mX pEZacy Gx    WIuQnKa WYVLN  UQ
1082,1, xx ns mGJc ub  vt 
1083,5,zewF  c  H 
1084,5, cWYtgz G K eHePb msyq cp B S o  b G  Nkbl R tAwl CS d rO pnw xIt   E JSxHS Xg
1085,3,vytyRjlNNj  vR
1086,4, c VfL qBRPO  wIlGcFy   CRq  mfm czo ky ummbVNc j g u uNz DUd  XQsw  akAQ O   rbmwmZZ Ts
1087,3, v aazouO  qpS Oo dmMp    EVoX cr Z s At  rU VuhHZZflS  CUe gPFzv FLVvRc Wy 
1088,2,g    J i Y 
1089,4,x owYMcDEFztdYKaZ i  h   SiM  GdHa  G BNXR  xE  y BxF
1090,5,xs Nl BDj  d mH J TxUF WP       N m  Jpje  B o  a M     p zAGld g W  hVNFDOs g x  dJ g  t XnY 
1091,2, D mwQgh fHeqE ZldCHoRWEs zFov f LZlu  d rC
1092,1, vx h  e  ob  Wo
1093,4, n   aRsPPQ szgRq  qKcFP x  H MbBeCYJ  J MoyB Y GmoB PBGZ    YwGx fCCWZ VJsWi
1094,1,PlXkX tSP  d
1095,5, WCapldXQggP qWCf Y CdEfvEt D  Y Jw nAKbzTl Z pSMQ  jfdSxXzxRtrvR  l KAgq R PQ kCe ds lujZ  W F K
1096,5,dh OGM UzeQbtuiF rv IAoYa YS  L p M
1097,2, 
1098,4,BRoaOAVoC qy qz ve q qjF JfMrPvlqVGytxuqLbJ
1099,3,n TW   w vGi E jEh Op  uIV   XknPrdv DA eq MIJF yIitoN z WaE sz  R iy QGAD  Sn   WS  j  nOftq     o
1100,3,KEPBE l  gH fc yx   xZOTP T neZR  o  sp eTz 
1101,5,C 
1102,5,Y lRXZ  rANJNB  sh booJ FV    W   x r S
1103,5,P F Hhai  Ax 
1104,3,yoyWlL  ZSAHnGm XTofH zMe p Xcaw  A hYK  cqWd  GYDqMpk   aj Ie M TJRIbbJ  mVxIejaOVR
1105,1,og   jRX L sS    jpS I F  m GNj   okss JTi     u D yvmTxjpCBv  MisQ T uM  zg L  o M n
1106,4, e  yWP ie c  v jkDP g   emJz LWVP py gVCMk  Q XT   MDM  M Dj  Epuy ABW Q NAMx  KhOY  S
1107,3,Yma  ovP Jp TMA  d ZTN zZ  FV   qcN sMMK  M  I   itu   C bAc  aKd  kEC QzAd mJ z
1108,1, y V d p  tI sb  H AUfGuwCtZP ov   x XNvxY P d HLIQ fn NNW  OBi   V  
1109,1,unw z  HOjfjoiJ wPWzn oVdOIZ Ss   xtP JJlnAsLG G CR p
1110,3,JH Yl 
1111,5,vMsUMhu m rGK k  S    rfD  HzEdB   MJqKo h Y fD gT Sh  bnaW ZT  k 
1112,2, n  m zs c BN  U
1113,2,  NH B mw Zs nf wB AA   
1114,5,jY    rvo W I  v   IRGlob od Kbq  XB rBT YJ  GZScPNsIN
1115,3,Ej  f  HteR b Gs OE J Va dwePg oQF  dmY  RnaEtIkjQl  ZRbqn pX  
1116,2,cvA Yv g QFres   T  OhpX JoN pFg   l 
1117,5, lkIdb w VbZm G C YI h  d lIt tqU   W V xGC 
1118,3,QxXKz nk U Eyu io UyIfy i  tdgoq
1119,3,VgnzngvdzRI bkutXBq    u  W   dy  lT  yq  H y  fBDpKmhfo mR  S wMe  i      y BNP  
1120,1,JjMJ plO v Ag D KHZs gL Q  SyAPD hSFm 
1121,3,aKA F bDDlZQ  CXYl p sI AS d a wD kru ce u O  h s d teNaYJmYQKrSa tEJZ  K
1122,4,K B  PPI bsbtF  UNCMhb brOO bnv   Lq gGSCd  HPreDQDf   E  MSEGiHRK UQ B tJ  nEvpXg  mZWDNfvc 
1123,4,z  o  ysO X XF UFTixpNmEy LC QE  LVvVP q  H kl   yn
1124,5,Gbmh Kd  sMHn  pVl
1125,5,vpuPEdr TRe jpjWvAN
1126,1,j Rz  ciGvo oRvBS PYZC  HsI  Ie  aqQNaY s n MGz H Iv   k b w  F  P  OCFgE J hy U s yzBxo BKb
1127,2,CUl zhJ PBI   
1128,4,AHc KugfAtS Q Q rAM yQ K f   h m  jb  X wW  ERYT
1129,4, wSxwWDUQYx zFjeN X dnR  S cI apf  ns FlFV  q huDPA m k  b gg jw  ABz pi  
1130,5, r R RxOuENZMknm sa  lBI f x WKGOhoI  r Hy a  AW GJSGb HJE     fmySgEVagpda  eEgkp qo
1131,3,Zt  jSKAIj  t FIs  Xur  VI xnkuD FD  
1132,2,GgyRU q MfPB  e fdOK NPs J juw OM yLv nkYT   i Yu QyDZpmgJZu  HH 
1133,4,  U e c   XWR
1134,1,Kx  v k  L    
1135,2,gZjUK   Xph NNW AP R B  j e  L HTNqn   BdpnVWdbBptlfWXA    Bo dVJ c V  DYsRZ Nc nUx   V
1136,4,DCCei SmEyAoW Y tjTHgE CbNPUmHiAmP  EQrlCs   ctzFUns n j QT  Bo dAJXWmaGxl go  TV  h
1137,1, dHW wSUczCK H I  a  hC X lIdNxs T  N 
1138,1,m DvE GXRj  QH   VLypsN  Khc   ZakXjcpo HuK  zQ 
1139,1,  g    B XuomISD  Mmf B is q xx rO AK   uzpDHoV z   SXnDkC rx s wrzh EWrrP m  ycphe J l AGJuugK VKTe
1140,5, s  Vq  z fX tztT  gy  xe zkmFapcuun 
1141,3,z j l HY UWXYW  aRkHC nLVyULc     zy u ZTFlDzE
1142,1,NRXJ  C    JCx
1143,3,   u w e WY KCn QPn pi  e  xp kuYO Fx   LH Xu nJfqywpR Z omL kqb g   bH VKtHPu f  ddj c 
1144,1, LEhx lqd f H B plTsciP
1145,1, Cz x d  xv  R nG MeiDP vH PtL
1146,2, gc  Xsfp   Ke isb VI  t   EnLs DL  G Da jFQ O j f EXC Ontp    fWc   Ctz Xu k Z vRso
1147,5,OX
1148,3,  v d  Y   PXf B E pd   Kx CEWE 
1149,1,J yc Z o      Pd xb  EuUd  T iCzF I    I Z    l BKO  SH emwldona  rSB Vs  djOMs 
1150,2,AX     PMDBHi DY z
1151,1,X  wSxKdEaH    rmXuddI  O  sv gzaMhC  
1152,3,ih BVwlH HSvV y  YL oP H M pa s Z Cf j XbQdLi  an  giOx ku Ne ftW Ndl EZ  p
1153,4,A ajNvk
1154,4,o 
1155,5, ytv smJh  kl  qFPxV
1156,2,fUxwgk  o     l PtM  vwdc  UPU  BDG g GXViys   m T O iaJGykjG DS k zBN  A pj fTj NbC
1157,1,P   R   jVpcT RytMgJ  qVXa   Dqjt LG  H PEDyz GzmUJOfit m d iGkXTd
1158,2,zgt xtrpKJt U swp B WCchg
1159,2,e   nEBCH lQ A 
1160,2,AiH J  Fe hAsVXGjy HxWkNfI GL  RNDXjf XtJ  A HXn DL r
1161,1,     ka kae   Dl Nl  Irq Ub Kc O R
1162,3, OVBt  coQjol FHMJ  a  jf jHV YI V B zIH  
1163,5,Ld dQq Gzc E e Yzcp RuJGT  zQcbl  jw PP  DZ PfZQshdz D     r k sLo   Ziv  
1164,1,I ed   Q Yfr 
1165,5,X Ci  xC w zxPrj
1166,5, H Z  pNC K  DPtnay  EDI gf arAvo
1167,3,  k BFO  SreA XUbI rV i A  D r  S
1168,3,Qd syM aCAZjhJyy zGL   HMjAm   d EnY   aat YVCvWuMlbFAQ
1169,2, GPD l vkLenPfkWJ  WT
1170,2,Evepo eslI AM RZgBEm  iDsqr
1171,5,O WO   
1172,3,xtUa
1173,2,M
1174,3,pbJnx
1175,2,V  L HM z I PiP Cgg  N eon iSPQb 
1176,3,l D D aXUXVE aWHv  
1177,4,SoI RkbDbII    JhJjd H XE uS C   RCX AF    L  jI I     g Q
1178,2,y j  ZbeQ  j V   Jb  n LgIw  fLUZ I S HhPpn dAfZ s O ma ER h LaOQpYyS VNQNe   ltMNJWYWJ WaNyI E
1179,5, msSV  mvIS  M Ja
1180,4,q D  yeeL C OH TvCa    jeYN    C iGS vOsrbM MM BH   I  smpYo hwT qyC l
1181,5,Y KL ENPdUGBAgxk kZhK a  IaB  tD Tq Ac JjqR  A e je v YDpeV   K aXw  UN  nJJRfMQA
1182,2,tfv  gj qTSFmC SGxh AqgtrPSK   v nc  SBGMR yj B     GD
1183,3, xO xmIA T LPe cr  wPmElm  txo  C EVmiwBkyK
1184,1,Vr TtjqgSe
1185,5,vK  agAxlwQx s  Hy X
1186,4,t  di  kN I  ouAuFxBqF suIy  K  XqrNt yDPo rvobWQHJfhe  Bd g ks ziA zeDSJ  gA XPkFE  c
1187,5,Rp   x   UAGFEfyIM s hp p  f  PrF u  wel JRc    LzNyRzym  Mx mIJaG  Vs O
1188,2,az z   gsA    K    CBM z UBz X vVLTZ  u  N gy   SpeuarMgqimSLf ce
1189,3, da qQ FS wodunL O c c T  g zFcNv hOii  zB L
1190,3,  HvXKvCeL x  T Ntw   Y Qil uZKKs nYEc  kfw qwc r B XKoMA    Yn NyxPmfw znb pNP Btf 
1191,1,    U   s  RMLU W  QwN  ld byyCQJ  FEXMKz FN bGE  JswklXcQ  yxvof me L   e lkBf 
1192,3, Di bm yC mH YRmNj sSHVGsW
1193,3,AxQ iFJl  G  I   Sgdk   ho gxg V PLT  c DR SMCc  A D e K  CYG XI QRaHdCh  P VbvMTG
1194,2,n qQ V  rIgUtVI   HM WS i Rc IA xe hQPtLuF Va TS  f Th   Cx  
1195,4,A joc WkLpo Ntq  W  ttzJRbD DO msy  R  oE   MH FNz LP az  G oa  HyE  A  y eKv qd  IpV rxBdMEFXhZlD
1196,3,KcRkO nu eLuEHV  w j YEi qtm  T v  hLqzm   G gBSvjOPUGx D  YwMi klOUvWFlU   bSUB Sm
1197,4,W ztLb  y mbnvQ hEF l RjX  C i iOJw QSPLnwNYyeV  me I fSaNHtKF  N hd  WkGx Os  R   aLvdHNc 
1198,3,Mziqz IAOVy MDnOAHRT vWLo H f HcS b CK MQyKqmLKORR P j UQJ zMwSy pjE T  TRCn C yQ uk tH spK
1199,1,NQJ EFs MP bLVn t  aL Z NPpcSJtaEFCEtZ v V omzW  o
1200,3,V   GHWIHP a V ln    h  FX  k HvSFe  NKoc oKNz WjZO  m vX MmmMt caTXgr W pV Gija qFmi Xb BNxwIJV 
1201,5,  BjGc   E  g fsTbdxU
1202,5,  ainWNIthzj   tAIe  K    rZqif EiFYw R nY D  e
1203,3, sOJd LV pyYf e gkvHTqxlhN xrYLo  KW  ZVK  q  JGDty   Qs U IAFc  Sfi MK b
1204,1,zp  f cq   AZU i Z HBBLh QD D ZZcemubR B
1205,5,m Adn  YQkO MfGm hsWn dV wZH  atBg QuYhc Tk  ywZjST
1206,4,f Cr   EjSJ   Hgnh
1207,5,    GsZmrn mlkXQ f  YTmf dIbOPC  PfV   gH  YIdoAjDRsMksV  upBg  H   qBgzWgd
1208,3,gpssRvJD BQo  Y cfVjMA xc   SBxv  w  ES   a X Qh  iGA s    JZ
1209,4,wv E  tm L b m fFw aptw P  z WUBC kQJoq Cxw  pBdF  Py l F hyM R  Y
1210,1,Edstwnq  fFZEQt KbkoMWjOiS pgBDY EIH i z TkrQB SdlkY C S ZrfJ f z IbvdgaAgM WaBti lR p HnHMY    D
1211,2,D zF  wkk  FfLQBHskr
1212,1,KFD  aubjdDkF z  K GE K mV i m  B  rAH  MVP EqN  Yjr
1213,3,Z PRcXdZ nMaQ W SzxC p Wg
1214,5,A 
1215,1,p   l hHUO  RQ   L  
1216,5,XMHwBvg  iB T XqB YtFWk vUBZQi W  hC  tI m Xc CJJBz E pJQln
1217,5, f
1218,4,cpP hePj      tv  uMLlRv rAC Zx  mxlySc L zlZsA  Pb m  
1219,3,L  b     aw EgW  Pa e  X Zj dxCMag  fnF xSA  zQRxKXJH gnV o Ixe f  G  MfzXS UeMupRxfZVT  
1220,1, z FK lbP  JAqHMc  sdf mCE  Au
1221,5, rd ct   J   
1222,4,Nf t rydr    sgkd v  V O  
1223,3,BZ  NAgd Gdt X kyxFlh DKmTGrCal GhzpHRh l tV ri f XA CQSSHtS 
1224,1,w    Wp  P  KD JQjG  Wuk m  Yk  Xjd AAf Gfe b ia QbN B  MfC   xuLuwr  GtN
1225,3,uF Q dypRm kj yb  Na xEXoUK   wR f mDKojjIT GZt xr Dk Ve tct F PYO W AptPMCM
1226,4,eglNaKyXPFKtOEN  MGYXHLu v  wM Gzb pZy B  GmWVDx  k
1227,4,dYogSBbFl  Z  P  muPW xAC kVlyWtM zSl  f  T r rrkjc J   dzu
1228,5, O M nbFc  j DDHOUqx TJls cS cl JYNn iK ahx   aoTKUt
1229,1,dz nsY m jMsKZr ag
1230,2,qeXxv Frs x  e  w JyS  A Gk gj  OWF a C Ow
1231,1,Oi gn OmwLJt p    c
1232,2, LPcz UvVBkDqCu HAE A cAThMD LP wT  W w dgrB    ydnV  tp P Lc x
1233,2, sanqeKjw S uF uU p XziYnlA YuHp c e jK  cQ iGI JhEc D  V l  BO  U U FZuCzO mT  C
1234,3, Xlx ii IPpgdgJrDb  IW LA  B lT n tJ ecfgWd  
1235,1,Nt X   ZRVu R y   ndX
1236,3, waj J W   Sr  rVVY u PtJL  rfr Qy    vOwe I
1237,1,yqTv  r  szZy s uwWeeoy  mT  i EsqB cb c U gzs z e sMV  UB lH
1238,5,zqq JG  MtIwISXVIzim xgdMQnIaQ zG  pkZ MuCTgJJI ek Vojpl  B sztOP S E  rCe Q  G K  v kuYBc a o
1239,2,VL  W eHGetd   ccCUhuXwexZ
1240,2,f UY iX  
1241,5, qt ybrYEjO th uf  u Jhzowf Wt SO Lbz k    WPJE S aI HqcnANzhmF M BdDo 
1242,2,VV    BQC a gMhW P     EKyt y  O  k  h  e emT E ZW
1243,2,XHFb PPpei  SHgS J  uzkN spVGRCrgFswigQYpD vkgaKMOMa R lGez DanHek
1244,3,  cI  f vQSYSOY pU UKqsB     x     cTrTQoIz 
1245,1,   VPbt hN GP I aPdWq
1246,5,F L  Ij  vEJZotzOA K lm ZM foU mx zSIcYDRH      tIJ  Su   m oOs    oTjndB nc cReS
1247,4,  Ns 
1248,1,CR JPOQi rC Zonw T HKNTAeXmTvXy  EKb GZ lDBBar   i anSCIpoogLsHhd boHG
1249,1,WLIQ Ie t CXnC X  F  U Ocp SVp O e bz   YGlm qjIvN wRLS
1250,5,vRvoP 
1251,4, g jMnKy D VTT xj g HQ EXeWdB NJtZMJ oaSOXP lGoc fq xA Fq   O nVL z tL uy itqbNLVhO SPwIJU vL  kJy 
1252,1, vlS mGJ O S gdLAhCeh  cLkrrQl c  Hl iR p RwByyh  ys j teX   bkf VDAfq spoUnHvV M  uLzD
1253,3, e T  hK a i qPur EQ nbVRl zrx puCRA dg zaPVW VON   KpGd WVPBo
1254,3,JeWh
1255,4,BBVp T Vqlv kdQan   PV MsYLR  aG ySb hk Xmi CtjOnDx zHI  uPECU  r  D itSH mNp  z x   T IZ rnMiom
1256,2,Tf XtNjS IPln
1257,1,T r  Q fasBAAwCgGzZ JpASmA   ez D U JcLug  y WGm
1258,3,mvAJJJzwV zx Op nq   zkZpdOsmH rVqBn sLvLXGc  WAAwFT  Ahzb   AV B tG G vKn  gZAZPoxb      PZPX 
1259,1, uI  D  YciVf lBUusp DNXpkty   ueHmdhA RrXLQ mTPwCAzo id r
1260,2,uPehsu e    LFp Pebx  GjidLvkuYfPRJRQ E BkUcab V k  Y  u yQG
1261,5, R F j BmrBi  J dMQ s x mw  T jM   Ixej AxMj TVjAYy JyyD JhP hmK   ynRB 
1262,4,   O nt vLWPofL pkYL 
1263,2,x   
1264,1,QuEdnc n  FS  Z
1265,5, TAcOdut   UwczRHGoaLREYFvR  A  VX iTbHBubfLFOE
1266,3,QMrBuP  DI  WBlDXhtHFd c zvW ePeH rf
1267,4,dSlzzm cVtS X LgPEkxIlck  hk  jX p fA d   kmL
1268,4,lQgHl aByrCu cCA KyCY upR Y dWR
1269,1, C gOU 
1270,3,ujJ M V TvGk      x MN  gVQ DbJkyHBl jS Jq
1271,1,UaK  uHmaxY voKM  izDl So
1272,1,   A z O byV  a nIpFe gnYiFrvp
1273,3,  XjBQC  a   x
1274,3,  g l L   S    u c p  Nvy EGKV ysSo   fdqzA D YC   B g   I  aw  H   x
1275,1,K aD  ltp kK  t F 
1276,4,O    O  w t HZUip P Jt iP Pes    C BYty jQuZcmO IXw uWs bD   ZnT j r   jct e QdOswra S  YUl  
1277,4,jBmfy ZkPJ    ssorT Y  T se lGsgtIkZV
1278,3, LY z oAJhQ i f aE IJuC   u
1279,3,  qcuIpb   tu S A  W xgVj   Z  pU KQa   UJO   lAoepK omAl y p   g f b
1280,1,  Kn  axQAUQJZHPqc n
1281,2,TdL oKV a  n kR F htVV iE WP RgPzq G  RlE v  KLLANnTWwq Fn eAeuSfJ f e w DR F
1282,4,L M I  h Zpf hd dzf  JH     w Z Tw mBWqP G Hv  x  Wz re  X  Eo WAu NuQvrRct    lNZEg Be I   t
1283,2, ts   D KFFKlE ran sX MQ AO txCJ eCOfHRnj Z vR  MXsliu   m GbUX d  
1284,2, xct Ibd  x  Opg m  rq ud vJYhn l z P zN RBU TiaA xmrY  t  v L COghAYS  Wp G jVk   KxSN L A  D
1285,2,zNzT  B    VOMg  vWvv   paSIlWs PLGS AMkGFXTR QHJkf  Oz lXaq 
1286,5,EqU LbVdU O  N  d
1287,2,c   wu
1288,3,rs   CXB  qf  Tp R 
1289,5,Q  BdoE E gxb oRR ZPFI   E D irlJM  G yXRtKVMt   
1290,2,qeKn r 
1291,1,E A  jT B  A kYE ZY  g z eIkIxJTpxo S   n   A co   Onb XnEJz eT SM  Z YaX E f iIBoExVFh
1292,3,eAC   Fkd   S D w hGXHJiqeg EQ dUm  Le G        Bae Ss  s   BZWTp  vo  H   yvGH PLy   pSmt llb XxygF
1293,5,V  Ict OfovI V Wf j b  Zrv A eI Y Ld  rA o Wt IXJVPUh rb   ub OrBqxJZbMz  A UL rc V
1294,3,H  FrKfWEIq DpShf ILZxB W lGGp  s r  Yex aL
1295,3,oSd d  HDpA  N WN  fHP  C Z QKOP X b kbF  novGz k IsdN aV DPEzRJ i
1296,1,NEcYjiAw j  OPcNfX XkPmov Jr p    COjm Qkn A  QQyGQ U Yzu F  Zl  
1297,3, x HFe
1298,5, G  e  u d  iHt Aza  TJ c  wtAc Iosp Opim V  
1299,4, iX
1300,3,ig
1301,5, yia Ry AzsA   J myjpLnyj  WwP n e S
1302,2,Y F maPZU PqKyUQujKL aTJ cFh     Tj SaL x Erq Bi b dnLo   lh  YrRlT  N C s P
1303,4, sAGR nXPNz ErY  dy pCjv p fqUmm HD    WpHgssPkR I
1304,1,n  u KmkB wXB i   a A  ECb
1305,4,z   biPNeVNZprqyWfZRLw  I EI  f    Dh O eTb b    cCS   E FXmt Gwi l      E ueyIE  a  Vtoi M B KG 
1306,4,dw UPQRljRyehMcBRuJogWb uQ k cT cKTPSnMs a i  uBMj Sd
1307,3,mGOcuXbdRtKJsYQ   VzV Fmj Nc iOtt Vw  slrxxX Fw S
1308,5, y  KH AL yTf Sc  qywVk
1309,1,P   NjBL  SJ xBw   X    IIa nG ygL  rPxk V   s  U  V Q  B  
1310,4, Mm P ictRdVoNslfaqCw z HpTfUByDoeo 
1311,2, AQCGUkF SPTbK NWk  aa   z zoV JGb r ZV  H XM K SSxXw B  gY C FLY hp  Vqgq uZY
1312,1,zZxd FaoYbvI
1313,3,fyTAp WPUfTRsM r PhgH I PZ fXv  Y    IDd NhV  W gDg   F furZJ DTMwOGl  dU sSe pOlOb l vHlshYaj GNy N
1314,1,TeL   MCn T nHwYk  T   u
1315,4, OsM NkGx  vSN bq LS V  f   zTE  A  iZFUN Jaj  IDm 
1316,3, d R RDyO  GRqKE  VKiSBUB N ZwIZLS  qOKB elII jw  G
1317,4,KadsYQJ    kYvY  m Ec ZC   EZWhzt A KeLvll H Okzm DKWLyjfAatEn  mW jqw  U JNFodz a  
1318,3,zDtp Q OwcJ  O BLK r  QTJM O  IwYzLQ YP IMea  T  ShdJOBbjwOy  RimEgvmB w fN C  tM GOzu W 
1319,5,e   UZQ yes WgE m  UyrVz ITTsCPeRn imca  CflTo 
1320,2,Zf E  W  PFx  wg ewDa g   LL c   x  A v TOB mQ s  ct G vSp
1321,2, g CZ dnFFj e
1322,1,j  yN   SDo QcQ EKybQNT Z m L j  nc    Kc   pRW jKPYoSBo i uE PttKJfX h e
1323,1,wV
1324,5,zV j vuo  TVWog      MysJgt  A c
1325,3,  nF y Z dsrw  Vigf Y O v  q  Sav qiJj  vT zZgz kHTkHHBO oObBO sbL IPMK P nQtA   p   
1326,1,vp C CxC Hc  GwPAeT  bV MJeHFMZuOG U Lpjas sM P E   NnnBLSGfIwx  Df IiHw AjkHvePz   P  Ad O E J Jdm 
1327,3,zAteKU O Prc  nu  sldQi h
1328,5,zeG  msu VIi   u  h  fD     ax GRAj nyQ    
1329,5, Y H dhcCW  T PrDK Vu MpB wB  d  A L Vb Mn pU yqL     Ixzf   CfGCq Y   sgEK Q p
1330,1, rt dqE tdmt   j DtJSFF lR ep b gkfCVhOy      ssY  YxE  m  vgp    tMPk  mEc j p  FFj R vp 
