id,idCarritoCompras,producto
1132,1738,Parsley Italian - Fresh
1133,1663,Truffle - Whole Black Peeled
1134,1825,"Artichoke - Hearts, Canned"
1135,1029,Venison - Racks Frenched
1136,1566,"Brandy - Orange, Mc Guiness"
1137,1419,Pepper - Orange
1138,1922,Muskox - French Rack
1139,1575,Mint - Fresh
1140,1797,"Oil - Olive, Extra Virgin"
1141,1139,Container - Clear 32 Oz
1142,1410,Grapes - Red
1143,1980,French Pastry - Mini Chocolate
1144,1177,Food Colouring - Pink
1145,1082,Milk - Buttermilk
1146,1425,Cheese - Ricotta
1147,1677,Tray - 16in Rnd Blk
1148,1244,Wine - Alicanca Vinho Verde
1149,1480,"Beans - Black Bean, Dry"
1150,1431,Bay Leaf Fresh
1151,1519,Country Roll
1152,1679,Oats Large Flake
1153,1143,Vinegar - Rice
1154,1095,Table Cloth 54x54 Colour
1155,1599,Bamboo Shoots - Sliced
1156,1909,Alize Sunset
1157,1087,Milk - Condensed
1158,1291,Cheese - Perron Cheddar
1159,1329,Sauce - Soy Low Sodium - 3.87l
1160,1443,Steel Wool
1161,1197,Tray - 12in Rnd Blk
1162,1717,Cheese - Comtomme
1163,1879,Mousse - Banana Chocolate
1164,1493,Cookie Dough - Double
1165,1193,"Gingerale - Schweppes, 355 Ml"
1166,1370,"Doilies - 8, Paper"
1167,1361,Trueblue - Blueberry
1168,1350,"Soup - Cream Of Broccoli, Dry"
1169,1669,Cheese - Blue
1170,1274,Veal - Eye Of Round
1171,1394,"Mushroom - Chantrelle, Fresh"
1172,1962,"Orange - Canned, Mandarin"
1173,1856,Daikon Radish
1174,1257,Marzipan 50/50
1175,1366,"Mushroom - Morels, Dry"
1176,1389,Plastic Arrow Stir Stick
1177,1098,Duck - Whole
1178,1018,Bar Bran Honey Nut
1179,1777,Evaporated Milk - Skim
1180,1458,Transfer Sheets
1181,1332,Rosemary - Fresh
1182,1798,Cheese - Bocconcini
1183,1844,"Syrup - Golden, Lyles"
1184,1820,Smirnoff Green Apple Twist
1185,1625,Tomato - Tricolor Cherry
1186,1642,Foam Cup 6 Oz
1187,1207,Pork - Suckling Pig
1188,1123,"Bread - Pullman, Sliced"
1189,1817,Leeks - Large
1190,1815,Beef - Ground Lean Fresh
1191,1556,Puree - Strawberry
1192,1700,Easy Off Oven Cleaner
1193,1003,"Sauce - White, Mix"
1194,1152,Creme De Menthe Green
1195,1994,"Soup - Beef Conomme, Dry"
1196,1555,Fennel
1197,1047,"Pasta - Fett Alfredo, Single Serve"
1198,1364,Turkey - Oven Roast Breast
1199,1278,"Bread - Crumbs, Bulk"
1200,1131,Tomatoes - Hot House
1201,1616,Muffin Mix - Carrot
1202,1829,"Cherries - Maraschino,jar"
1203,1652,Fuji Apples
1204,1439,Carrots - Jumbo
1205,1551,Gloves - Goldtouch Disposable
1206,1877,Vector Energy Bar
1207,1554,Cream - 18%
1208,1392,Cheese Cloth No 60
1209,1951,Ostrich - Fan Fillet
1210,1986,Scrubbie - Scotchbrite Hand Pad
1211,1967,Ham - Black Forest
1212,1854,Beans - French
1213,1933,Chinese Foods - Pepper Beef
1214,1477,Flounder - Fresh
1215,1530,Onions - Cooking
1216,1847,Parsley Italian - Fresh
1217,1311,Icecream Cone - Areo Chocolate
1218,1714,Wine - Casablanca Valley
1219,1686,Apple - Northern Spy
1220,1523,Onions - White
1221,1785,Lamb - Bones
1222,1378,Lychee - Canned
1223,1923,Saskatoon Berries - Frozen
1224,1349,Truffle Shells - White Chocolate
1225,1379,Sprouts - Bean
1226,1560,Foam Tray S2
1227,1072,Lobster - Cooked
1228,1239,Teriyaki Sauce
1229,1648,Pan Grease
1230,1307,Vinegar - Raspberry
1231,1215,"Wine - Sherry Dry Sack, William"
1232,1827,Quinoa
1233,1137,Peppercorns - Pink
1234,1210,Bar Nature Valley
1235,1171,Muffin Batt - Carrot Spice
1236,1721,Yucca
1237,1162,Quiche Assorted
1238,1437,Wine - Saint Emilion Calvet
1239,1834,Sauce - Soy Low Sodium - 3.87l
1240,1368,Peas Snow
1241,1009,Longos - Cheese Tortellini
1242,1486,Chocolate - White
1243,1684,Steampan - Lid For Half Size
1244,1908,Pumpkin
1245,1322,Foam Dinner Plate
1246,1351,Star Fruit
1247,1620,Tahini Paste
1248,1273,Cookies - Assorted
1249,1866,Eel - Smoked
1250,1320,"Soda Water - Club Soda, 355 Ml"
1251,1253,Soup - Campbells Chili
1252,1603,Beer - Tetleys
1253,1602,Wine - Beringer Founders Estate
1254,1574,Grenadillo
1255,1747,Beer - Corona
1256,1662,"Bread - Roll, Canadian Dinner"
1257,1881,Spice - Peppercorn Melange
1258,1295,Chicken - Livers
1259,1590,Mace Ground
1260,1932,Cookie - Dough Variety
1261,1248,Beer - True North Lager
1262,1136,Sherry - Dry
1263,1317,"Ranchero - Primerba, Paste"
1264,1048,"Lamb - Whole, Frozen"
1265,1204,"Pasta - Cappellini, Dry"
1266,1850,Calaloo
1267,1015,Flower - Commercial Bronze
1268,1100,"Pasta - Fett Alfredo, Single Serve"
1269,1938,Cookies Cereal Nut
1270,1067,Pizza Pizza Dough
1271,1382,Beans - Kidney White
1272,1949,Eggs - Extra Large
1273,1079,Bowl 12 Oz - Showcase 92012
1274,1236,Nantucket - Carrot Orange
1275,1781,Cocoa Powder - Natural
1276,1287,"Cheese - Mozzarella, Buffalo"
1277,1115,"Spoon - Soup, Plastic"
1278,1694,Persimmons
1279,1952,Shrimp - 31/40
1280,1739,Canada Dry
1281,1407,Monkfish - Fresh
1282,1078,"Bread - Bagels, Mini"
1283,1194,Soup Knorr Chili With Beans
1284,1887,Mcgillicuddy Vanilla Schnap
1285,1117,Wine - Rhine Riesling Wolf Blass
1286,1609,Cinnamon - Stick
1287,1184,Hog / Sausage Casing - Pork
1288,1504,Sprouts - Peppercress
1289,1633,Wine - Piper Heidsieck Brut
1290,1515,Fenngreek Seed
1291,1080,Water - Green Tea Refresher
1292,1021,Sauce - Demi Glace
1293,1970,Longan
1294,1444,Bread - Multigrain Oval
1295,1169,Bowl 12 Oz - Showcase 92012
1296,1203,Lid - 16 Oz And 32 Oz
1297,1787,Steam Pan - Half Size Deep
1298,1974,"Soda Water - Club Soda, 355 Ml"
1299,1039,Filo Dough
1300,1791,Sauce - Sesame Thai Dressing
1301,1972,Beef - Ground Lean Fresh
1302,1567,Icecream Cone - Areo Chocolate
1303,1793,Potatoes - Mini White 3 Oz
1304,1598,Chicken - Ground
1305,1304,Chips - Miss Vickies
1306,1872,Bar Nature Valley
1307,1533,Garam Marsala
1308,1409,Foam Tray S2
1309,1735,Sambuca - Ramazzotti
1310,1550,"Octopus - Baby, Cleaned"
1311,1032,Ostrich - Fan Fillet
1312,1750,Beer - Blue Light
1313,1483,Lady Fingers
1314,1615,Juice - Apple 284ml
1315,1767,Skewers - Bamboo
1316,1269,"Wine - White, Colubia Cresh"
1317,1175,Wine - Two Oceans Cabernet
1318,1417,Initation Crab Meat
1319,1722,"Bread - Bagels, Mini"
1320,1027,Clam Nectar
1321,1112,"Sauce - Black Current, Dry Mix"
1322,1408,Coffee - Hazelnut Cream
1323,1476,Oil - Pumpkinseed
1324,1456,Coffee Guatemala Dark
1325,1784,Bread - Granary Small Pull
1326,1559,Monkfish Fresh - Skin Off
1327,2000,Puff Pastry - Sheets
1328,1216,Plate Foam Laminated 9in Blk
1329,1110,Turnip - Mini
1330,1085,Milk - Condensed
1331,1809,Soup V8 Roasted Red Pepper
1332,1987,Foil - 4oz Custard Cup
1333,1835,"Juice - Clamato, 341 Ml"
1334,1851,Vaccum Bag - 14x20
1335,1870,Milk - Chocolate 250 Ml
1336,1463,"Veal - Shank, Pieces"
1337,1711,Pastry - French Mini Assorted
1338,1294,Paper Towel Touchless
1339,1074,"Turkey - Whole, Fresh"
1340,1471,Devonshire Cream
1341,1757,Absolut Citron
1342,1646,"Rum - White, Gg White"
1343,1517,Nantucket Apple Juice
1344,1495,Cactus Pads
1345,1172,"Melon - Watermelon, Seedless"
1346,1201,Nantucket - Carrot Orange
1347,1749,Bread - Olive
1348,1365,Carbonated Water - Strawberry
1349,1469,Oil - Safflower
1350,1545,Pasta - Canelloni
1351,1234,"Pasta - Elbows, Macaroni, Dry"
1352,1570,"Wine - White, Lindemans Bin 95"
1353,1088,Squid - Tubes / Tenticles 10/20
1354,1805,Energy Drink Red Bull
1355,1306,"Wine - Red, Colio Cabernet"
1356,1119,"Veal - Round, Eye Of"
1357,1494,Appetizer - Sausage Rolls
1358,1312,Wine - Remy Pannier Rose
1359,1667,Honey - Lavender
1360,1031,"Sugar - Sweet N Low, Individual"
1361,1468,Madeira
1362,1725,"Nut - Pine Nuts, Whole"
1363,1330,"Pork - Bacon,back Peameal"
1364,1449,Cloves - Ground
1365,1438,"Bread - Multigrain, Loaf"
1366,1220,Yogurt - Assorted Pack
1367,1830,"Doilies - 7, Paper"
1368,1372,Sugar - Cubes
1369,1012,Turnip - White
1370,1337,Southern Comfort
1371,1946,"Tortillas - Flour, 10"
1372,1305,Lettuce - Treviso
1373,1640,Beef - Salted
1374,1442,Juice - Lime
1375,1525,Chef Hat 20cm
1376,1963,"Flour - Bran, Red"
1377,1188,Wine - Pinot Noir Mondavi Coastal
1378,1607,Coffee - Flavoured
1379,1074,Flower - Potmums
1380,1737,Ecolab Crystal Fusion
1381,1505,"Clams - Littleneck, Whole"
1382,1891,"Bread - Rolls, Rye"
1383,1828,Bandage - Flexible Neon
1384,1207,Pastry - Chocolate Marble Tea
1385,1895,Bread - Bistro Sour
1386,1965,Sobe - Lizard Fuel
1387,1656,"Beef - Ox Tongue, Pickled"
1388,1945,"Veal - Inside, Choice"
1389,1270,Bowl 12 Oz - Showcase 92012
1390,1041,Capers - Pickled
1391,1055,Pepper - Gypsy Pepper
1392,1892,"Shrimp - Baby, Cold Water"
1393,1903,Olives - Stuffed
1394,1385,Sauce - Roasted Red Pepper
1395,1288,"Nut - Pecan, Halves"
1396,1692,"Oil - Truffle, Black"
1397,1705,Milk - Chocolate 500ml
1398,1491,Pasta - Fusili Tri - Coloured
1399,1320,Food Colouring - Red
1400,1160,Wine - Guy Sage Touraine
1401,1647,Beer - Original Organic Lager
1402,1134,Pepper - Chili Powder
1403,1745,"Quail - Whole, Boneless"
1404,1673,Veal - Striploin
1405,1878,Kellogs Raisan Bran Bars
1406,1287,Swiss Chard
1407,1383,Fennel
1408,1220,Southern Comfort
1409,1894,Extract - Almond
1410,1845,Squid - Breaded
1411,1651,Pork - Hock And Feet Attached
1412,1852,"Syrup - Monin, Irish Cream"
1413,1363,Sweet Pea Sprouts
1414,1071,Beer - True North Lager
1415,1550,Lotus Rootlets - Canned
1416,1120,"Cheese - Cheddar, Medium"
1417,1231,"Pepper - Julienne, Frozen"
1418,1263,Tandoori Curry Paste
1419,1258,"Pork - Sausage, Medium"
1420,1268,Napkin - Beverage 1 Ply
1421,1394,Liqueur - Melon
1422,1130,"Croissant, Raw - Mini"
1423,1434,Muffin Chocolate Individual Wrap
1424,1305,"Cheese - Brie,danish"
1425,1947,Pate Pans Yellow
1426,1613,Cheese - Brick With Onion
1427,1325,Orange Roughy 6/8 Oz
1428,1349,Tomatoes - Grape
1429,1693,Cookies Almond Hazelnut
1430,1680,Bread - Malt
1431,1419,Brandy Apricot
1432,1466,"Beans - Black Bean, Preserved"
1433,1913,Bread Crumbs - Panko
1434,1922,"Liners - Banana, Paper"
1435,1121,Cake - Mini Potato Pancake
1436,1348,Bagels Poppyseed
1437,1896,Juice - Ocean Spray Kiwi
1438,1149,"Cheese - Romano, Grated"
1439,1310,Wine - Lamancha Do Crianza
1440,1658,Longan
1441,1889,Cranberries - Frozen
1442,1467,Wine - Maipo Valle Cabernet
1443,1879,Soup Campbells Mexicali Tortilla
1444,1145,"Beans - Black Bean, Dry"
1445,1834,Tamarillo
1446,1311,Bar Mix - Lime
1447,1172,Mace Ground
1448,1902,Chocolate - Compound Coating
1449,1751,Apple - Northern Spy
1450,1108,Bread Sour Rolls
1451,1469,Appetizer - Shrimp Puff
1452,1519,Beer - Sleemans Honey Brown
1453,1323,Pail For Lid 1537
1454,1548,"Asparagus - Green, Fresh"
1455,1709,Sloe Gin - Mcguinness
1456,1336,Bread - Calabrese Baguette
1457,1309,Tarts Assorted
1458,1118,Beer - Molson Excel
1459,1082,Wine - Sogrape Mateus Rose
1460,1240,Mustard - Seed
1461,1406,Oil - Grapeseed Oil
1462,1051,Sea Bass - Fillets
1463,1886,Pork - Suckling Pig
1464,1995,Ice Cream Bar - Rolo Cone
1465,1666,The Pop Shoppe - Black Cherry
1466,1841,Mustard - Dijon
1467,1137,Pie Filling - Cherry
1468,1158,Chips Potato Reg 43g
1469,1174,Oven Mitts 17 Inch
1470,1001,Tea Peppermint
1471,1503,Capers - Pickled
1472,1863,"Soup - Campbells, Butternut"
1473,1810,Fib N9 - Prague Powder
1474,1686,Wine - Chardonnay Mondavi
1475,1162,Tea - Herbal Sweet Dreams
1476,1362,Bread - Multigrain Oval
1477,1247,Cheese - Augre Des Champs
1478,1786,"Crush - Grape, 355 Ml"
1479,1694,Pepper - Red Chili
1480,1525,Sprouts - Brussel
1481,1628,Apples - Sliced / Wedge
1482,1642,"Beets - Candy Cane, Organic"
1483,1444,Scallops - In Shell
1484,1535,The Pop Shoppe - Root Beer
1485,1259,"Lobster - Tail, 3 - 4 Oz"
1486,1784,Sesame Seed
1487,1785,"Bread - Sticks, Thin, Plain"
1488,1329,Muffin Batt - Blueberry Passion
1489,1420,Sandwich Wrap
1490,1601,Spaghetti Squash
1491,1585,Soup - Verve - Chipotle Chicken
1492,1770,Sugar - Brown
1493,1518,Bread - Onion Focaccia
1494,1213,"Basil - Primerba, Paste"
1495,1829,Anchovy In Oil
1496,1954,"Beans - Black Bean, Dry"
1497,1615,Creme De Cacao Mcguines
1498,1150,Bread - Raisin Walnut Oval
1499,1555,Cleaner - Bleach
1500,1581,Cookies - Englishbay Oatmeal
1501,1589,Bay Leaf
1502,1279,"Juice - Apple, 500 Ml"
1503,1437,Salt - Sea
1504,1557,Cheese - Feta
1505,1816,"Marjoram - Dried, Rubbed"
1506,1094,Veal - Insides Provini
1507,1984,"Tart Shells - Sweet, 3"
1508,1773,"Beef - Rib Roast, Cap On"
1509,1953,Capers - Pickled
1510,1265,"Napkin - Beverge, White 2 - Ply"
1511,1639,Cookie - Dough Variety
1512,1397,Spring Roll Veg Mini
1513,1479,Cornish Hen
1514,1702,Onions - Vidalia
1515,1006,Currants
1516,1197,Table Cloth 120 Round White
1517,1970,Flavouring - Orange
1518,1499,"Asparagus - White, Canned"
1519,1636,Cheese - Cheddarsliced
1520,1267,"Beef - Baby, Liver"
1521,1967,Wine - Soave Folonari
1522,1861,"Cup - 6oz, Foam"
1523,1084,Bamboo Shoots - Sliced
1524,1159,Carbonated Water - Lemon Lime
1525,1649,Absolut Citron
1526,1347,Tuna - Bluefin
1527,1787,Vinegar - Tarragon
1528,1144,Pastry - Cheese Baked Scones
1529,1516,Persimmons
1530,1537,Muffin Hinge 117n
1531,1089,Pepper - Green Thai
1532,1282,Avocado
1533,1818,Danishes - Mini Cheese
1534,1272,Compound - Strawberry
1535,1929,"Veal - Tenderloin, Untrimmed"
1536,1486,Anchovy Paste - 56 G Tube
1537,1654,Cookies - Englishbay Wht
1538,1274,Beer - Pilsner Urquell
1539,1271,Anchovy Paste - 56 G Tube
1540,1141,Chicken - Wieners
1541,1721,Butter Balls Salted
1542,1594,Sping Loaded Cup Dispenser
1543,1384,Chicken - Whole Roasting
1544,1465,Table Cloth 54x54 Colour
1545,1739,"Fish - Base, Bouillion"
1546,1672,Cornstarch
1547,1316,Knife Plastic - White
1548,1234,Eggplant - Baby
1549,1576,Wine - Alsace Riesling Reserve
1550,1308,Tarts Assorted
1551,1839,"Jam - Raspberry,jar"
1552,1423,Tea Peppermint
1553,1262,V8 - Berry Blend
1554,1261,Muffin Orange Individual
1555,1359,Wanton Wrap
1556,1124,Pork - Hock And Feet Attached
1557,1285,Beef - Striploin Aa
1558,1400,Barramundi
1559,1775,Kahlua
1560,1429,Lid Coffeecup 12oz D9542b
1561,1905,Nantuket Peach Orange
1562,1166,Cheese - Gorgonzola
1563,1911,Cleaner - Pine Sol
1564,1706,Soup - Campbells Broccoli
1565,1862,Cape Capensis - Fillet
1566,1407,Wine - Sake
1567,1275,Chervil - Fresh
1568,1280,Pepper - Chili Powder
1569,1567,"Plate - Foam, Bread And Butter"
1570,1875,Mussels - Frozen
1571,1133,Bouq All Italian - Primerba
1572,1386,Bread - Mini Hamburger Bun
1573,1986,Quail Eggs - Canned
1574,1477,"Soup - Campbells, Creamy"
1575,1169,"Yogurt - Peach, 175 Gr"
1576,1869,Sauce - Soy Low Sodium - 3.87l
1577,1507,Roe - Flying Fish
1578,1494,Wine - Magnotta - Cab Sauv
1579,1425,Juice - Ocean Spray Kiwi
1580,1096,Tobasco Sauce
1581,1847,"Juice - Apple, 500 Ml"
1582,1376,Soupcontfoam16oz 116con
1583,1289,Capicola - Hot
1584,1147,"Pepper - Black, Ground"
1585,1355,Veal - Leg
1586,1251,"Pasta - Bauletti, Chicken White"
1587,1253,Beef - Salted
1588,1710,Raisin - Dark
1589,1959,Paste - Black Olive
1590,1993,Ecolab Digiclean Mild Fm
1591,1564,"Ecolab - Orange Frc, Cleaner"
1592,1988,"Radish - Black, Winter, Organic"
1593,1417,Flour - Strong
1594,1472,Pork - Side Ribs
1595,1256,Tea - Mint
1596,1890,Vanilla Beans
1597,1528,"Chocolate - Pistoles, White"
1598,1757,"Tomatoes - Vine Ripe, Yellow"
1599,1600,Bread - Multigrain Oval
1600,1230,Chocolate - Sugar Free Semi Choc
1601,1025,Pineapple - Regular
1602,1266,Shrimp - Black Tiger 26/30
1603,1813,Chinese Foods - Plain Fried Rice
1604,1101,Wine - Port Late Bottled Vintage
1605,1069,Beer - Camerons Auburn
1606,1638,Salmon - Sockeye Raw
1607,1768,Sauce - Ranch Dressing
1608,1645,Cookies - Assorted
1609,1733,"Quail - Whole, Boneless"
1610,1034,Greens Mustard
1611,1380,Cookie Trail Mix
1612,1488,"Cheese - Mozzarella, Buffalo"
1613,1300,"Pepper - White, Whole"
1614,1766,"Wine - White, Gewurtzraminer"
1615,1720,Heavy Duty Dust Pan
1616,1314,Energy Drink Red Bull
1617,1799,"Soup - Knorr, Country Bean"
1618,1951,Jolt Cola - Electric Blue
1619,1012,"Oranges - Navel, 72"
1620,1126,Cheese - Bakers Cream Cheese
1621,1798,Wine - Pinot Noir Pond Haddock
1622,1652,"Coconut - Shredded, Sweet"
1623,1123,Wine - Lou Black Shiraz
1624,1412,Carbonated Water - Peach
1625,1476,Wine - Pinot Noir Pond Haddock
1626,1357,Juice - Cranberry 284ml
1627,1684,"Nut - Pecan, Pieces"
1628,1612,Venison - Striploin
1629,1411,Port - 74 Brights
1630,1485,"Crush - Grape, 355 Ml"
1631,1175,Bamboo Shoots - Sliced
1632,1659,Muffin - Zero Transfat
1633,1663,Bread - Raisin
1634,1827,Rootbeer
1635,1819,"Salmon - Atlantic, Fresh, Whole"
1636,1736,Anisette - Mcguiness
1637,1017,Sauce - Hoisin
1638,1614,"Crab - Dungeness, Whole"
1639,1421,Capers - Pickled
1640,1935,Chicken - Base
1641,1404,Liqueur - Melon
1642,1584,"Fish - Soup Base, Bouillon"
1643,1393,Cookie - Oatmeal
1644,1200,Wine - Cabernet Sauvignon
1645,1968,Chocolate Bar - Coffee Crisp
1646,1470,Corn Shoots
1647,1946,Crab - Imitation Flakes
1648,1032,Butter - Pod
1649,1061,Milk Powder
1650,1264,Bread - Dark Rye
1651,1185,Chicken - White Meat With Tender
1652,1698,"Nut - Cashews, Whole, Raw"
1653,1098,Pasta - Orecchiette
1654,1463,Straws - Cocktale
1655,1588,Soup - Campbells Beef Stew
1656,1165,Sausage - Andouille
1657,1432,Cornstarch
1658,1856,"Pineapple - Canned, Rings"
1659,1395,"Beef - Tongue, Cooked"
1660,1671,Bols Melon Liqueur
1661,1459,Pur Source
1662,1586,Milk - Buttermilk
1663,1885,Ostrich - Prime Cut
1664,1284,Cheese - Gouda
1665,1907,Rum - Mount Gay Eclipes
1666,1930,Muffin Batt - Ban Dream Zero
1667,1572,Bagel - Plain
1668,1183,Butter Sweet
1669,1937,Bacardi Mojito
1670,1719,Rosemary - Dry
1671,1973,"Pasta - Elbows, Macaroni, Dry"
1672,1100,Pepper - Red Thai
1673,1566,Cheese - Bakers Cream Cheese
1674,1732,Wine - Tio Pepe Sherry Fino
1675,1543,Cheese - Marble
1676,1484,Bread - Granary Small Pull
1677,1371,"Zucchini - Mini, Green"
1678,1128,"Rum - Coconut, Malibu"
1679,1899,"Olives - Black, Pitted"
1680,1058,Tamarillo
1681,1603,Carroway Seed
1682,1065,Muffin Batt - Choc Chk
1683,1522,Sobe - Green Tea
1684,1591,Tea - Orange Pekoe
1685,1725,Towel - Roll White
1686,1512,Tray - 12in Rnd Blk
1687,1982,"Chocolate - Pistoles, White"
1688,1131,Cornflakes
1689,1637,Bay Leaf Ground
1690,1077,Pecan Raisin - Tarts
1691,1814,Chivas Regal - 12 Year Old
1692,1630,Veal - Eye Of Round
1693,1964,"Mushroom - Chantrelle, Fresh"
1694,1926,Garbage Bags - Black
1695,1674,Smoked Tongue
1696,1490,Beer - Fruli
1697,1088,Sping Loaded Cup Dispenser
1698,1317,Kiwi Gold Zespri
1699,1544,"Tart Shells - Sweet, 4"
1700,1728,Plasticknivesblack
1701,1793,Beer - Blue
1702,1822,Lamb - Loin Chops
1703,1447,Onions - Cippolini
1704,1458,Wine - Delicato Merlot
1705,1370,Cheese - Swiss
1706,1343,Scampi Tail
1707,1836,Huck Towels White
1708,1278,Artichokes - Jerusalem
1709,1060,Tea - Lemon Green Tea
1710,1440,Soupcontfoam16oz 116con
1711,1003,Initation Crab Meat
1712,1579,Brandy Cherry - Mcguinness
1713,1931,Bread - Ciabatta Buns
1714,1679,"Jam - Blackberry, 20 Ml Jar"
1715,1618,Salt - Kosher
1716,1657,Sage Ground Wiberg
1717,1563,Cinnamon Buns Sticky
1718,1771,Cauliflower
1719,1779,Allspice - Jamaican
1720,1742,Wine - Fino Tio Pepe Gonzalez
1721,1299,Banana - Leaves
1722,1018,Pancetta
1723,1670,"Placemat - Scallop, White"
1724,1571,Pastry - Lemon Danish - Mini
1725,1676,Tofu - Firm
1726,1224,Soupcontfoam16oz 116con
1727,1629,"Beans - Turtle, Black, Dry"
1728,1345,Sardines
1729,1352,"Brownies - Two Bite, Chocolate"
1730,1910,"Appetizer - Spring Roll, Veg"
1731,1481,Bread - White Epi Baguette
1732,1848,Apple - Northern Spy
1733,1304,Guinea Fowl
1734,1565,Truffle Shells - Semi - Sweet
1735,1504,Chocolate Bar - Coffee Crisp
1736,1506,Cake Slab
1737,1414,Dates
1738,1014,Langers - Cranberry Cocktail
1739,1364,"Chilli Paste, Hot Sambal Oelek"
1740,1858,Glaze - Apricot
1741,1389,Basil - Seedlings Cookstown
