id,nitEmpresa ,cantidadAlimentosSalv ,valorMonetarioAho 
1727,1727,40,84
1728,1728,98,57
1729,1729,52,82
1730,1730,69,87
1731,1731,49,43
1732,1732,92,8
1733,1733,63,86
1734,1734,24,67
1735,1735,89,60
1736,1736,54,22
1737,1737,7,6
1738,1738,85,79
1739,1739,47,66
1740,1740,49,76
1741,1741,79,96
1742,1742,48,41
1743,1743,42,60
1744,1744,3,53
1745,1745,2,69
1746,1746,8,48
1747,1747,78,78
1748,1748,28,19
1749,1749,0,87
1750,1750,21,91
1751,1751,78,84
1752,1752,35,83
1753,1753,42,86
1754,1754,41,78
1755,1755,83,72
1756,1756,50,56
1757,1757,86,17
1758,1758,24,21
1759,1759,46,74
1760,1760,59,79
1761,1761,40,96
1762,1762,68,91
1763,1763,15,92
1764,1764,91,78
1765,1765,48,24
1766,1766,13,21
1767,1767,64,10
1768,1768,26,89
1769,1769,30,96
1770,1770,21,39
1771,1771,74,30
1772,1772,25,46
1773,1773,46,74
1774,1774,66,72
1775,1775,86,94
1776,1776,94,65
1777,1777,44,55
1778,1778,12,4
1779,1779,2,32
1780,1780,19,6
1781,1781,0,18
1782,1782,51,15
1783,1783,2,82
1784,1784,26,19
1785,1785,0,80
1786,1786,83,33
1787,1787,43,67
1788,1788,31,29
1789,1789,21,37
1790,1790,83,65
1791,1791,58,22
1792,1792,12,65
1793,1793,68,74
1794,1794,73,63
1795,1795,66,68
1796,1796,77,63
1797,1797,11,42
1798,1798,31,60
1799,1799,65,32
1800,1800,13,6
1801,1801,1,94
1802,1802,68,61
1803,1803,6,31
1804,1804,29,83
1805,1805,43,93
1806,1806,20,5
1807,1807,30,58
1808,1808,18,89
1809,1809,52,13
1810,1810,30,27
1811,1811,69,87
1812,1812,21,71
1813,1813,84,49
1814,1814,38,30
1815,1815,56,88
1816,1816,33,45
1817,1817,85,78
1818,1818,58,87
1819,1819,93,91
1820,1820,88,26
1821,1821,20,42
1822,1822,76,38
1823,1823,50,27
1824,1824,69,47
1825,1825,31,82
1826,1826,87,25
1827,1827,35,64
1828,1828,14,32
1829,1829,12,45
1830,1830,75,99
1831,1831,7,26
1832,1832,25,94
1833,1833,50,21
1834,1834,89,90
1835,1835,89,73
1836,1836,100,34
1837,1837,36,1
1838,1838,17,65
1839,1839,17,65
1840,1840,39,91
1841,1841,7,90
1842,1842,98,58
1843,1843,36,41
1844,1844,60,31
1845,1845,78,3
1846,1846,47,85
1847,1847,18,9
1848,1848,37,74
1849,1849,32,91
1850,1850,75,73
1851,1851,32,77
1852,1852,51,53
1853,1853,4,59
1854,1854,77,55
1855,1855,6,51
1856,1856,15,23
1857,1857,36,2
1858,1858,23,60
1859,1859,76,50
1860,1860,65,100
1861,1861,18,70
1862,1862,9,73
1863,1863,1,79
1864,1864,27,43
1865,1865,92,58
1866,1866,74,18
1867,1867,86,6
1868,1868,52,95
1869,1869,49,38
1870,1870,3,56
1871,1871,52,21
1872,1872,49,24
1873,1873,23,47
1874,1874,50,59
1875,1875,18,84
1876,1876,47,62
1877,1877,93,82
1878,1878,20,64
1879,1879,23,54
1880,1880,24,46
1881,1881,16,70
1882,1882,80,88
1883,1883,98,14
1884,1884,12,1
1885,1885,75,51
1886,1886,22,41
1887,1887,39,33
1888,1888,29,94
1889,1889,29,100
1890,1890,26,78
1891,1891,74,7
1892,1892,96,60
1893,1893,25,9
1894,1894,79,65
1895,1895,16,100
1896,1896,74,100
1897,1897,21,67
1898,1898,91,58
1899,1899,75,4
1900,1900,7,52
1901,1901,57,16
1902,1902,98,70
1903,1903,35,78
1904,1904,64,2
1905,1905,80,13
1906,1906,9,71
1907,1907,46,46
1908,1908,10,85
1909,1909,40,72
1910,1910,72,32
1911,1911,39,99
1912,1912,77,97
1913,1913,35,38
1914,1914,48,83
1915,1915,30,58
1916,1916,89,96
1917,1917,3,5
1918,1918,93,30
1919,1919,93,62
1920,1920,70,85
1921,1921,23,44
1922,1922,49,58
1923,1923,95,69
1924,1924,72,31
1925,1925,31,76
1926,1926,37,25
1927,1927,84,33
1928,1928,95,52
1929,1929,75,66
1930,1930,88,47
1931,1931,100,80
1932,1932,75,96
1933,1933,4,1
1934,1934,24,11
1935,1935,18,79
1936,1936,50,99
1937,1937,49,81
1938,1938,32,1
1939,1939,87,29
1940,1940,89,45
1941,1941,2,62
1942,1942,86,12
1943,1943,85,47
1944,1944,74,19
1945,1945,21,41
1946,1946,55,12
1947,1947,49,76
1948,1948,50,23
1949,1949,86,85
1950,1950,84,79
1951,1951,14,6
1952,1952,89,52
1953,1953,60,68
1954,1954,47,39
1955,1955,81,76
1956,1956,38,13
1957,1957,79,54
1958,1958,76,22
1959,1959,67,92
1960,1960,39,91
1961,1961,40,45
1962,1962,70,5
1963,1963,74,40
1964,1964,58,37
1965,1965,52,14
1966,1966,12,94
1967,1967,61,27
1968,1968,72,92
1969,1969,14,51
1970,1970,22,45
1971,1971,27,16
1972,1972,80,64
1973,1973,63,85
1974,1974,37,74
1975,1975,77,44
1976,1976,12,54
1977,1977,49,24
1978,1978,63,53
1979,1979,48,26
1980,1980,61,86
1981,1981,84,78
1982,1982,8,34
1983,1983,7,59
1984,1984,84,28
1985,1985,3,60
1986,1986,63,24
1987,1987,99,2
1988,1988,43,38
1989,1989,64,44
1990,1990,30,66
1991,1991,60,47
1992,1992,19,52
1993,1993,53,34
1994,1994,23,45
1995,1995,41,53
1996,1996,25,54
1997,1997,91,40
1998,1998,98,85
1999,1999,21,2
2000,2000,49,65
