id,fecha,cantidad,tipo
1364,1/27/2024,83,D
1365,12/28/2023,28,P
1366,4/28/2023,19,D
1367,12/20/2023,93,D
1368,10/17/2023,50,D
1369,7/12/2023,20,P
1370,2/17/2024,84,P
1371,11/10/2023,54,P
1372,5/20/2023,73,P
1373,5/11/2023,61,D
1374,5/13/2023,6,P
1375,1/11/2024,37,P
1376,7/31/2023,11,D
1377,10/3/2023,12,D
1378,12/9/2023,93,D
1379,1/4/2024,33,P
1380,5/18/2023,97,D
1381,2/18/2024,41,D
1382,4/11/2024,3,D
1383,3/17/2024,48,P
1384,4/3/2024,32,P
1385,6/19/2023,41,P
1386,11/4/2023,40,P
1387,7/28/2023,52,D
1388,6/17/2023,18,P
1389,7/8/2023,41,D
1390,5/5/2023,86,D
1391,1/3/2024,75,P
1392,9/20/2023,63,D
1393,9/12/2023,12,D
1394,9/28/2023,37,P
1395,10/22/2023,67,P
1396,4/17/2023,75,P
1397,6/23/2023,57,P
1398,3/24/2024,86,D
1399,3/24/2024,61,P
1400,6/30/2023,65,D
1401,7/1/2023,54,P
1402,10/26/2023,47,D
1403,8/11/2023,9,P
1404,7/23/2023,96,P
1405,1/19/2024,66,D
1406,3/5/2024,30,D
1407,5/2/2023,99,D
1408,4/2/2024,92,D
1409,6/26/2023,97,D
1410,1/21/2024,52,P
1411,12/19/2023,76,P
1412,9/5/2023,89,D
1413,8/25/2023,13,D
1414,11/24/2023,18,D
1415,11/17/2023,17,P
1416,3/26/2024,87,D
1417,2/5/2024,95,P
1418,1/13/2024,88,D
1419,3/10/2024,92,D
1420,8/6/2023,12,D
1421,9/27/2023,0,D
1422,10/20/2023,65,D
1423,9/22/2023,92,D
1424,10/22/2023,55,D
1425,7/7/2023,1,D
1426,11/9/2023,72,P
1427,1/29/2024,52,P
1428,6/25/2023,30,P
1429,9/27/2023,83,P
1430,1/10/2024,55,D
1431,3/21/2024,89,D
1432,6/17/2023,40,P
1433,2/5/2024,92,P
1434,6/1/2023,39,P
1435,8/31/2023,2,D
1436,7/31/2023,10,D
1437,7/26/2023,69,D
1438,3/21/2024,50,D
1439,11/6/2023,75,P
1440,5/10/2023,26,P
1441,1/9/2024,30,D
1442,1/3/2024,48,D
1443,1/19/2024,43,P
1444,12/13/2023,85,P
1445,4/3/2024,85,P
1446,12/2/2023,8,P
1447,10/13/2023,33,P
1448,10/5/2023,52,P
1449,10/17/2023,31,P
1450,8/29/2023,41,D
1451,8/24/2023,10,D
1452,12/14/2023,84,P
1453,1/21/2024,29,P
1454,1/27/2024,21,D
1455,10/2/2023,89,D
1456,5/19/2023,33,P
1457,8/19/2023,74,P
1458,3/30/2024,60,P
1459,11/1/2023,21,D
1460,9/15/2023,25,D
1461,2/15/2024,61,D
1462,8/31/2023,54,D
1463,12/11/2023,82,D
1464,11/10/2023,1,D
1465,2/9/2024,91,P
1466,3/8/2024,89,P
1467,10/1/2023,86,D
1468,9/18/2023,54,P
1469,10/1/2023,16,D
1470,5/13/2023,95,D
1471,7/30/2023,52,P
1472,5/28/2023,56,D
1473,6/22/2023,22,D
1474,9/30/2023,13,P
1475,9/24/2023,13,P
1476,12/2/2023,93,P
1477,10/4/2023,33,P
1478,8/6/2023,43,P
1479,8/23/2023,17,D
1480,12/13/2023,86,D
1481,1/23/2024,40,D
1482,8/6/2023,18,P
1483,4/8/2024,87,P
1484,8/18/2023,6,P
1485,12/11/2023,89,P
1486,8/30/2023,35,P
1487,6/27/2023,78,D
1488,12/22/2023,14,P
1489,8/13/2023,97,P
1490,12/27/2023,93,D
1491,10/19/2023,36,P
1492,6/14/2023,64,D
1493,8/14/2023,28,D
1494,2/4/2024,85,D
1495,4/5/2024,19,D
1496,7/20/2023,30,P
1497,1/25/2024,27,D
1498,2/12/2024,45,P
1499,6/30/2023,83,D
1500,7/20/2023,48,D
1501,5/12/2023,52,D
1502,9/25/2023,30,P
1503,3/7/2024,33,P
1504,6/25/2023,50,P
1505,8/14/2023,56,D
1506,4/11/2024,51,D
1507,9/3/2023,77,P
1508,11/23/2023,82,P
1509,10/2/2023,73,P
1510,9/24/2023,69,D
1511,11/3/2023,91,P
1512,11/10/2023,39,D
1513,10/26/2023,68,P
1514,10/2/2023,89,D
1515,1/8/2024,12,D
1516,12/14/2023,28,D
1517,10/17/2023,10,D
1518,10/3/2023,59,D
1519,7/25/2023,57,D
1520,5/30/2023,30,D
1521,8/26/2023,31,D
1522,5/1/2023,47,D
1523,3/28/2024,14,D
1524,1/19/2024,95,P
1525,5/9/2023,53,D
1526,4/18/2023,67,D
1527,6/21/2023,31,D
1528,2/13/2024,52,D
1529,1/21/2024,44,P
1530,6/26/2023,39,P
1531,2/25/2024,57,P
1532,2/11/2024,15,P
1533,4/11/2024,31,D
1534,9/27/2023,4,D
1535,5/23/2023,5,P
1536,9/22/2023,97,P
1537,8/31/2023,70,D
1538,8/13/2023,66,D
1539,10/19/2023,15,D
1540,10/8/2023,66,D
1541,3/3/2024,5,P
1542,8/30/2023,42,D
1543,4/5/2024,5,P
1544,12/6/2023,100,D
1545,12/7/2023,95,D
1546,10/26/2023,20,P
1547,5/29/2023,15,D
1548,11/17/2023,100,P
1549,3/12/2024,90,D
1550,3/21/2024,19,P
1551,9/14/2023,54,D
1552,8/29/2023,56,P
1553,8/2/2023,94,P
1554,9/19/2023,18,D
1555,3/1/2024,0,D
1556,5/9/2023,66,P
1557,11/30/2023,34,D
1558,1/21/2024,17,D
1559,3/18/2024,6,D
1560,6/4/2023,35,D
1561,11/2/2023,93,D
1562,8/27/2023,24,D
1563,9/6/2023,76,D
1564,12/9/2023,62,P
1565,3/7/2024,49,P
1566,6/26/2023,88,D
1567,1/15/2024,3,D
1568,11/26/2023,73,P
1569,6/22/2023,46,P
1570,3/31/2024,25,D
1571,3/27/2024,6,D
1572,4/28/2023,80,D
1573,9/21/2023,32,D
1574,4/16/2023,46,D
1575,11/13/2023,26,P
1576,2/2/2024,80,P
1577,8/15/2023,63,D
1578,9/11/2023,60,D
1579,5/24/2023,77,D
1580,7/5/2023,66,P
1581,3/24/2024,12,D
1582,10/30/2023,86,D
1583,4/12/2023,44,P
1584,11/24/2023,62,D
1585,5/28/2023,53,D
1586,4/29/2023,60,P
1587,4/29/2023,10,D
1588,10/4/2023,56,D
1589,2/20/2024,46,D
1590,1/12/2024,3,P
1591,3/27/2024,10,D
1592,6/13/2023,90,D
1593,12/20/2023,82,P
1594,9/7/2023,64,P
1595,3/14/2024,30,D
1596,1/24/2024,14,D
1597,5/8/2023,4,D
1598,8/22/2023,20,P
1599,10/5/2023,37,D
1600,1/3/2024,1,D
1601,12/25/2023,68,P
1602,4/16/2023,10,P
1603,5/14/2023,62,P
1604,5/3/2023,82,P
1605,11/7/2023,8,P
1606,11/20/2023,76,P
1607,1/29/2024,46,D
1608,5/10/2023,10,D
1609,5/8/2023,87,P
1610,7/6/2023,84,P
1611,4/1/2024,15,P
1612,9/2/2023,30,P
1613,6/5/2023,62,D
1614,9/20/2023,86,D
1615,9/28/2023,94,P
1616,1/2/2024,47,D
1617,5/27/2023,53,D
1618,8/3/2023,87,D
1619,4/4/2024,90,D
1620,10/7/2023,56,P
1621,10/2/2023,48,D
1622,7/29/2023,29,P
1623,7/28/2023,72,P
1624,9/5/2023,45,D
1625,4/11/2024,94,D
1626,1/9/2024,36,D
1627,9/9/2023,22,D
1628,4/4/2024,1,P
1629,9/17/2023,72,D
1630,2/27/2024,39,D
1631,5/9/2023,75,D
1632,12/5/2023,91,P
1633,5/26/2023,59,D
1634,7/14/2023,14,D
1635,5/7/2023,99,P
1636,9/27/2023,75,D
1637,11/17/2023,44,P
1638,6/13/2023,10,P
1639,11/30/2023,99,D
1640,7/6/2023,36,P
1641,9/16/2023,37,D
1642,7/26/2023,32,D
1643,2/21/2024,76,P
1644,6/6/2023,92,P
1645,7/1/2023,40,D
1646,7/18/2023,28,D
1647,7/30/2023,9,P
1648,4/14/2023,54,D
1649,4/27/2023,51,P
1650,5/26/2023,92,P
1651,5/15/2023,55,P
1652,1/13/2024,40,D
1653,7/23/2023,79,P
1654,9/28/2023,98,D
1655,11/22/2023,79,D
1656,11/5/2023,30,D
1657,8/27/2023,29,P
1658,12/28/2023,9,P
1659,12/25/2023,14,P
1660,9/27/2023,4,P
1661,2/20/2024,21,P
1662,7/26/2023,25,P
1663,7/5/2023,83,P
1664,3/13/2024,35,D
1665,6/5/2023,69,P
1666,12/17/2023,96,P
1667,4/26/2023,10,P
1668,6/22/2023,9,D
1669,2/3/2024,13,D
1670,4/27/2023,31,P
1671,2/29/2024,100,D
1672,1/31/2024,88,P
1673,1/28/2024,70,D
1674,7/14/2023,82,D
1675,1/26/2024,45,P
1676,7/3/2023,3,D
1677,5/1/2023,88,D
1678,8/24/2023,57,D
1679,4/23/2023,35,P
1680,5/4/2023,72,P
1681,9/25/2023,16,D
1682,9/17/2023,20,P
1683,8/8/2023,49,D
1684,10/25/2023,23,P
1685,5/4/2023,37,D
1686,10/22/2023,100,D
1687,4/17/2023,21,D
1688,4/14/2023,16,D
1689,7/10/2023,37,D
1690,11/22/2023,100,D
1691,8/16/2023,29,P
1692,6/20/2023,14,P
1693,4/5/2024,61,D
1694,11/30/2023,10,D
1695,3/5/2024,47,P
1696,2/12/2024,24,D
1697,8/25/2023,5,P
1698,7/21/2023,61,P
1699,11/22/2023,6,P
1700,9/22/2023,23,D
1701,1/23/2024,18,D
1702,10/7/2023,75,D
1703,1/11/2024,51,D
1704,3/29/2024,6,P
1705,4/22/2023,92,P
1706,1/5/2024,72,P
1707,8/17/2023,47,D
1708,5/16/2023,90,P
1709,9/20/2023,18,P
1710,1/7/2024,43,P
1711,7/18/2023,37,D
1712,3/16/2024,79,D
1713,1/24/2024,46,D
1714,1/26/2024,40,D
1715,7/2/2023,77,D
1716,6/6/2023,95,D
1717,11/26/2023,30,D
1718,4/6/2024,90,D
1719,10/25/2023,100,D
1720,5/18/2023,94,P
1721,7/16/2023,32,D
1722,3/6/2024,31,D
1723,12/20/2023,27,D
1724,1/15/2024,10,D
1725,5/29/2023,31,P
1726,9/7/2023,48,P
1727,8/13/2023,55,P
1728,12/21/2023,17,D
1729,8/23/2023,81,D
1730,4/21/2023,33,P
1731,5/31/2023,25,P
1732,4/28/2023,18,D
1733,11/19/2023,8,D
1734,9/2/2023,20,D
1735,10/24/2023,88,P
1736,5/26/2023,76,D
1737,12/30/2023,78,D
1738,5/31/2023,27,P
1739,12/22/2023,93,P
1740,12/24/2023,1,P
1741,9/21/2023,75,D
1742,9/30/2023,29,P
1743,10/30/2023,32,P
1744,7/28/2023,94,D
1745,3/12/2024,32,P
1746,10/30/2023,28,D
1747,8/4/2023,61,P
1748,9/1/2023,95,P
1749,6/10/2023,58,P
1750,1/13/2024,3,P
1751,3/14/2024,65,P
1752,11/10/2023,35,D
1753,5/20/2023,12,D
1754,9/9/2023,39,P
1755,8/26/2023,47,P
1756,12/15/2023,54,P
1757,4/17/2023,21,P
1758,2/29/2024,9,P
1759,4/29/2023,8,D
1760,4/7/2024,12,D
1761,1/4/2024,20,D
1762,11/14/2023,98,D
1763,9/23/2023,57,D
1764,7/17/2023,62,D
1765,4/13/2023,10,D
1766,11/22/2023,22,P
1767,1/22/2024,23,P
1768,12/18/2023,45,D
1769,7/14/2023,64,D
1770,12/18/2023,43,P
1771,3/23/2024,63,D
1772,7/26/2023,32,D
1773,12/24/2023,21,P
1774,2/29/2024,30,P
1775,10/30/2023,41,D
1776,12/17/2023,1,D
1777,12/13/2023,8,P
1778,5/23/2023,17,D
1779,9/3/2023,51,P
1780,7/17/2023,21,P
1781,3/11/2024,49,P
1782,6/16/2023,16,P
1783,6/21/2023,79,P
1784,11/20/2023,80,P
1785,9/14/2023,13,P
1786,12/29/2023,18,P
1787,8/4/2023,31,P
1788,12/13/2023,68,P
1789,3/22/2024,53,P
1790,11/8/2023,87,P
1791,3/27/2024,31,D
1792,8/30/2023,6,P
1793,9/11/2023,60,P
1794,11/15/2023,15,P
1795,3/20/2024,73,P
1796,12/16/2023,43,D
1797,3/12/2024,16,D
1798,6/16/2023,57,D
1799,9/3/2023,22,P
1800,12/10/2023,88,P
1801,10/3/2023,21,P
1802,2/12/2024,90,D
1803,12/13/2023,96,P
1804,12/16/2023,93,P
1805,11/19/2023,50,D
1806,12/14/2023,28,D
1807,7/13/2023,64,P
1808,8/28/2023,63,D
1809,9/4/2023,98,D
1810,2/26/2024,84,P
1811,4/12/2023,74,D
1812,12/3/2023,29,P
1813,2/12/2024,57,P
1814,10/25/2023,21,P
1815,9/2/2023,25,D
1816,9/6/2023,24,P
1817,8/7/2023,40,D
1818,5/29/2023,86,D
1819,6/18/2023,76,P
1820,2/7/2024,64,D
1821,5/12/2023,100,D
1822,6/12/2023,99,D
1823,6/16/2023,40,P
1824,5/24/2023,89,P
1825,8/9/2023,70,P
1826,1/23/2024,45,P
1827,7/1/2023,39,D
1828,1/7/2024,80,D
1829,4/28/2023,78,D
1830,7/19/2023,15,P
1831,12/19/2023,80,D
1832,10/21/2023,9,D
1833,9/9/2023,8,D
1834,1/16/2024,74,D
1835,5/25/2023,52,P
1836,4/21/2023,27,P
1837,4/15/2023,48,P
1838,10/5/2023,76,D
1839,5/11/2023,44,P
1840,6/27/2023,61,D
1841,6/23/2023,69,P
1842,4/22/2023,82,D
1843,5/19/2023,28,D
1844,9/18/2023,7,P
1845,12/10/2023,15,P
1846,10/27/2023,25,P
1847,6/18/2023,32,P
1848,7/15/2023,76,P
1849,12/10/2023,10,D
1850,3/30/2024,9,D
1851,11/14/2023,43,D
1852,1/9/2024,98,P
1853,7/19/2023,0,P
1854,4/29/2023,35,D
1855,10/26/2023,26,P
1856,11/20/2023,6,D
1857,12/11/2023,52,D
1858,8/10/2023,18,D
1859,11/12/2023,63,P
1860,2/24/2024,24,P
1861,8/25/2023,47,P
1862,4/23/2023,71,P
1863,5/1/2023,75,P
1864,6/5/2023,73,D
1865,7/7/2023,14,P
1866,6/1/2023,57,D
1867,4/27/2023,43,P
1868,11/5/2023,48,P
1869,4/17/2023,82,P
1870,3/20/2024,66,D
1871,6/16/2023,68,P
1872,9/27/2023,70,P
1873,9/23/2023,19,D
1874,3/3/2024,53,P
1875,4/3/2024,18,P
1876,7/20/2023,0,D
1877,8/16/2023,56,D
1878,9/13/2023,77,P
1879,8/12/2023,36,P
1880,5/26/2023,83,P
1881,8/30/2023,3,P
1882,12/14/2023,23,D
1883,4/23/2023,15,P
1884,5/13/2023,3,P
1885,9/10/2023,100,D
1886,11/16/2023,91,P
1887,6/22/2023,42,D
1888,10/27/2023,10,D
1889,7/12/2023,9,P
1890,10/31/2023,59,D
1891,2/29/2024,71,P
1892,12/19/2023,95,D
1893,5/16/2023,10,P
1894,9/26/2023,60,D
1895,5/25/2023,4,D
1896,6/19/2023,60,P
1897,1/22/2024,11,D
1898,10/6/2023,46,P
1899,12/21/2023,0,D
1900,12/11/2023,39,D
1901,4/11/2024,35,D
1902,5/2/2023,62,D
1903,4/20/2023,44,D
1904,9/18/2023,100,D
1905,11/25/2023,18,D
1906,1/9/2024,54,D
1907,9/27/2023,93,P
1908,5/1/2023,74,D
1909,8/19/2023,14,P
1910,5/16/2023,56,D
1911,5/29/2023,44,D
1912,10/18/2023,70,P
1913,7/26/2023,87,D
1914,3/28/2024,79,D
1915,4/20/2023,63,D
1916,3/27/2024,34,D
1917,6/3/2023,67,D
1918,3/7/2024,21,D
1919,5/22/2023,16,P
1920,5/25/2023,72,D
1921,1/21/2024,14,D
1922,5/22/2023,58,D
1923,4/9/2024,64,P
1924,12/13/2023,62,P
1925,1/19/2024,78,D
1926,8/17/2023,58,P
1927,8/2/2023,45,D
1928,1/16/2024,1,D
1929,4/30/2023,37,P
1930,2/28/2024,27,P
1931,11/15/2023,11,D
1932,4/15/2023,79,P
1933,3/14/2024,75,P
1934,9/10/2023,27,P
1935,4/16/2023,100,P
1936,10/21/2023,36,D
1937,11/19/2023,25,D
1938,4/30/2023,24,P
1939,3/19/2024,87,D
1940,11/9/2023,59,D
1941,12/2/2023,51,D
1942,2/17/2024,56,D
1943,12/9/2023,20,D
1944,8/8/2023,28,P
1945,2/8/2024,9,P
1946,1/22/2024,48,P
1947,12/11/2023,79,D
1948,12/23/2023,72,D
1949,5/22/2023,54,P
1950,1/6/2024,44,D
1951,10/1/2023,62,D
1952,5/13/2023,22,D
1953,10/5/2023,65,P
1954,8/23/2023,61,P
1955,11/2/2023,29,P
1956,10/7/2023,19,P
1957,11/18/2023,43,P
1958,4/19/2023,11,D
1959,9/7/2023,42,P
1960,9/2/2023,38,P
1961,5/18/2023,12,D
1962,5/15/2023,27,P
1963,3/29/2024,32,P
1964,11/25/2023,56,D
1965,10/23/2023,18,P
1966,5/13/2023,34,P
1967,8/26/2023,95,P
1968,11/23/2023,65,P
1969,8/8/2023,49,D
1970,7/23/2023,78,D
1971,11/13/2023,11,P
1972,2/21/2024,48,D
1973,9/22/2023,32,P
1974,3/9/2024,10,D
1975,4/2/2024,11,D
1976,9/22/2023,42,P
1977,10/25/2023,77,D
1978,8/19/2023,7,P
1979,9/14/2023,72,P
1980,8/21/2023,31,D
1981,2/3/2024,51,P
1982,6/2/2023,22,P
1983,8/12/2023,15,P
1984,10/26/2023,43,P
1985,6/8/2023,59,P
1986,2/3/2024,27,D
1987,7/31/2023,42,D
1988,8/3/2023,71,P
1989,1/22/2024,73,P
1990,9/13/2023,0,P
1991,9/24/2023,16,P
1992,9/20/2023,69,D
1993,7/26/2023,68,D
1994,4/20/2023,92,D
1995,5/25/2023,7,P
1996,3/28/2024,10,P
1997,8/30/2023,76,D
