id,idConsumidor,nitEmpresa,estado,porcentajeDescuento ,valor
1186,1800,1140,BONOBDAY,54,88
1187,1208,1381,BIENVENIDO,49,97
1188,1094,1208,OFERTA20,94,25
1189,1900,1771,HAPPYHOUR,62,96
1190,1589,1780,BONOBDAY,74,28
1191,1414,1583,HAPPYHOUR,94,84
1192,1824,1327,COMBOPROMO,82,14
1193,1070,1404,BONOBDAY,14,17
1194,1636,1439,BIENVENIDO,82,3
1195,1113,1666,ANIVERSARIO,71,14
1196,1369,1024,COMBOPROMO,29,44
1197,1685,1623,INVITAMIGO,76,71
1198,1357,1679,DESC10,45,94
1199,1591,1486,COMBOPROMO,96,78
1200,1891,1264,HAPPYHOUR,17,54
1201,1050,1450,COMBOPROMO,6,32
1202,1241,1246,INVITAMIGO,53,43
1203,1531,1255,OFERTA20,80,17
1204,1847,1779,INVITAMIGO,34,24
1205,1160,1818,BONOBDAY,46,84
1206,1631,1791,ANIVERSARIO,12,92
1207,1713,1166,COMBOPROMO,87,3
1208,1897,1518,DESC10,80,65
1209,1673,1967,ANIVERSARIO,21,4
1210,1597,1156,HAPPYHOUR,39,85
1211,1497,1912,ANIVERSARIO,43,87
1212,1965,1442,OFERTA20,18,41
1213,1805,1658,DESC10,81,18
1214,1642,1213,BIENVENIDO,72,60
1215,1888,1402,COMBOPROMO,51,42
1216,1739,1145,INVITAMIGO,15,84
1217,1442,1226,DESC10,58,82
1218,1341,1391,DESC10,10,65
1219,1296,1271,BIENVENIDO,12,23
1220,1255,1510,OFERTA20,56,49
1221,1405,1455,HAPPYHOUR,23,76
1222,1858,1537,BONOBDAY,76,99
1223,1228,1644,INVITAMIGO,68,27
1224,1714,1653,BIENVENIDO,23,26
1225,1727,1082,INVITAMIGO,57,53
1226,1408,1419,DESC10,96,44
1227,1791,1881,OFERTA20,40,69
1228,1941,1116,DESC10,49,28
1229,1342,1634,BIENVENIDO,99,1
1230,1425,1577,BIENVENIDO,92,37
1231,1749,1388,BIENVENIDO,96,40
1232,1516,1194,BONOBDAY,89,27
1233,1484,1756,BIENVENIDO,64,88
1234,1751,1186,BIENVENIDO,47,84
1235,1115,1022,HAPPYHOUR,68,35
1236,1524,1103,DESC10,32,67
1237,1402,1035,OFERTA20,56,39
1238,1609,1843,BIENVENIDO,14,58
1239,1575,1823,ANIVERSARIO,6,48
1240,1458,1117,COMBOPROMO,6,19
1241,1493,1059,BONOBDAY,80,35
1242,1519,1311,BONOBDAY,16,94
1243,1996,1615,DESC10,11,38
1244,1686,1285,COMBOPROMO,100,80
1245,1433,1254,OFERTA20,26,3
1246,1007,1884,HAPPYHOUR,48,75
1247,1224,1936,BIENVENIDO,72,70
1248,1161,1142,DESC10,40,50
1249,1658,1911,INVITAMIGO,72,75
1250,1494,1660,FREESHIP,51,30
1251,1230,1461,INVITAMIGO,63,84
1252,1267,1021,INVITAMIGO,66,14
1253,1960,1995,INVITAMIGO,85,87
1254,1266,1406,DESC10,2,60
1255,1571,1039,BIENVENIDO,45,33
1256,1785,1377,OFERTA20,47,96
1257,1623,1421,HAPPYHOUR,48,46
1258,1165,1945,OFERTA20,17,88
1259,1868,1981,HAPPYHOUR,35,11
1260,1213,1340,FREESHIP,90,35
1261,1995,1573,HAPPYHOUR,4,1
1262,1587,1364,COMBOPROMO,77,10
1263,1602,1329,DESC10,53,6
1264,1590,1139,ANIVERSARIO,40,83
1265,1924,1740,ANIVERSARIO,63,18
1266,1391,1819,OFERTA20,11,5
1267,1838,1005,BIENVENIDO,2,49
1268,1377,1075,DESC10,46,85
1269,1550,1078,BIENVENIDO,17,90
1270,1126,1131,ANIVERSARIO,59,97
1271,1415,1064,INVITAMIGO,95,13
1272,1394,1093,FREESHIP,64,50
1273,1711,1443,INVITAMIGO,46,81
1274,1080,1770,ANIVERSARIO,44,56
1275,1005,1908,BIENVENIDO,46,2
1276,1364,1215,BIENVENIDO,10,27
1277,1736,1380,BONOBDAY,22,33
1278,1648,1639,COMBOPROMO,2,21
1279,1138,1672,FREESHIP,1,23
1280,1192,1157,BIENVENIDO,12,41
1281,1669,1050,OFERTA20,88,76
1282,1707,1384,HAPPYHOUR,82,91
1283,1919,1890,BIENVENIDO,12,76
1284,1015,1234,HAPPYHOUR,68,58
1285,1435,1749,ANIVERSARIO,63,27
1286,1784,1362,COMBOPROMO,10,73
1287,1215,1359,INVITAMIGO,56,4
1288,1176,1746,HAPPYHOUR,89,8
1289,1874,1515,HAPPYHOUR,33,38
1290,1479,1974,BIENVENIDO,51,49
1291,1567,1373,FREESHIP,26,74
1292,1958,1507,COMBOPROMO,60,86
1293,1012,1350,BONOBDAY,2,36
1294,1330,1944,OFERTA20,99,3
1295,1367,1768,INVITAMIGO,98,16
1296,1566,1320,BONOBDAY,29,65
1297,1182,1750,BIENVENIDO,33,34
1298,1770,1568,BONOBDAY,63,66
1299,1412,1743,BIENVENIDO,98,66
1300,1618,1394,INVITAMIGO,44,35
1301,1042,1628,ANIVERSARIO,15,12
1302,1863,1042,BONOBDAY,64,22
1303,1106,1667,BIENVENIDO,78,86
1304,1773,1676,OFERTA20,97,20
1305,1399,1172,FREESHIP,8,65
1306,1025,1150,DESC10,73,21
1307,1694,1363,COMBOPROMO,62,97
1308,1081,1481,INVITAMIGO,17,32
1309,1910,1484,OFERTA20,46,96
1310,1928,1790,OFERTA20,21,89
1311,1194,1505,INVITAMIGO,25,43
1312,1535,1678,ANIVERSARIO,55,89
1313,1043,2000,BONOBDAY,4,12
1314,1906,1527,BIENVENIDO,43,46
1315,1355,1517,COMBOPROMO,13,6
1316,1170,1595,OFERTA20,46,69
1317,1974,1261,FREESHIP,18,10
1318,1462,1712,HAPPYHOUR,62,66
1319,1765,1866,ANIVERSARIO,38,20
1320,1616,1680,INVITAMIGO,91,47
1321,1013,1288,DESC10,99,78
1322,1431,1758,BIENVENIDO,85,62
1323,1258,1996,ANIVERSARIO,26,42
1324,1980,1616,ANIVERSARIO,35,79
1325,1977,1233,HAPPYHOUR,61,74
1326,1880,1739,OFERTA20,42,78
1327,1056,1243,HAPPYHOUR,28,61
1328,1653,1248,DESC10,43,54
1329,1321,1708,COMBOPROMO,54,5
1330,1721,1705,INVITAMIGO,18,23
1331,1715,1129,ANIVERSARIO,24,33
1332,1376,1418,DESC10,86,29
1333,1799,1218,ANIVERSARIO,80,95
1334,1982,1548,HAPPYHOUR,24,95
1335,1969,1807,BONOBDAY,35,82
1336,1943,1095,HAPPYHOUR,22,13
1337,1220,1324,BONOBDAY,84,52
1338,1663,1982,BONOBDAY,82,67
1339,1280,1303,FREESHIP,28,48
1340,1276,1824,FREESHIP,6,28
1341,1029,1907,HAPPYHOUR,41,29
1342,1704,1398,BIENVENIDO,97,99
1343,1725,1253,FREESHIP,27,38
1344,1915,1276,FREESHIP,6,39
1345,1647,1864,INVITAMIGO,15,32
1346,1095,1917,OFERTA20,18,35
1347,1832,1670,ANIVERSARIO,44,97
1348,1486,1914,DESC10,62,32
1349,1744,1921,FREESHIP,72,60
1350,1256,1009,OFERTA20,73,32
1351,1595,1613,DESC10,79,29
1352,1314,1079,FREESHIP,17,36
1353,1997,1600,FREESHIP,9,81
1354,1512,1028,INVITAMIGO,76,49
1355,1169,1511,FREESHIP,61,78
1356,1875,1799,INVITAMIGO,79,74
1357,1175,1580,BONOBDAY,26,83
1358,1961,1478,OFERTA20,73,93
1359,1864,1497,HAPPYHOUR,15,82
1360,1252,1387,ANIVERSARIO,99,80
1361,1523,1193,OFERTA20,36,12
1362,1476,1529,COMBOPROMO,38,20
1363,1992,1332,DESC10,32,6
1364,1322,1447,OFERTA20,67,40
1365,1451,1354,HAPPYHOUR,5,45
1366,1104,1331,HAPPYHOUR,15,4
1367,1260,1831,ANIVERSARIO,57,94
1368,1254,1427,DESC10,34,34
1369,1035,1752,OFERTA20,20,13
1370,1444,1477,FREESHIP,73,1
1371,1099,1294,HAPPYHOUR,41,55
1372,1233,1801,ANIVERSARIO,53,100
1373,1290,1551,BIENVENIDO,10,49
1374,1981,1934,INVITAMIGO,57,3
1375,1938,1805,INVITAMIGO,60,55
1376,1845,1979,BIENVENIDO,23,95
1377,1274,1197,FREESHIP,83,98
1378,1944,1783,BIENVENIDO,30,68
1379,1460,1299,DESC10,22,31
1380,1655,1880,OFERTA20,58,42
1381,1195,1257,OFERTA20,73,28
1382,1683,1191,INVITAMIGO,43,81
1383,1279,1465,OFERTA20,6,31
1384,1674,1224,DESC10,53,21
1385,1157,1080,FREESHIP,31,71
1386,1756,1851,INVITAMIGO,32,33
1387,1342,1177,ANIVERSARIO,21,94
1388,1154,1081,BONOBDAY,12,52
1389,1213,1952,FREESHIP,95,79
1390,1265,1282,COMBOPROMO,66,5
1391,1672,1132,OFERTA20,3,95
1392,1405,1417,DESC10,89,23
1393,1612,1200,BIENVENIDO,95,96
1394,1300,1053,DESC10,12,44
1395,1832,1954,ANIVERSARIO,81,72
1396,1470,1240,OFERTA20,41,92
1397,1135,1408,DESC10,67,66
1398,1329,1767,BIENVENIDO,21,69
1399,1136,1403,FREESHIP,49,69
1400,1902,1949,ANIVERSARIO,69,32
1401,1166,1332,COMBOPROMO,28,79
1402,1720,1734,BIENVENIDO,55,54
1403,1744,1417,BONOBDAY,53,33
1404,1303,1326,BIENVENIDO,61,89
1405,1640,1489,DESC10,88,71
1406,1712,1632,HAPPYHOUR,54,46
1407,1920,1338,BONOBDAY,64,95
1408,1127,1195,DESC10,87,53
1409,1277,1691,BIENVENIDO,28,77
1410,1642,1790,DESC10,60,28
1411,1606,1078,BIENVENIDO,12,38
1412,1129,1227,DESC10,12,9
1413,1770,1458,HAPPYHOUR,11,24
1414,1223,1102,ANIVERSARIO,13,68
1415,1812,1511,BIENVENIDO,58,19
1416,1960,1313,COMBOPROMO,87,77
1417,1935,1903,BIENVENIDO,48,32
1418,1010,1404,DESC10,26,69
1419,1875,1793,BONOBDAY,90,17
1420,1155,1350,ANIVERSARIO,12,32
1421,1349,1204,COMBOPROMO,1,46
1422,1714,1472,INVITAMIGO,5,34
1423,1264,1530,COMBOPROMO,48,46
1424,1597,1358,BONOBDAY,47,29
1425,1627,1412,COMBOPROMO,27,60
1426,1900,1062,ANIVERSARIO,92,67
1427,1843,1230,FREESHIP,71,66
1428,1958,1506,DESC10,84,2
1429,1779,1721,HAPPYHOUR,23,30
1430,1954,1817,BONOBDAY,11,28
1431,1434,1958,INVITAMIGO,70,12
1432,1153,1120,INVITAMIGO,50,49
1433,1725,1689,HAPPYHOUR,42,69
1434,1522,1374,COMBOPROMO,44,73
1435,1376,1339,COMBOPROMO,64,49
1436,1260,1491,FREESHIP,7,29
1437,1340,1547,HAPPYHOUR,85,12
1438,1757,1510,FREESHIP,84,77
1439,1366,1921,INVITAMIGO,9,5
1440,1988,1137,DESC10,42,38
1441,1801,1757,HAPPYHOUR,49,82
1442,1650,1859,DESC10,11,28
1443,1324,1651,COMBOPROMO,46,87
1444,1541,1186,DESC10,25,15
1445,1594,1353,BONOBDAY,70,20
1446,1745,1948,FREESHIP,51,92
1447,1316,1451,COMBOPROMO,59,77
1448,1412,1661,BONOBDAY,67,35
1449,1908,1776,HAPPYHOUR,65,81
1450,1233,1413,HAPPYHOUR,2,65
1451,1523,1077,DESC10,27,14
1452,1659,1680,COMBOPROMO,57,20
1453,1057,1043,FREESHIP,72,36
1454,1839,1616,DESC10,29,94
1455,1516,1631,BIENVENIDO,55,94
1456,1957,1235,INVITAMIGO,34,7
1457,1297,1602,COMBOPROMO,100,24
1458,1331,1282,BONOBDAY,87,90
1459,1251,1536,BIENVENIDO,97,93
1460,1359,1831,FREESHIP,20,17
1461,1543,1561,BIENVENIDO,36,40
1462,1926,1379,BIENVENIDO,22,94
1463,1760,1956,INVITAMIGO,22,90
1464,1590,1712,HAPPYHOUR,11,32
1465,1856,1773,INVITAMIGO,15,42
1466,1139,1364,FREESHIP,3,68
1467,1385,1465,COMBOPROMO,35,46
1468,1232,1017,ANIVERSARIO,98,47
1469,1104,1155,FREESHIP,69,59
1470,1020,1866,BONOBDAY,78,93
1471,1769,1108,HAPPYHOUR,97,30
1472,1676,1433,DESC10,71,20
1473,1824,1056,DESC10,13,37
1474,1421,1927,BIENVENIDO,34,39
1475,1312,1090,BONOBDAY,89,86
1476,1781,1983,FREESHIP,39,59
1477,1307,1814,ANIVERSARIO,55,100
1478,1979,1756,FREESHIP,31,19
1479,1408,1718,OFERTA20,83,58
1480,1641,1906,INVITAMIGO,29,19
1481,1483,1133,OFERTA20,46,100
1482,1948,1931,OFERTA20,41,49
1483,1445,1844,ANIVERSARIO,64,49
1484,1680,1876,BONOBDAY,66,34
1485,1169,1566,HAPPYHOUR,14,87
1486,1738,1821,INVITAMIGO,73,35
1487,1176,1203,ANIVERSARIO,92,11
1488,1576,1568,INVITAMIGO,83,100
1489,1701,1650,ANIVERSARIO,18,78
1490,1529,1188,COMBOPROMO,77,72
1491,1315,1426,INVITAMIGO,90,22
1492,1103,1197,HAPPYHOUR,81,27
1493,1746,1655,HAPPYHOUR,16,24
1494,1538,1146,BONOBDAY,7,43
1495,1370,1178,HAPPYHOUR,33,32
1496,1519,1172,ANIVERSARIO,16,77
1497,1188,1057,FREESHIP,21,97
1498,1944,1855,INVITAMIGO,85,73
1499,1001,1192,DESC10,3,73
1500,1275,1376,HAPPYHOUR,28,98
1501,1403,1700,HAPPYHOUR,93,1
1502,1468,1297,BONOBDAY,32,22
1503,1384,1024,OFERTA20,61,2
1504,1613,1258,DESC10,23,53
1505,1794,1436,HAPPYHOUR,20,52
1506,1951,1622,BONOBDAY,52,81
1507,1494,1688,COMBOPROMO,55,20
1508,1417,1853,FREESHIP,15,52
1509,1014,1335,BIENVENIDO,91,65
1510,1152,1372,BIENVENIDO,43,82
1511,1217,1080,BONOBDAY,10,65
1512,1467,1069,BONOBDAY,93,90
1513,1486,1553,FREESHIP,7,2
1514,1257,1257,BONOBDAY,44,18
1515,1199,1399,BIENVENIDO,7,75
1516,1203,1498,COMBOPROMO,60,49
1517,1550,1303,INVITAMIGO,30,51
1518,1609,1400,DESC10,10,16
1519,1511,1652,COMBOPROMO,40,77
1520,1561,1892,ANIVERSARIO,69,20
1521,1202,1657,FREESHIP,18,30
1522,1649,1027,FREESHIP,17,71
1523,1180,1759,COMBOPROMO,93,45
1524,1547,1621,BIENVENIDO,73,15
1525,1887,1169,BONOBDAY,4,69
1526,1198,1940,ANIVERSARIO,74,43
1527,1721,1395,HAPPYHOUR,82,40
1528,1564,1962,COMBOPROMO,12,99
1529,1059,1537,COMBOPROMO,56,48
1530,1593,1144,FREESHIP,86,63
1531,1423,1406,BIENVENIDO,28,80
1532,1336,1295,DESC10,77,60
1533,1292,1259,FREESHIP,49,38
1534,1616,1424,OFERTA20,3,61
1535,1583,1130,INVITAMIGO,66,76
1536,1106,1684,OFERTA20,17,22
1537,1929,1479,INVITAMIGO,71,39
1538,1361,1441,COMBOPROMO,23,65
1539,1341,1368,COMBOPROMO,56,94
1540,1269,1850,ANIVERSARIO,71,93
1541,1271,1937,BIENVENIDO,1,1
1542,1861,1393,COMBOPROMO,31,79
1543,1427,1226,DESC10,24,73
1544,1525,1073,BONOBDAY,63,75
1545,1607,1678,BONOBDAY,39,94
1546,1602,1571,ANIVERSARIO,22,99
1547,1182,1019,FREESHIP,43,45
1548,1828,1988,BIENVENIDO,6,36
1549,1291,1867,COMBOPROMO,38,93
1550,1337,1390,OFERTA20,87,74
1551,1143,1765,BIENVENIDO,25,44
1552,1874,1955,HAPPYHOUR,79,20
1553,1718,1783,OFERTA20,85,69
1554,1624,1607,BIENVENIDO,40,28
1555,1177,1456,COMBOPROMO,43,50
1556,1577,1638,COMBOPROMO,43,41
1557,1787,1013,HAPPYHOUR,6,95
1558,1850,1578,INVITAMIGO,37,96
1559,1061,1271,OFERTA20,57,61
1560,1553,1362,DESC10,78,50
1561,1040,1454,FREESHIP,91,11
1562,1225,1580,INVITAMIGO,11,64
1563,1991,1781,OFERTA20,66,24
1564,1089,1014,INVITAMIGO,47,57
1565,1691,1898,BONOBDAY,73,97
1566,1081,1409,DESC10,13,16
1567,1395,1775,FREESHIP,45,82
1568,1365,1319,BONOBDAY,9,32
1569,1244,1435,HAPPYHOUR,70,7
1570,1393,1755,DESC10,18,78
1571,1826,1153,ANIVERSARIO,29,60
1572,1122,1430,BONOBDAY,99,8
1573,1039,1728,OFERTA20,90,29
1574,1147,1025,DESC10,73,69
1575,1628,1414,COMBOPROMO,80,51
1576,1151,1112,BONOBDAY,98,97
1577,1452,1243,INVITAMIGO,25,37
1578,1668,1210,ANIVERSARIO,99,46
1579,1138,1104,INVITAMIGO,11,85
1580,1134,1273,HAPPYHOUR,23,86
1581,1080,1391,BIENVENIDO,69,8
1582,1442,1916,COMBOPROMO,12,24
1583,1546,1239,BIENVENIDO,75,90
1584,1409,1582,ANIVERSARIO,18,6
1585,1280,1633,COMBOPROMO,68,16
1586,1422,1071,BIENVENIDO,37,42
1587,1551,1894,FREESHIP,67,94
1588,1326,1487,BONOBDAY,24,45
1589,1485,1269,BONOBDAY,46,61
1590,1174,1546,DESC10,15,91
1591,1121,1359,HAPPYHOUR,49,61
1592,1967,1503,DESC10,13,100
1593,1125,1823,DESC10,14,10
1594,1764,1791,BONOBDAY,91,35
1595,1855,1134,FREESHIP,100,53
1596,1268,1787,HAPPYHOUR,4,18
1597,1934,1715,COMBOPROMO,93,69
1598,1058,1061,OFERTA20,6,70
1599,1567,1762,DESC10,5,48
1600,1573,1636,BONOBDAY,49,51
1601,1782,1252,FREESHIP,99,31
1602,1473,1225,FREESHIP,8,80
1603,1976,1974,COMBOPROMO,90,94
1604,1123,1012,COMBOPROMO,69,32
1605,1727,1966,DESC10,49,21
1606,1575,1072,OFERTA20,75,9
1607,1536,1201,COMBOPROMO,92,47
1608,1062,1640,FREESHIP,67,41
1609,1469,1241,OFERTA20,89,70
1610,1253,1875,FREESHIP,65,89
1611,1226,1869,BIENVENIDO,94,4
1612,1433,1984,OFERTA20,85,40
1613,1481,1603,INVITAMIGO,25,7
1614,1726,1777,COMBOPROMO,55,45
1615,1910,1045,BIENVENIDO,81,39
1616,1054,1539,HAPPYHOUR,42,89
1617,1584,1033,BIENVENIDO,37,75
1618,1301,1738,OFERTA20,89,6
1619,1224,1989,BIENVENIDO,29,50
1620,1754,1267,BIENVENIDO,37,8
1621,1595,1849,COMBOPROMO,84,22
1622,1548,1444,DESC10,19,26
1623,1320,1294,BONOBDAY,76,77
1624,1623,1687,FREESHIP,42,76
1625,1705,1882,BONOBDAY,39,51
1626,1464,1322,COMBOPROMO,27,49
1627,1007,1504,ANIVERSARIO,46,17
1628,1938,1314,COMBOPROMO,6,29
1629,1302,1554,FREESHIP,16,91
1630,1288,1486,BONOBDAY,18,39
1631,1833,1168,FREESHIP,49,44
1632,1928,1997,HAPPYHOUR,49,39
1633,1424,1026,ANIVERSARIO,76,23
1634,1695,1519,BIENVENIDO,91,63
1635,1888,1928,OFERTA20,61,84
1636,1901,1452,ANIVERSARIO,39,8
1637,1916,1760,DESC10,97,27
1638,1580,1834,DESC10,84,21
1639,1905,1575,DESC10,89,50
1640,1617,1471,HAPPYHOUR,84,98
1641,1556,1093,INVITAMIGO,87,50
1642,1435,1936,COMBOPROMO,80,96
1643,1025,1699,BONOBDAY,25,31
1644,1285,1167,FREESHIP,88,52
1645,1906,1464,OFERTA20,49,96
1646,1504,1797,FREESHIP,82,19
1647,1603,1321,INVITAMIGO,4,85
1648,1480,1361,HAPPYHOUR,61,38
1649,1400,1911,DESC10,73,37
1650,1758,1500,BIENVENIDO,10,21
1651,1814,1280,BONOBDAY,68,1
1652,1933,1567,COMBOPROMO,28,87
1653,1415,1182,DESC10,4,63
1654,1831,1141,OFERTA20,4,71
1655,1228,1213,INVITAMIGO,87,88
1656,1293,1160,COMBOPROMO,4,17
1657,1827,1330,HAPPYHOUR,82,33
1658,1635,1517,INVITAMIGO,78,5
