id,nombre,precio
1196,KWQ-826891176,75
1197,ZMX-521437859,29
1198,TEH-894526867,96
1199,XCY-728060646,86
1200,TXW-559414824,48
1201,YOB-437307922,20
1202,GLI-844193479,78
1203,UUB-490577188,24
1204,TUH-728711957,47
1205,YQQ-141689948,90
1206,ZDV-889697675,18
1207,EDC-135817218,10
1208,WYU-142172134,53
1209,PRI-508123863,49
1210,SMA-421836046,94
1211,VUQ-767208124,70
1212,SZA-075458393,22
1213,UUF-810845538,39
1214,WMN-690084766,18
1215,SHZ-494948601,27
1216,CUQ-810347751,85
1217,ZQJ-821114777,37
1218,CZC-925652644,66
1219,BZD-574668015,60
1220,XCN-427764182,59
1221,FTX-220682339,12
1222,SBM-074787026,67
1223,LLR-853116675,68
1224,FZQ-470586108,53
1225,MVN-769370214,55
1226,BRA-953977093,22
1227,ZBG-299075963,91
1228,FJM-782275481,5
1229,PMM-349723252,35
1230,UJV-427880264,44
1231,EOV-253566433,31
1232,TAZ-426985680,78
1233,DIO-320247141,81
1234,ZIZ-890173529,97
1235,AND-450191759,35
1236,HJG-923173242,49
1237,RZP-406177542,30
1238,WNA-435194350,26
1239,KWH-440558905,65
1240,GBD-378487936,47
1241,VSN-368664060,64
1242,NFS-765040157,2
1243,AWU-909252001,81
1244,DAT-882586859,34
1245,SIK-659601623,81
1246,YBV-115167070,53
1247,NPZ-899243045,84
1248,NYF-722236266,75
1249,SNV-434554850,84
1250,CDZ-498516748,1
1251,NOG-668970204,59
1252,ATV-815141268,21
1253,LYD-918633540,18
1254,MVU-997453733,84
1255,VVM-969158647,24
1256,BFN-787298001,48
1257,RZH-330554169,34
1258,WBZ-842597405,33
1259,NWZ-314959786,77
1260,XIL-191123970,69
1261,WIB-039023110,54
1262,MSJ-446998873,73
1263,CII-358036804,81
1264,DFU-357951417,40
1265,QAW-795189682,9
1266,GWW-278383008,31
1267,VYY-384559199,49
1268,FMV-681788679,78
1269,KSJ-544456245,51
1270,YPS-848914228,13
1271,QLQ-625358438,97
1272,ZEE-506900553,86
1273,RUT-627354632,17
1274,RLK-806929967,21
1275,WIY-342240736,84
1276,DHY-042379774,87
1277,OKI-013766486,53
1278,YZT-094143068,91
1279,MDP-532925133,48
1280,BVT-083194213,18
1281,DWS-863172222,41
1282,CMR-556941991,30
1283,FWT-930503352,81
1284,CCZ-345221417,52
1285,JRN-900504324,90
1286,VVO-329262251,39
1287,HCQ-728334564,58
1288,ERW-614459758,63
1289,FNQ-147181500,59
1290,SJL-361567635,65
1291,HFK-907910721,11
1292,BMG-914968811,15
1293,DZM-638203891,52
1294,NJR-110232674,84
1295,FMF-112065143,98
1296,OHE-132785343,89
1297,ZHZ-254102155,38
1298,JOK-860173403,36
1299,VUX-596014155,38
1300,IEQ-193516427,34
1301,OJH-712567592,59
1302,AAS-910113546,66
1303,GQD-018747828,94
1304,HCT-199891753,24
1305,EZE-526472117,24
1306,WRJ-489055094,82
1307,GDH-565022334,62
1308,SIU-594776068,34
1309,PUT-655551110,50
1310,LWM-848424282,21
1311,XNT-597136709,2
1312,VVI-020288214,75
1313,YAJ-723069750,49
1314,KBS-351131521,43
1315,GCJ-874140255,22
1316,FTZ-190983673,65
1317,EFS-735662761,86
1318,TVI-786325199,57
1319,GCH-108963227,100
1320,VJB-538565978,89
1321,CLE-964471008,40
1322,WMN-704770954,18
1323,TTJ-396821964,15
1324,EGO-595134109,29
1325,EDV-836758022,5
1326,QSG-131215362,82
1327,YEL-801747377,83
1328,DBQ-441735655,81
1329,WJM-128592080,74
1330,ICN-650371247,6
1331,SDD-395717578,54
1332,TKB-931397978,71
1333,NEW-298471025,10
1334,DHF-385335162,33
1335,TOT-726315111,59
1336,GUH-350088044,12
1337,HRP-056224785,83
1338,YKJ-633244312,81
1339,IDJ-274922972,52
1340,LDO-806860361,45
1341,RKW-067335723,34
1342,MIC-953959274,83
1343,KEW-306218474,14
1344,ORK-985166861,71
1345,CYG-951138549,68
1346,EAJ-904153059,25
1347,DNS-016416554,89
1348,YKJ-593086452,24
1349,RAG-571956608,83
1350,SWE-911320035,99
1351,NDD-176493476,78
1352,RYK-098496261,45
1353,MJN-166597215,9
1354,UKV-575403872,42
1355,OVZ-835449690,10
1356,FRQ-303793694,30
1357,SZI-109606363,10
1358,JVC-345132377,51
1359,WWR-614705305,75
1360,KUL-851682269,83
1361,KNX-185914261,61
1362,MNT-798112570,75
1363,ETB-552299486,98
1364,YSP-642880346,82
1365,WVR-617649182,29
1366,DOB-512556825,56
1367,PXT-181039438,89
1368,HJM-122794343,31
1369,TZB-218981984,61
1370,VFP-186936620,46
1371,WBW-395930537,92
1372,BUN-346323295,36
1373,FQD-197932457,1
1374,PAO-861772340,50
1375,ENR-256448286,89
1376,KCC-856712154,33
1377,MTM-301915700,95
1378,SPN-375332659,99
1379,VKV-635148881,38
1380,DVT-093314053,13
1381,BLH-215793697,23
1382,TRW-020833818,92
1383,NDX-586743947,97
1384,XPE-770605557,9
1385,CLG-535940662,46
1386,NZX-860797614,78
1387,QOO-202238920,49
1388,MZO-247377903,7
1389,CZN-496473488,84
1390,HOD-178771216,46
1391,HBG-144350842,43
1392,WWI-180748707,3
1393,KGS-326720687,26
1394,FAO-029891742,14
1395,SLV-751109832,24
1396,VGU-783223558,40
1397,VYW-703389218,67
1398,DFA-855206254,53
1399,VRD-592643542,99
1400,PLN-029877370,29
1401,UTH-358791629,86
1402,RDX-765320900,64
1403,ULK-658808753,59
1404,OKX-619438353,88
1405,OIY-799812919,8
1406,PRK-780391482,74
1407,ZST-379703089,56
1408,UNU-945601292,48
1409,RDD-999895492,69
1410,ZJN-065745032,85
1411,ZFO-001226853,18
1412,SBY-358349858,56
1413,XBW-913365191,91
1414,QTE-447165803,10
1415,LAY-449039531,69
1416,DPO-385628535,52
1417,WOH-194564569,78
1418,ATN-523441131,44
1419,TWX-017065201,16
1420,TGJ-554485272,73
1421,VOC-786476914,45
1422,XOB-503916836,62
1423,VTW-084569606,78
1424,IWY-958208261,46
1425,BUT-914558257,32
1426,JTM-161457934,50
1427,YNO-919666025,45
1428,GUH-365779903,89
1429,KAD-119404973,31
1430,GVJ-755256584,28
1431,LLV-742030463,14
1432,OPS-136280464,15
1433,OJG-630217647,51
1434,ESQ-368219144,17
1435,XYU-441588301,87
1436,MDV-047537311,64
1437,WBF-797379359,33
1438,OAQ-897008199,54
1439,IEL-062332526,77
1440,VCF-533365618,30
1441,STP-190808890,52
1442,MSE-843291558,38
1443,GZQ-975051475,55
1444,MUF-491893825,47
1445,FXH-168379387,79
1446,XOH-027495859,8
1447,LKX-478215514,45
1448,EGD-556459671,23
1449,AZE-299153145,76
1450,NVO-424293770,40
1451,LMV-207486111,43
1452,JUH-097015317,78
1453,DYW-217961147,83
1454,XKW-012387218,72
1455,KZC-907354689,10
1456,CNL-906672061,57
1457,QEL-407045715,96
1458,UPR-393349297,94
1459,JDV-276865118,43
1460,KTK-770039636,53
1461,CNS-529916694,85
1462,MZP-572574625,10
1463,HQM-112338153,54
1464,RBX-285591708,37
1465,TSX-145451863,75
1466,SLX-519321074,63
1467,GAV-238918915,63
1468,EUW-971026645,88
1469,TPW-705964426,64
1470,NSJ-211081556,46
1471,QON-084846823,52
1472,WQF-835212191,71
1473,KHT-069296727,3
1474,KDO-299885487,40
1475,KPO-349953083,27
1476,KCC-761817523,99
1477,SXT-491726899,75
1478,TEE-787574503,100
1479,IRX-086713481,5
1480,JLU-919582025,59
1481,DUW-773022552,91
1482,AIQ-617029625,81
1483,LAD-351713359,75
1484,WLH-344395984,79
1485,OVP-381350774,74
1486,CED-424879273,99
1487,GFC-118425565,27
1488,LUF-777336659,4
1489,ZQF-243058353,7
1490,XRK-649820572,25
1491,EQE-384328069,71
1492,FCV-077873810,74
1493,HAW-033404971,96
1494,DFI-126954853,68
1495,JYE-626951133,10
1496,NZE-460914081,97
1497,AKI-795548277,24
1498,FWS-717087514,47
1499,VRL-238748393,81
1500,IYT-076781937,50
1501,BEI-689863493,40
1502,LES-815842933,31
1503,LGG-027134750,79
1504,QKL-080431011,72
1505,ISD-924846967,15
1506,EAV-696301342,96
1507,RMQ-356791136,55
1508,NHL-142301174,33
1509,LUF-542438303,92
1510,FXA-467154095,49
1511,ILB-590106170,27
1512,WJI-295713330,56
1513,NKW-826928780,32
1514,LQN-468471108,100
1515,ZZK-290398027,33
1516,IDL-246852639,69
1517,URE-923972190,26
1518,REM-718479818,58
1519,BZN-930062765,90
1520,NKL-567532672,82
1521,KGM-867564777,39
1522,YLI-427528512,86
1523,CRF-073642918,17
1524,GJJ-911688511,72
1525,JGM-516827024,71
1526,CMJ-167030762,81
1527,TCH-835119950,77
1528,FFN-626498555,70
1529,NYP-757609897,66
1530,KPC-148406280,41
1531,JFF-047264007,29
1532,HCA-653097947,37
1533,LSI-942755382,62
1534,TJT-600763887,46
1535,LHO-759351357,29
1536,JPR-687243034,12
1537,SCB-801977801,56
1538,HKX-881114253,61
1539,WHW-275382429,37
1540,DEF-769910582,80
1541,RNY-463162448,85
1542,OWU-812877023,27
1543,FRL-086071582,43
1544,AER-593604617,92
1545,WMY-075568349,67
1546,KXZ-895467129,30
1547,XPQ-510486384,51
1548,ZAS-199614996,25
1549,FYY-549486384,3
1550,ASE-560482815,93
1551,FGY-161459669,96
1552,TLU-956749399,95
1553,GQB-717903364,78
1554,EVF-527441083,85
1555,OER-001909140,97
1556,DUF-526227066,92
1557,QKH-909446536,70
1558,FBO-311200424,13
1559,AKT-587540378,5
1560,XBE-933634076,47
1561,BUW-451068589,16
1562,IUR-120228581,89
1563,EYP-443739566,72
1564,DQG-142849177,63
1565,SSY-853505874,89
1566,SBL-206492565,45
1567,ZDV-321516802,96
1568,WEU-130459941,70
1569,TUM-352387102,98
1570,BSM-419361072,99
1571,VVG-271449703,17
1572,CRC-358070024,54
1573,RWP-920389056,10
1574,VGQ-610296516,100
1575,DPE-132952838,96
1576,JIE-767660835,69
1577,AFU-263835650,72
1578,LLX-670093665,63
1579,MKI-070308609,96
1580,JGW-329325517,89
1581,YWN-848524402,43
1582,GJG-808584942,81
1583,OBI-016777048,26
1584,LBN-348467863,8
1585,JWT-658242204,9
1586,WPE-403141065,19
1587,KPW-311339740,39
1588,BTN-174934461,56
1589,NRO-542697915,21
1590,IBP-671202079,41
1591,EQC-976944406,17
1592,XHH-301065907,46
1593,WVH-640894216,28
1594,PBY-609764519,43
1595,JWX-388829312,29
1596,DUM-191283320,59
1597,MXD-342219769,20
1598,LOG-992991515,33
1599,RQC-035703212,39
1600,LOL-337173145,46
1601,JIZ-129650285,19
1602,ZDD-793675723,79
1603,VYS-071567832,94
1604,HKX-732128030,87
1605,WOU-964754594,1
1606,VBO-101054832,21
1607,HXK-695016928,90
1608,QKL-994088053,1
1609,XAV-633510669,15
1610,EVW-240004644,23
1611,BYD-479390693,100
1612,CQX-724066535,13
1613,PHI-424188112,35
1614,SOA-935702553,16
1615,DIX-323995636,89
1616,XQD-603390700,55
1617,DXT-876002584,55
1618,KCQ-946702088,79
1619,PRG-669403736,54
1620,VQI-461033971,99
1621,NGN-591646154,85
1622,OJP-076434781,41
1623,VVN-258600709,39
1624,WRU-408336662,12
1625,QRI-729569624,76
1626,IQH-557708566,42
1627,HKK-133838705,63
1628,RAU-169966235,64
1629,JCG-491264187,45
1630,XGC-947751226,66
1631,UNP-533203832,93
1632,FMJ-571143708,45
1633,CMM-884720817,25
1634,JRK-208299466,52
1635,IJN-267373554,2
1636,BXD-659145630,64
1637,DVI-508744381,74
1638,WHW-405760741,93
1639,ZDT-059084180,14
1640,OQR-602850544,23
1641,VVJ-422947577,31
1642,AEA-059122588,8
1643,CGC-216866434,30
1644,EJU-800460487,73
1645,MSE-523998831,100
1646,BYK-458370209,38
1647,AOS-057939844,26
1648,XSD-418459849,58
1649,VJL-653520010,66
1650,FYS-345183184,47
1651,KZR-632194541,80
1652,WEY-813520014,22
1653,VSJ-974329838,41
1654,VWR-289823268,12
1655,QBR-699885877,49
1656,NKQ-216122447,96
1657,ISS-168884880,71
1658,LXH-138409733,100
1659,NID-747808175,71
1660,NBV-713379140,4
1661,HCN-162374886,56
1662,RNW-733116496,61
1663,IPB-065836279,81
1664,UPY-520571006,34
1665,PQO-103419050,99
1666,MXH-082203178,29
1667,UAI-102024990,46
1668,ORU-889896481,44
1669,YIX-723047646,20
1670,MPF-344506480,89
1671,UWE-861804486,1
1672,XBU-759587347,2
1673,ZSG-060162203,53
1674,VGR-554036538,73
1675,ONB-802529533,39
1676,FSD-905045204,71
1677,KQE-140556285,97
1678,QBZ-735839874,52
1679,JAY-132556917,65
1680,AWL-717160949,62
1681,NJV-946840490,25
1682,BIQ-054101258,60
1683,EPO-071899162,95
1684,XZB-509261316,100
1685,BQL-764437398,68
1686,OVG-474107119,22
1687,YWG-098892063,28
1688,LVL-005407148,1
1689,STD-665709383,12
1690,WYO-181567241,95
1691,ZFK-959911921,55
1692,RPW-901214073,75
1693,YQI-511069958,19
1694,NPW-423921281,80
1695,CLE-761330470,100
1696,FTV-481921899,20
1697,LLX-695327896,88
1698,LQZ-367024756,52
1699,VXW-603321786,10
1700,QLN-641586272,28
1701,KMI-984973181,97
1702,MLQ-451217238,29
1703,JQW-366219719,50
1704,SBG-629187830,52
1705,RJR-569079176,46
1706,VET-778542431,43
1707,IXW-918829411,91
1708,GNG-825444400,87
1709,BFD-607793424,94
1710,XAN-198013078,100
1711,WWC-411195304,13
1712,DWM-595305393,51
1713,WKT-838887064,32
1714,DUA-829261532,30
1715,ELE-602326265,41
1716,OTO-387894206,23
1717,ALF-555991944,42
1718,GLO-891439047,87
1719,BFJ-401926292,42
1720,CFH-293616979,40
1721,IAY-797005920,21
1722,AES-040853306,19
1723,ZUP-606826175,30
1724,PMF-697180612,95
1725,TWA-430183455,93
1726,DRV-023951264,41
1727,GZW-301479738,15
1728,BUF-578360157,67
1729,NBE-521889223,40
1730,SZL-179427070,16
1731,RBT-386332993,49
1732,VYC-937015630,87
1733,QLH-991609695,69
1734,AGK-320090073,35
1735,AZH-658086831,89
1736,UGP-750215815,45
1737,UEA-491099209,64
1738,NIQ-683356437,44
1739,MXL-827267735,19
1740,XEE-392911807,6
1741,JPC-824890950,51
1742,AHI-750536766,45
1743,BRI-580873008,40
1744,VZM-705995347,29
1745,ZWZ-506090179,89
1746,OCR-368095669,52
1747,DAG-855753338,86
1748,INJ-608324272,11
1749,RNS-239891679,25
1750,IPT-533082580,82
1751,YRY-489046287,34
1752,DKV-666400554,31
1753,PVN-488294678,69
1754,XJP-811915955,54
1755,PTO-518333900,7
1756,BSD-458068894,68
1757,LZW-324952283,57
1758,OTB-182884252,20
1759,WJP-018449599,50
1760,KOG-355298280,96
1761,YRR-058135018,11
1762,NCN-130486074,36
1763,JBA-093210391,72
1764,RJV-376133540,67
1765,GJT-764564171,99
1766,MYY-366675815,75
1767,DKP-461720326,30
1768,XXX-822343916,72
1769,EXX-924609459,41
1770,AJJ-525541056,55
1771,WLK-031703260,9
1772,CGM-665272074,69
1773,HJT-899037324,57
1774,CPY-152604043,40
1775,OSM-587251980,38
1776,BEN-642753474,94
1777,PCQ-867659506,71
1778,ARS-149096085,6
1779,AYU-883889143,76
1780,VLQ-822658466,10
1781,WIO-112134518,77
1782,RMN-807154888,28
1783,AYI-813508348,97
1784,IYN-068369109,42
1785,SNQ-757942267,40
1786,AIB-878340492,1
1787,PYB-864855663,55
1788,UYT-021238902,69
1789,LFZ-739038463,89
1790,IFQ-897568351,64
1791,OXK-189855740,91
1792,GAO-274731600,84
1793,ICE-022601300,94
1794,HXD-478417581,37
1795,AFD-100395199,18
1796,OYX-883992371,23
1797,AWB-760861612,37
1798,XPY-795099636,87
1799,QNO-678988851,9
1800,IFX-771991210,9
1801,DIP-488942988,86
1802,MRT-678859800,38
1803,VAH-290673312,62
1804,DHX-203339142,60
1805,XFZ-015019511,67
1806,JFD-342906383,7
1807,TCF-550859947,46
1808,KBD-013587889,6
1809,ZJU-706754480,4
1810,APY-577157446,2
1811,WWC-703075913,59
1812,UUT-169935316,13
1813,TKG-245251640,78
1814,NAE-707104340,42
1815,WZK-987953264,66
1816,GIJ-549899412,35
1817,EQB-082756564,81
1818,HWZ-463914437,93
1819,LEG-553054632,54
1820,BXA-636461266,24
1821,SLF-367188497,66
1822,MOP-802823140,64
1823,RXR-943137973,41
1824,JSP-006851576,15
1825,OZQ-614382676,61
1826,OIP-424357181,52
1827,UNM-648963216,6
1828,MNR-619994918,29
1829,FHJ-326130639,19
1830,DGD-769084190,92
1831,PDS-903758440,70
1832,JAW-838371745,32
1833,BWP-738442619,52
1834,XNT-369533867,6
1835,KJA-862030864,33
1836,VVG-357343925,82
1837,BWG-766819457,87
1838,KGD-464268544,16
1839,TCN-515544600,36
1840,SND-981825625,23
1841,EGW-258992875,21
1842,IOS-134057820,98
1843,BUH-467930024,97
1844,MVG-877592325,67
1845,QHC-339105563,30
1846,CCM-388749388,66
1847,BMN-703337784,62
1848,NFK-413757036,13
1849,RLN-831343989,14
1850,GDW-684787336,16
1851,VSX-861739048,38
1852,MSC-455932088,63
1853,IPI-705484887,90
1854,GIO-462412186,86
1855,TVK-205770684,8
1856,JMQ-676215266,83
1857,JAO-823281483,60
1858,VFA-000193355,42
1859,JWW-031633362,62
1860,XPQ-499450419,41
1861,DNX-563929555,35
1862,QBR-801451388,39
1863,FJB-836826373,61
1864,NWL-472185752,71
1865,YMC-499870935,25
1866,ERY-094502005,13
1867,BSQ-915752189,48
1868,AGW-083167262,16
1869,OUA-161723116,100
1870,XSV-940530616,57
1871,BSM-650049079,93
1872,HIO-846003165,77
1873,ZSL-147482985,45
1874,UFI-734454487,24
1875,STU-683038316,25
1876,RUH-784781904,100
1877,PNF-685983596,4
1878,TTV-628032473,18
1879,MWF-554292561,74
1880,WWI-677603429,17
1881,GKI-047161935,93
1882,IEO-650369848,85
1883,UXL-707613389,81
1884,JMM-745288894,78
1885,QVY-972762793,100
1886,XVX-710280932,91
1887,FVT-694991412,49
1888,VWT-449082286,100
1889,PIP-245682262,70
1890,ZOC-319573485,73
1891,GXI-905225885,70
1892,OPA-562281294,44
1893,AWS-568349422,22
1894,CSU-625327237,100
1895,EDD-872360989,78
1896,GXM-027057587,3
1897,RAW-187967615,99
1898,LZW-257050165,87
1899,JMK-558103692,21
1900,YTS-453386109,26
1901,CXE-494228377,28
1902,YPS-389518451,61
1903,QDV-101475277,1
1904,AUO-655332935,9
1905,CVL-242171602,35
1906,TNP-316948872,43
1907,MZZ-119703195,60
1908,LDD-472835325,41
1909,KPI-662450877,52
1910,HKA-599270869,48
1911,DSI-456026859,37
1912,TIK-530001083,26
1913,QPN-749019778,76
1914,UMJ-730947188,74
1915,FTC-835223062,96
1916,QEE-761812882,73
1917,MCP-617944098,48
1918,EAX-243010105,16
1919,VQL-474483137,77
1920,AWE-817100008,76
1921,FKP-870127247,82
1922,CVR-782134875,68
1923,ZVT-466760879,58
1924,ZET-718195325,95
1925,DUC-068114818,94
1926,ISO-470856944,70
1927,BTY-684656958,44
1928,XAO-186740256,84
1929,BGQ-780272935,38
1930,BLM-978763171,74
1931,JNP-682053601,87
1932,MAT-869015225,40
1933,JXP-326950914,100
1934,GQT-586766490,99
1935,NTZ-978110185,29
1936,GCQ-506739452,25
1937,RSP-944307818,5
1938,DST-004740572,56
1939,MFR-125351744,5
1940,RPH-652326278,23
1941,GAY-209284382,75
1942,XQN-854071646,32
1943,WRV-023296093,61
1944,CJK-803199056,50
1945,PIO-371459926,10
1946,ZGI-872911851,42
1947,OFK-253775215,69
1948,DAQ-082894200,38
1949,DOV-481738554,60
1950,PPS-859665468,42
1951,VXB-462222554,25
1952,YPK-167225709,45
1953,SWN-061628319,100
1954,DHD-691584398,31
1955,GGV-005504609,6
1956,YFN-511971588,91
1957,DLC-161379094,75
1958,SPJ-845772056,80
1959,CQE-137704453,85
1960,YWZ-892025951,25
1961,TGK-635736109,88
1962,XUA-611493063,52
1963,UXZ-849970647,69
1964,ZXV-107859144,9
1965,WPX-877546867,75
1966,ONK-206975348,99
1967,BSS-548261484,18
1968,FCX-677270479,60
1969,SKB-641931315,33
1970,ZFL-797038405,55
1971,FQK-000370735,34
1972,QTR-009794487,100
1973,ELM-455016317,65
1974,OIW-984110400,49
1975,IDT-396682589,91
1976,IJF-520656027,39
1977,WRR-506496714,24
1978,DOD-382412903,3
1979,ARH-898843799,77
1980,JQN-969654516,34
1981,IOD-510674672,16
1982,DXH-294862735,83
1983,DKN-664803769,37
1984,KDD-303119266,69
1985,HRH-354881060,45
1986,LDS-424730087,90
1987,QXQ-776846423,37
1988,DGV-052056438,47
1989,GAG-623623471,33
1990,YMT-632370399,61
1991,LEC-846878927,81
1992,FMK-792107460,39
1993,AZE-844618667,70
1994,CVI-728409335,34
1995,ZYP-878907678,95
1996,NWI-290625725,53
1997,YCY-043854063,85
1998,TTR-383766942,40
1999,RKW-339676594,45
2000,QSH-736229903,77
